id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
168582,bharti airtel,india,"bharti crescent, 1, nelson mandela road, vasant kunj, phase ii, new delhi, 110070",1995.0,17917.0,doll_5.57 b,doll_1.498 b,doll_0.533 b,"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers', 'television services']",gopal vittal,nelson mandela road
169446,byjus,india,,2011.0,9000.0,doll_1.859 b,doll_0.374 b,doll_0.007 b,['edtech'],byju raveendran,bengaluru
14272,bajaj finserv,india,"6th floor, bajaj finserv corporate offic, pune, 411014",2007.0,26969.0,doll_2.713 b,doll_0.8640000000000001 b,doll_0.57 b,['financial services'],sanjiv bajaj,
168512,bajaj finance,india,"6th floor, bajaj finserv corporate offc, off pune-ahmednagar road, viman nagar, maharashtra, 411014",,35425.0,doll_4.478 b,doll_0.306 b,doll_0.88 b,['financial services'],sanjiv bajaj,
160226,bandhan bank,india,"dn 32, sector v, salt lake, kolkata, 700091",,45549.0,doll_0.47000000000000003 b,doll_0.153 b,doll_0.016 b,"['banking services', 'financial services']",not found,
107,bajaj allianz life insurance,,,2001.0,,,,,['insurance'],,
138530,bosch,india,,1886.0,31530.0,doll_0.0067599999999999995 b,doll_0.001446 b,doll_0.152 b,"['consumer cyclical', 'automobile', 'automobile parts', 'electronics', 'engineering products', 'security systems and solutions', 'sensors']",not found,
119,bny mellon,,,2004.0,,,,,['it services & consulting'],,
126,bigbasket,,,2011.0,,,,,['internet'],,
129,bosch global software technologies,,,1990.0,,,,,['software product'],,
126722,bajaj auto,india,"bajaj auto ltd. complex, , mumbai-pune road, akurdi, 411035",1945.0,10718.0,doll_1.248 b,doll_0.45 b,doll_0.772 b,"['consumer cyclical', 'bikes', 'automobile', 'scooters']",rajiv bajaj,
178,bel,,,1954.0,,,,,['consumer electronics & appliances'],,
45442,bajaj electricals,india,"56 south rockford drive, tempe, arizona, 85281",1938.0,10900.0,doll_0.1 b,doll_0.064 b,doll_0.035 b,"['technology', 'electronics', 'consumer electronics']",not found,"burleigh heads, queensland"
94240,bank of america,united states,,1998.0,208000.0,doll_35.083999999999996 b,doll_9.683 b,doll_3.1 b,['banking'],mr. brian thomas moynihan,
235,biocon biologics india,,,1978.0,,,,,['biotechnology'],,
41697,berger paints,india,,,,doll_0.669 b,doll_0.129 b,doll_0.017 b,['chemicals'],,
24516,blue dart express,india,,1983.0,13000.0,doll_0.207 b,doll_0.064 b,doll_0.048 b,"['courier', 'transportation']",not found,
279,birlasoft,,,1995.0,,,,,['it services & consulting'],,
307,bajaj allianz general insurance company ltd,,,,,,,,['financial services'],,
310,bhel,,,1964.0,,,,,['electrical equipment'],,
311,britannia,,,1892.0,,,,,['food processing'],,
155266,blue star,india,,,,doll_0.146 b,doll_0.093 b,doll_0.021 b,"['industries', 'electronics', 'consumer electronics', 'industry machinery', 'consumer durables']",not found,
321,blackbuck,india,,2015.0,,,,,"['supply chain, logistics, & delivery']",,bengaluru
342,brakes india,,,1962.0,,,,,['auto components'],,
351,big bazaar,,,2001.0,,,,,['retail'],,
356,bharti axa life insurance,,,2008.0,,,,,['insurance'],,
8197,bt group,australia,"wiedner guertel 11, wien, 1100",1885.0,98400.0,doll_1.5699999999999998 b,doll_3.2 b,doll_0.44699999999999995 b,"['financial services', 'insurance']",philip jansen,peterborough
65248,bharat petroleum,india,,,,doll_0.931 b,doll_4.32 b,doll_0.259 b,['oil & gas operations'],arun kumar singh,
377,bhushan power & steel,,,1970.0,,,,,['iron & steel'],,
380,blinkit,,,2013.0,,,,,['internet'],,
66305,barclays,uk,,,81600.0,doll_3.5549999999999997 b,doll_3.0300000000000002 b,doll_0.8939999999999999 b,['banking'],c. s. venkatakrishnan,
147969,bureau veritas,france,"immeuble newtime 40/52 boulevard du parc, neuilly-sur-seine, 92200",1828.0,78395.0,doll_1.1880000000000002 b,doll_0.005489 b,doll_0.463 b,"['industries', 'business services', 'consulting services']",didier michaud-daniel,
405,ba continuum,,,2003.0,,,,,['it services & consulting'],,
110080,bank of china,china,"2-1-1, nihombashi hongoku-cho, chuo-ku, tokyo, 103-8660",1996.0,309084.0,doll_13.302000000000001 b,doll_1.7899999999999998 b,doll_0.356 b,"['financial services', 'banking services']",not found,riga
492,barclays shared services,,,2007.0,,,,,['it services & consulting'],,
505,biological e,,,1953.0,,,,,['pharma'],,
507,bt global services,,,2000.0,,,,,['it services & consulting'],,
527,badve engineering,,,1996.0,,,,,['auto components'],,
565,bata,,,1931.0,,,,,['fashion & textile'],,
574,bharat financial inclusion,,,1998.0,,,,,['financial services'],,
136201,bayer,germany,"kaiser-wilhelm-allee 1, leverkusen, nordrhein-westfalen, 51368",1863.0,95950.0,doll_6.809 b,doll_5.21 b,doll_0.738 b,"['healthcare', 'pharmaceutical', 'chemicals', 'healthcare products']",werner baumann,leverkusen
36418,bharat forge,india,"pune cantonment, mundhwa, 411036",1961.0,5153.0,doll_0.493 b,doll_0.13999999999999999 b,doll_0.135 b,"['consumer cyclical', 'automobile', 'automobile parts', 'metal fabrication products', 'engineering products']",not found,
169281,broadridge financial solutions,united states,"5 dakota drive, lake success, new york, 11042",2007.0,13704.0,doll_1.9989999999999999 b,doll_0.5700000000000001 b,doll_0.539 b,"['technology', 'software and it', 'financial services', 'business services', 'software products']",tim gokey,
86657,bnp paribas,france,10 harewood avenue,1848.0,190000.0,doll_6.99 b,doll_0.0 b,doll_10.456 b,['banks'],jean-laurent bonnafe,london
671,best sellers,,,1975.0,,,,,['fashion & textile'],,
63974,bain capital,united states,,,,doll_0.08399999999999999 b,doll_0.09578 b,doll_0.08437 b,['asset-management investment '],,
684,bvg india,,,1997.0,,,,,['facility management services'],,
688,bisleri,,,1965.0,,,,,['fmcg'],,
7363,bafna motors,,,1956.0,,,,,['automobile'],,
716,burger king,,,2014.0,,,,,['hospitality'],,
745,bgr energy systems,,,1985.0,,,,,['oil & gas'],,
758,bosch chassis systems,,,1951.0,,,,,['auto components'],,
789,barbeque nation,,,2006.0,,,,,['retail'],,
876,barclays global service centre,,,2007.0,,,,,['it services & consulting'],,
163104,bank of india,india,"express towers, nariman point, mumbai, 400051",1906.0,49767.0,doll_0.49400000000000005 b,doll_0.63 b,doll_0.437 b,"['financial services', 'banking services']",atanu kumar das,mumbai
913,better.com,united states,,2016.0,,,,,['fintech'],,new york
940,bechtel,,,1898.0,,,,,['engineering & construction'],,
958,bharti infratel,,,2006.0,,,,,['telecom'],,
983,bridge & roof co,,,1920.0,,,,,['engineering & construction'],,
987,b. g. shirke construction technology,,,1944.0,,,,,['engineering & construction'],,
992,bajaj housing finance,,,2008.0,,,,,['nbfc'],,
996,birla corporation,india,,,,doll_0.00149 b,doll_0.934 b,doll_0.05 b,"['basic materials', 'cement', 'construction materials']",not found,
1074,bluestream software solution,,,,,,,,['it services & consulting'],,
1118,bnp paribas india solutions,,,1848.0,,,,,['banking'],,
1138,brillio,,,2014.0,,,,,['it services & consulting'],,
1149,bioclinica,,,2008.0,,,,,['pharma'],,
1162,bses rajdhani power,,,2001.0,,,,,['power'],,
1171,biba apparels,,,1986.0,,,,,['fashion & textile'],,
1189,bitwise solutions,,,1996.0,,,,,['it services & consulting'],,
95364,basf,germany,,1865.0,,doll_5.178 b,doll_9.290000000000001 b,doll_0.653 b,['chemicals'],martin brudermüller,ludwigshafen
1236,border security force,,,1965.0,,,,,['defence & aerospace'],,
1244,bikanervala,,,1950.0,,,,,['fmcg'],,
89824,baxter international,united states,"df2-1w, one baxter pkwy, deerfield, illinois, 60015",1931.0,60000.0,doll_4.013 b,doll_1.278 b,doll_0.128 b,"['healthcare', 'medical equipment', 'pharmaceutical', 'healthcare products']",jose e. almeida,
23265,beml,india,,,,doll_0.077 b,doll_0.543 b,doll_0.016 b,"['industries', 'automobile', 'industry machinery', 'heavy machinery', 'railway vehicles and railway components', 'railway']",not found,
1351,bt e serv,,,2007.0,,,,,['telecom'],,
1419,bpr infrastructure,,,1972.0,,,,,['engineering & construction'],,
1420,bisk farm,,,2000.0,,,,,['food processing'],,
1453,bpo convergence,,,2014.0,,,,,['bpo'],,
1480,bharatmatrimony.com,,,1997.0,,,,,['internet'],,
1484,blackberrys,,,1991.0,,,,,['fashion & textile'],,
1490,b engineering,,,2000.0,,,,,['automobiles'],,campogalliano
128066,balkrishna industries,india,"bkt house,c/15, trade world,kamala mills compound, senapati bapat marg, lower parel, mumbai, 400011",1987.0,2834.0,doll_0.529 b,doll_0.123 b,doll_0.18 b,"['consumer cyclical', 'automobile', 'automobile parts', 'tyres']",not found,
1519,bmc software,,,1980.0,,,,,['software product'],,
1522,b.l. kashyap & sons,,,1978.0,,,,,['engineering & construction'],,
1532,bharat serums and vaccines,,,1971.0,,,,,['pharma'],,
2426,bharat seats,,,1986.0,,,,,['auto components'],,
1577,bankbazaar,,,2008.0,,,,,['internet'],,
1584,bunge india,,,2000.0,,,,,['food processing'],,
14436,bridgestone,japan,,,,doll_2.57 b,doll_2.9539999999999997 b,doll_0.147 b,['tires'],shuichi ishibashi,"birmingham, alabama"
22304,baker hughes,united states,via nazionale 46,,55000.0,doll_3.2329999999999997 b,doll_2.073 b,doll_0.064 b,['semiconductors'],,"houston, texas"
101589,brainvire,india,,2000.0,,,doll_0.00409 b,,['technology'],,
1689,bristlecone,,,1998.0,,,,,['it services & consulting'],,
1709,bajaj capital insurance,,,2004.0,,,,,['insurance'],,
1727,british council,,,1934.0,,,,,['education & training'],,
1758,blue yonder,,,1985.0,,,,,['it services & consulting'],,
1823,b. braun medical,,,1839.0,,,,,['healthcare'],,
1825,bombardier transportation,italy,via cerchiara 125,,,,,,['urban transport'],,roma
1849,bdo india llp,,,1973.0,,,,,['accounting & auditing'],,
47200,black knight,united states,"601 riverside ave, jacksonville, florida, 32204-2901",2014.0,6400.0,doll_0.945 b,doll_0.155 b,doll_0.207 b,"['technology', 'software and it', 'software products', 'software and it infrastructure', 'analytics']",not found,
6329,bhartiya international,,,1987.0,,,,,['biotechnology'],,
1948,bharat fritz werner,,,1961.0,,,,,['industrial machinery'],,
66816,boeing,united states,,1916.0,142000.0,doll_10.445 b,doll_6.229 b,doll_0.908 b,['aviation'],david l. calhoun,boeing building
1956,brembo brake india,,,2005.0,,,,,['auto components'],,
168354,bytedance,china,,2012.0,60000.0,0,doll_0.017 b,0.0,"['technology', 'social media', 'internet or mobile app based business']",zhang yiming,beijing
1979,ben franklin opticians,,,2008.0,,,,,['medical equipment'],,
1982,bhilosa industries,,,1988.0,,,,,['fashion & textile'],,
1998,bussan auto finance,,,1934.0,,,,,['financial services'],,
2021,byju's exam prep,,,2015.0,,,,,['edtech'],,
125194,broadcom,united states,,1961.0,20000.0,doll_26.526999999999997 b,doll_2.85 b,doll_0.783 b,"['technology', 'electronics', 'semiconductors', 'processors / chips', 'networking products / solutions', 'network hardware and software', 'software products', 'software and it']",hock e. tan,
2078,balmer lawrie,,,1867.0,,,,,['power'],,
184066,blackrock,united states,,1988.0,18400.0,doll_11.598 b,doll_2.0300000000000002 b,doll_0.5900000000000001 b,"['financial services', 'asset management', 'investments']",mr. laurence douglas fink,"burleigh heads, queensland"
2113,bkt tyres,,,1988.0,,,,,['auto components'],,
2136,bhagwati products,,,2002.0,,,,,['consumer electronics & appliances'],,
55520,becton dickinson,united states,,,,doll_7.263 b,doll_1.9929999999999999 b,doll_0.199 b,['medical-devices '],tom polen,
2186,bsh household appliances manufacturing,,,1967.0,,,,,['consumer electronics & appliances'],,
2189,bharat fih,,,,,,,,,,
2247,baroda global shared service,,,2017.0,,,,,['banking'],,
2269,bharat bijlee,,,1946.0,,,,,['electrical equipment'],,
2274,bcd travel,,,2006.0,,,,,['travel & tourism'],,
2300,brigade group,,,1986.0,,,,,['real estate'],,
75161,birla tyres,,,,,doll_0.315 b,,,['auto components'],not found,
2353,bharat aluminium company (balco),,,1965.0,,,,,['metals & mining'],,
2356,bptp,,,2003.0,,,,,['real estate'],,
2377,boehringer-ingelheim,,,1885.0,,,,,['pharma'],,
2434,buhler,,,1860.0,,,,,['industrial machinery'],,
2454,bonfiglioli transmissions,,,1956.0,,,,,['industrial machinery'],,
2491,bosch rexroth india,,,2001.0,,,,,['industrial machinery'],,
2529,bmm ispat,,,1976.0,,,,,['metals & mining'],,
2545,buzzworks business services,,,1999.0,,,,,['recruitment'],,
2582,bluechip corporate investment centre,,,1996.0,,,,,['accounting & auditing'],,
2584,bonace engineers,,,1995.0,,,,,['recruitment'],,
2611,bch electric,,,1965.0,,,,,['electrical equipment'],,
2639,bird worldwide flight services,,,1999.0,,,,,['aviation'],,
2692,bses yamuna power,,,2002.0,,,,,['power'],,
2707,basicfirst learning,,,2018.0,,,,,['edtech'],,
2724,bhilai engineering corporation,,,1960.0,,,,,['industrial machinery'],,
2738,bahwan cybertek,,,1999.0,,,,,['it services & consulting'],,
2768,banco products,,,1961.0,,,,,['auto components'],,
2757,bharat dynamics,india,,,,doll_0.209 b,doll_0.043 b,doll_0.011 b,['defense contractors'],,
2796,bhandari automobiles,,,1978.0,,,,,['automobile'],,
2855,bharat institutions,,,2001.0,,,,,['education & training'],,
2887,bharat rasayan,,,1989.0,,,,,['agro chemicals'],,
2907,birla cement,,,1910.0,,,,,['chemicals'],,
66308,bp,uk,,1909.0,65900.0,doll_10.745999999999999 b,doll_22.268 b,doll_0.502 b,"['oil&gas', 'energy']",bernard looney,london
2961,bridgelabz solutions,,,2016.0,,,,,['edtech'],,
2975,berkadia,,,2009.0,,,,,['financial services'],,
3006,bajaj consumer care,,,1930.0,,,,,['fmcg'],,
3010,bada business,,,2019.0,,,,,['internet'],,
3039,b.l agro oils,,,1993.0,,,,,['food processing'],,
3046,bajaj hindusthan,,,1931.0,,,,,['food processing'],,
3078,brlps,,,2007.0,,,,,['non-profit'],,
3099,bal pharma,,,1987.0,,,,,['pharma'],,
3103,belstar investment and finance,,,1988.0,,,,,['investment banking / venture capital / private equity'],,
3111,bombay intelligence security,,,1976.0,,,,,['law enforcement & security'],,
