id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
157381,deloitte,uk,,1845.0,300000.0,0,doll_0.0476 b,0.0,"['business services', 'professional services', 'consulting services', 'accounting and auditing']",anders dons,london
32,dxc technology,united states,,2017.0,,doll_0.612 b,doll_1.537 b,doll_0.13 b,['it-services professional-services '],michael j. salvino,"wilmington, delaware"
28480,dr. reddy's,india,,,,doll_0.89 b,doll_0.286 b,doll_0.064 b,['pharmaceuticals biotech '],,
30112,delhivery,india,,2011.0,40000.0,doll_0.274 b,doll_0.095 b,doll_0.02 b,"['courier', 'transportation']",not found,
115,d mart,,,2000.0,,,,,['retail'],,
66819,dell,united states,,,,doll_3.281 b,doll_9.945 b,doll_0.337 b,['consumer electronics & appliances'],,villeneuve d'ascq
151,dominos pizza,,,1960.0,,,,,['hospitality'],,
48643,deutsche bank,germany,"mecklenburgische strasse 57, berlin, 14197",1870.0,8855.0,doll_5.9799999999999995 b,doll_0.53 b,doll_0.06 b,"['real estate', 'financial services']",frank appel,frankfurt
199,dtdc express,,,1990.0,,,,,['logistics'],,
86533,danske bank,denmark,"holmens kanal 2 - 12, koebenhavn k, 1092",1871.0,21754.0,doll_1.47 b,doll_2.48 b,doll_0.0019119999999999999 b,['banks'],carsten rasch egeriis,sofia
253,dilip buildcon ltd,india,"plot no. 5, inside govind narayan singh, bhopal, 462016",,,doll_0.3944 b,doll_0.13 b,,['engineering & construction'],,
6153,delhi public school,,,1998.0,,,,,['education & training'],,
341,datamatics global services,,,1975.0,,,,,['it services & consulting'],,
347,ds group,,,1929.0,,,,,['fmcg'],,
357,delphi tvs,,,1989.0,,,,,['auto components'],,
37602,dr lal pathlabs,india,,1949.0,3923.0,doll_0.219 b,doll_0.025 b,doll_0.043 b,"['healthcare', 'health care diagnostics', 'healthcare service']",not found,
137155,divis laboratories,india,"1-72/23(p)/divis/303, , divi towers, cyber hills, gachibowli, hyderabad, 500032",1990.0,13884.0,doll_1.089 b,doll_0.12 b,doll_0.371 b,"['healthcare', 'healthcare products', 'pharmaceutical']",divi murali,
470,dell emc,,,1979.0,,,,,['it services & consulting'],,
486,dainik bhaskar group of publication,,,1958.0,,,,,['printing & publishing'],,
181884,dhl express,,,1969.0,,,,,['delivery services'],,bonn
547,dhl supply chain,,,1969.0,,,,,['logistics'],,
