id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
136100,ernst & young,uk,,1989.0,312250.0,0,doll_0.0364 b,0.0,"['financial services', 'consulting services', 'business services', 'professional services', 'accounting and auditing']",not found,london
56201,ericsson,sweden,,1876.0,101322.0,doll_2.8600000000000003 b,doll_0.024393 b,doll_0.255 b,"['technology', 'technology hardware and instruments', 'networking products / solutions', 'network hardware and software', 'security systems and solutions', 'cloud services', 'internet of things', 'mobiles', 'software and it', 'mobiles & accessories', 'communications equipment']",borje ekholm,stockholm
29058,exl service,united states,,,,doll_0.5599999999999999 b,doll_0.133 b,doll_0.018 b,['analytics & kpo'],,
136,ecom express,india,,2012.0,,,doll_0.21900999999999998 b,,['transport'],,
138,equitas small finance bank,,,2007.0,,,,,['banking'],,
216,ekart logistics,,,2009.0,,,,,['logistics'],,
264,eureka forbes,,,1982.0,,,,,['consumer electronics & appliances'],,
270,escorts group,,,1960.0,,,,,['automobile'],,
303,extramarks education,,,2007.0,,,,,['edtech'],,
52036,exide industries,india,"exide house, 59e, chowringhee road, kolkata, 700020",1947.0,5800.0,doll_0.191 b,doll_0.001591 b,doll_0.547 b,"['consumer cyclical', 'automobile', 'automobile parts', 'batteries']",not found,
317,emcure pharmaceuticals,,,1981.0,,,,,['pharma'],,
329,exide life insurance,,,2001.0,,,,,['insurance'],,
337,exotic learning,,,2020.0,,,,,['edtech'],,
11920,elasticrun,india,,2016.0,,,,,"['supply chain, logistics, & delivery']",,pune
30402,endurance technologies,india,,1985.0,5000.0,doll_0.238 b,doll_0.929 b,doll_0.058 b,"['consumer cyclical', 'automobile', 'automobile parts']",not found,
489,exl india,,,1957.0,,,,,['it services & consulting'],,
140864,emami,india,,1974.0,25000.0,doll_0.23399999999999999 b,doll_0.041999999999999996 b,doll_0.105 b,"['consumer defensive', 'fmcg']",not found,
564,edelweiss,,,2017.0,,,,,['financial services'],,
578,esaf microfinance & investments (p),,,2016.0,,,,,['financial services'],,
666,ecil,,,1967.0,,,,,['defence & aerospace'],,
683,essar steel,,,1976.0,,,,,['iron & steel'],,
693,evalueserve,,,2000.0,,,,,,,
764,episource,,,2006.0,,,,,['it services & consulting'],,
769,eureka outsourcing solutions,,,2002.0,,,,,['bpo'],,
167264,eaton corporation plc,ireland,"eaton house, 30 pembroke road, dublin, d04y0c2",1911.0,85947.0,doll_6.2170000000000005 b,doll_0.019628 b,doll_2.144 b,"['industries', 'electrical products', 'technology hardware and instruments', 'power management tools', 'technology', 'machinery manufacturing', 'power generation', 'manufacturing', 'tools and equipment', 'industry machinery', 'electric vehicle charging station']",craig arnold,dublin
21386,epam systems,united states,"suite 202, 41 university drive, newtown, pennsylvania, 18940",1993.0,58824.0,doll_0.766 b,doll_0.003758 b,doll_0.481 b,['it services & consulting'],arkadiy dobkin,newtown
832,eygbs,,,2018.0,,,,,['analytics & kpo'],,
871,edelweiss tokio life insurance,,,2011.0,,,,,['financial services'],,
872,eclinicalworks,,,1999.0,,,,,['it services & consulting'],,
904,egis india consulting engineers,,,2005.0,,,,,['engineering & construction'],,
974,everest industries,,,1934.0,,,,,['building material'],,
61826,esco technologies,united states,,,2700.0,doll_0.24100000000000002 b,doll_0.08 b,doll_0.063 b,"['software', 'tech']",not found,
1035,eveready industries,,,1934.0,,,,,['auto components'],,
32807,electrosteel castings,india,,,,doll_0.028000000000000004 b,doll_0.08399999999999999 b,doll_0.08603 b,['building material'],,
1115,educomp solutions,,,2016.0,,,,,['edtech'],,
176640,eris lifesciences,india,,,4044.0,doll_0.0013700000000000001 b,doll_0.166 b,doll_0.051 b,"['healthcare', 'healthcare products', 'pharmaceutical']",not found,
1136,emerson process management srl,italy,via montello 71/73,,,,,,['industrial machinery'],,seregno
1140,ebix software india,,,1976.0,,,,,['it services & consulting'],,
1151,echobooom management & entrepreneurial solutions,,,2020.0,,,,,['management consulting'],,
1193,epicenter technologies,,,2001.0,,,,,['it services & consulting'],,
1198,electrotherm,,,1983.0,,,,,['iron & steel'],,
32162,engineers india,india,,,,doll_0.057999999999999996 b,doll_0.04 b,doll_0.05386 b,"['engineering', 'professionalservices']",,
105955,encore capital group,united states,"suite 1300, 3111 camino del rio north, san diego, california, 92108",1953.0,6604.0,doll_0.126 b,doll_0.13999999999999999 b,doll_0.35 b,['financial services'],not found,
1228,edubridge learning,,,2009.0,,,,,['education & training'],,
1294,experis it,,,1998.0,,,,,['recruitment'],,
1316,eli research,,,1991.0,,,,,['it services & consulting'],,
1358,essjay ericsson,,,1971.0,,,,,['industrial machinery'],,
1375,epsilon,,,1969.0,,,,,['marketing & advertising'],,
1385,essel propack,india,,1984.0,,0,,0.0,"['consumer cyclical', 'plastics / plastic products']",not found,
1469,ess kay fincorp,,,1994.0,,,,,['nbfc'],,
1538,easemytrip.com,,,2008.0,,,,,['internet'],,
1582,evolve technologies & services,,,1991.0,,,,,['telecom'],,
1583,emami agrotech,,,2002.0,,,,,['food processing'],,
1644,edgeverve systems,,,2014.0,,,,,['it services & consulting'],,
1654,emids technologies,,,1999.0,,,,,['it services & consulting'],,
1696,efs facilities services,,,2006.0,,,,,['facility management services'],,
