id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
169026,flipkart,india,,2007.0,30000.0,0,,0.0,"['ecommerce', 'internet or mobile app based business', 'technology', 'retail', 'software and it']",sachin bansal,
91,first source,,,2001.0,,,,,['bpo'],,
99,future group,,,2013.0,,,,,['retail'],,"mumbai, maharashtra"
90883,fidelity national information services,united states,"347 riverside avenue, jacksonville, florida, 32202",1968.0,65000.0,doll_6.173 b,doll_1.3900000000000001 b,doll_0.417 b,"['technology', 'software products', 'financial services', 'business services', 'software and it']",gary a. norcross,
121,fullerton india,,,2007.0,,,,,['financial services'],,
92291,ford motor,canada,"one american road, dearborn, michigan, 48126-2701",1903.0,183000.0,doll_6.08 b,doll_13.63 b,doll_1.794 b,['automotive'],james d. farley jr.,
40931,future retail,india,,,,doll_0.026019999999999998 b,doll_0.11399999999999999 b,doll_0.04 b,['retail'],,
148805,flex,singapore,,1969.0,160000.0,doll_1.089 b,doll_2.5460000000000003 b,doll_0.613 b,"['technology', 'electronics', 'electrical products', 'capital goods']",revathi advaithi,
280,fiserv,united states,,1984.0,44000.0,doll_6.316 b,doll_1.623 b,doll_0.133 b,"['financial services', 'software and it', 'digital payment solution services', 'technology', 'software products']",frank bisignano,
40032,force motors,india,,,,doll_0.024 b,doll_0.0435 b,doll_0.00874 b,['automobile'],,
375,future generali india life insurance,,,2007.0,,,,,['insurance'],,
48992,fujitsu,japan,,1935.0,129071.0,doll_2.914 b,doll_3.283 b,doll_0.133 b,"['technology', 'software and it', 'computers and components', 'computers hardware', 'software products', 'electronics', 'air conditioners', 'consumer electronics', 'software consulting services', 'cloud services']",hirotaka hara,tokyo midtown
184186,foxconn,,,,,,,,['electronics manufacturing'],,richardson
469,fedex express,,,1971.0,,,,,['logistics'],,
482,fincare small finance bank,,,2007.0,,,,,['nbfc'],,
22433,factset,united states,,,,doll_1.54 b,doll_0.184 b,doll_0.047 b,"['financialservices', 'software', 'tech']",,
96646,faurecia,france,"23-27 avenue des champs pierreux, nanterre, 92000",1997.0,104739.0,doll_0.381 b,doll_1.85 b,doll_-0.086 b,"['consumer cyclical', 'automobile', 'automobile parts']",patrick koller,
20032,fortis healthcare,india,,1996.0,23000.0,doll_0.264 b,doll_0.706 b,doll_0.069 b,['healthcare'],not found,
580,fabindia,,,1958.0,,,,,['fashion & textile'],,
602,frankfinn institute of air hostess training,,,1993.0,,,,,['education & training'],,
649,fdc,,,1940.0,,,,,['pharma'],,
21889,fidelity national financial,united states,"1 first american way, santa ana, california, 92707",1847.0,28290.0,doll_0.025 b,doll_1.56 b,doll_0.242 b,['financial services'],raymond r quirk,
700,fresenius,germany,,1912.0,311269.0,doll_2.043 b,doll_4.426 b,doll_0.002003 b,"['healthcare', 'hospitals', 'healthcare products', 'healthcare service']",stephan sturm,bad homburg vor der höhe
718,fino payments bank,,,2006.0,,,,,['fintech'],,
132453,firstcry,india,,2010.0,,doll_6.925 b,,0.0,"['ecommerce', 'internet or mobile app based business']",not found,pune
735,fortis hospitals,,,,,,,,['healthcare / pharma'],,
777,feedback infrastructure services,,,1990.0,,,,,['engineering & construction'],,
778,fastinfo,,,2019.0,,,,,['edtech'],,
33925,future supply chain solutions,india,,,,doll_0.012960000000000001 b,,,['logistics'],,
850,fidelity investment,,,1946.0,,,,,['financial services'],,
860,fluor daniel india,,,1912.0,,,,,['engineering & construction'],,
30464,flsmidth,denmark,,1882.0,,doll_0.23700000000000002 b,,,['industrial machinery'],,copenhagen
906,future focus infotech,,,1997.0,,,,,['recruitment'],,
939,fareportal,,,2002.0,,,,,['internet'],,
1000,fusion microfinance,india,,1994.0,,,doll_0.10229 b,,['nbfc'],,
1010,flash electronics,,,1989.0,,,,,['electronics manufacturing'],,
1029,fusion bpo services,,,2004.0,,,,,['bpo'],,
1048,fis,,,,,,,,,,
174049,federal bank,india,,1931.0,12496.0,doll_0.34900000000000003 b,doll_0.11299999999999999 b,doll_0.247 b,"['financial services', 'banking services']",not found,
166851,finolex cables,india,,,,doll_0.10400000000000001 b,doll_0.054000000000000006 b,doll_0.075 b,"['industries', 'electrical products', 'cables and wires']",not found,
1121,future lifestyle fashion,,,2012.0,,,,,['retail'],,
1164,fiitjee,,,1992.0,,,,,['education & training'],,
15265,first advantage,united states,,,,doll_0.20400000000000001 b,doll_0.08 b,doll_0.08375 b,['professional services'],,
1270,fleetguard filters,,,1987.0,,,,,['auto components'],,
1311,financial software & systems,,,1991.0,,,,,['fintech'],,
1354,franklin templeton investments,,,1947.0,,,,,['financial services'],,
1425,fino paytech,,,2006.0,,,,,['fintech'],,
1439,forbes marshall,,,1925.0,,,,,['industrial machinery'],,
11450,fractal analytics,india,,2000.0,,,,,['data management & analytics'],,mumbai
1461,fiat india automobiles,,,1997.0,,,,,['automobile'],,
1545,fiem industries,,,1989.0,,,,,['auto components'],,
1574,focus edumatics,,,1999.0,,,,,['edtech'],,
1588,ferrero,,,2004.0,,,,,['food processing'],,
1626,fidelity international,,,1969.0,,,,,['financial services'],,
1636,finastra,,,2017.0,,,,,['it services & consulting'],,
1642,fedbank financial services,,,2010.0,,,,,['nbfc'],,
1649,first flight couriers,,,1988.0,,,,,['logistics'],,
1684,fena,,,1976.0,,,,,['chemicals'],,
1693,fcc clutch,,,1939.0,,,,,['auto components'],,
1797,flatworld solutions,,,2006.0,,,,,['bpo'],,
1826,federal-mogul goetze,india,,,,doll_0.020999999999999998 b,doll_0.019 b,doll_0.01444 b,['auto components'],,
1828,f1 info solutions services,,,2001.0,,,,,['it services & consulting'],,
1865,flamingo pharmaceuticals,,,1985.0,,,,,['pharma'],,
49343,fmc,united states,,,6400.0,doll_1.58 b,doll_0.504 b,doll_0.7347 b,['chemicals'],mark a. douglas,
1961,forever living products,,,1978.0,,,,,['beauty & personal care'],,
1967,five-star business finance,,,1984.0,,,,,['nbfc'],,
2085,fujiyama power system,,,1996.0,,,,,['power'],,
2086,family health plan,,,1995.0,,,,,['insurance'],,
67239,flowserve,united states,,,,doll_0.41100000000000003 b,doll_0.34900000000000003 b,doll_0.011 b,['industrial machinery'],,
2191,foodpanda,,,2012.0,,,,,['internet'],,
2222,fortis escorts hospital,,,1988.0,,,,,['healthcare'],,
2234,fcm travel solutions,,,1986.0,,,,,['travel & tourism / hospitality'],,
2286,foray software,,,2011.0,,,,,['it services & consulting'],,
2319,fluper,,,2013.0,,,,,['it services & consulting'],,
2383,fenesta building systems,,,2003.0,,,,,['furniture & furnishing'],,
2487,fabhotels,,,2014.0,,,,,['hospitality'],,
2567,four points by sheraton,,,1995.0,,,,,['hospitality'],,
184185,fossil group,united states,"901 s central expressway, richardson, texas, 75080",1984.0,,doll_0.2784 b,doll_0.19 b,,['consumer packaged goods'],,richardson
2644,flyhomes,,,2015.0,,,,,['internet'],,
2670,frigorifico allana,,,1986.0,,,,,['food processing'],,
46407,freshworks,united states,,2010.0,4300.0,doll_0.40800000000000003 b,doll_0.371 b,doll_-0.192 b,"['software and it', 'software products']",not found,
2829,focus energy,,,1986.0,,,,,['oil & gas'],,
2976,flipkart health+,,,2013.0,,,,,['internet'],,
3040,figmd,,,2010.0,,,,,['it services & consulting'],,
3093,flyjac logistics,,,1990.0,,,,,['logistics'],,
