id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
148516,genpact,united states,,1997.0,109600.0,doll_0.00974 b,doll_0.004022 b,doll_0.369 b,"['technology', 'consumer services', 'professional services', 'software and it']",not found,
131,godrej & boyce manufacturing,,,1897.0,,,,,['fmcg'],,
150,globallogic,,,2000.0,,,,,['it services & consulting'],,
189,gati kwe,,,2012.0,,,,,['logistics'],,
52419,glenmark pharmaceuticals,india,"b d s marg, chakala, off western express highway, andheri (e), mumbai, 400099",1977.0,10667.0,doll_0.145 b,doll_0.156 b,doll_0.118 b,"['healthcare', 'pharmaceutical', 'healthcare products']",not found,
246,gebbs healthcare solutions,,,2005.0,,,,,['bpo'],,
149413,g4s,uk,,,570000.0,doll_0.00538 b,doll_0.010706 b,0.0,"['industries', 'security systems and solutions', 'technology']",not found,
93058,grasim industries,india,"eastern express highway, pirojshanagar, vikhroli, mumbai, 400079",1947.0,1046.0,doll_1.335 b,doll_1.2349999999999999 b,doll_0.945 b,"['industries', 'chemicals', 'conglomerate']",jayant v dhobley,
381,ge,,,1892.0,,,,,['engineering & construction'],,
384,gvk emergency management and research institute,,,2005.0,,,,,['non-profit'],,
388,gabriel india,india,,,,doll_0.032 b,doll_0.034999999999999996 b,doll_0.022019999999999998 b,['auto components'],,
446,g r infraprojects,,,1995.0,,,,,['engineering & construction'],,
51330,gea group,germany,"peter-mueller-str. 12, duesseldorf, 40468",1881.0,18232.0,doll_0.768 b,doll_0.005182 b,doll_0.336 b,"['real estate', 'property investments', 'investments']",not found,düsseldorf
634,glaxosmithkline pharmaceuticals,,,,,,,,['pharma'],,
635,gannon dunkerley,,,1924.0,,,,,['engineering & construction'],,
65312,gland pharma,india,,1978.0,,doll_0.281 b,doll_0.052000000000000005 b,doll_0.152 b,"['healthcare', 'pharmaceutical']",not found,
156265,granules india,india,,,4843.0,doll_0.10600000000000001 b,doll_0.467 b,doll_0.052 b,"['healthcare', 'healthcare products', 'pharmaceutical']",not found,
176736,godrej agrovet,india,"plot no b-2, m.i.d.c, miraj industrial area, mumbai, 400079",,,doll_0.00134 b,doll_0.11000000000000001 b,doll_0.05 b,"['consumer defensive', 'agriculture products', 'fmcg', 'farming / seeds / milling']",not found,
57056,gail,india,,,,doll_0.784 b,doll_1.6629999999999998 b,doll_0.199 b,['oil & gas'],,
184212,google,,,,,,,,['internet'],,1600 amphitheatre parkway
137411,godrej consumer products,india,"pirojshanagar, eastern express highway, vikhroli, mumbai, 400079",2001.0,2768.0,doll_1.16 b,doll_0.16999999999999998 b,doll_0.223 b,"['consumer defensive', 'fmcg', 'personal care products']",not found,
19488,gujarat fluorochemicals,india,,1987.0,,doll_0.383 b,doll_0.061 b,doll_0.099 b,['chemicals'],not found,
814,globiva,,,2017.0,,,,,['bpo'],,
841,gammon india,,,1922.0,,,,,['engineering & construction'],,
869,gmmco,,,1967.0,,,,,['real estate'],,
895,greaves cotton,,,1859.0,,,,,['industrial machinery'],,
902,galfar,,,1972.0,,,,,['engineering & construction'],,
128032,glaxosmithkline consumer healthcare,india,,,,doll_2.75 b,,0.0,"['consumer defensive', 'fmcg', 'food and beverage', 'beverages', 'non-alcoholic beverages', 'food products', 'healthcare products']",not found,
931,genius consultants,,,1993.0,,,,,['recruitment'],,
121980,ge power,united kingdom,newbold road,,,,,,['engineering & construction'],,rugby
962,gvpr engineers,,,1997.0,,,,,['engineering & construction'],,
57984,godrej properties,india,,1990.0,1779.0,doll_0.42300000000000004 b,doll_0.228 b,doll_0.044 b,['real estate'],not found,
969,godfrey phillips india,,,1933.0,,,,,['fmcg'],,
