ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
34,infosys,india,,,,,,,,,,,;
55425,ibm,united states,,,,,,,,,,,;
64769,indusind bank,india,,,,,doll_66.87 b,,,,,,;
29376,idfc first bank,india,,,,,,,,,,,;
57,ienergizer,,,,2000,,,,,bpo,,,;
65153,indian bank,india,,,,,,,,,,,;
34371,itc,india,,,,,doll_42.06 b,,,,,,;
69,iifl,,,,1995,,,,,financial services,,,;
140704,intercorp financial services,,,,,,,,,,,,;
27297,iqvia,united states,,,,,doll_43.56 b,,,,,,;
130,indiamart intermesh,,,,1996,,,,,internet,,,;
182,indian air force,,,,1932,,,,,defence & aerospace,,,;
19073,idexx laboratories,united states,,,,,doll_2.70 b,,,,,,;
229,itc infotech india,,,,2000,,,,,it services & consulting,,,;
160902,indigo ag,united states,,,,,,,,,,,;
9345,innovative industrial,,,,,,,,,,,,;
28993,indus towers,india,,,,,doll_6.03 b,,,,,,;
354,iks health,,,,2007,,,,,healthcare,,,;
368,indiabulls,,,,2000,,,,,nbfc,,,;
137857,info edge,india,,,,,doll_5.97 b,,,,,,;
64769,idbi bank,india,,,,,doll_66.87 b,,,,,,;
144704,intellect design arena,india,,,,,doll_1.26 b,,,,,,;
481,itc hotels,,,,1975,,,,,hospitality,,,;
483,innovsource services,,,,2004,,,,,recruitment,,,;
509,inox leisure,,,,1999,,,,,media & entertainment,,,;
136161,infineon technologies ag,germany,,,,,,,,,,,;
545,isgec,,,,1933,,,,,industrial machinery,,,;
546,iksula,,,,2007,,,,,it services & consulting,,,;
2795,iss facility services,,,,2005,,,,,facility management services,,,;
65315,indiabulls housing finance,india,,,,,,,,,,,;
2177,indian railway finance,india,,,,,,,,,,,;
646,idc technologies,,,,2003,,,,,it services & consulting,,,;
655,itd cementation india,,,,1931,,,,,engineering & construction,,,;
32384,indoco remedies,india,,,,,doll_0.45 b,,,,,,;
677,iffco tokio general insurance co.,,,,2000,,,,,insurance,,,;
708,icici home finance,,,,1999,,,,,nbfc,,,;
720,ison xperiences,,,,2011,,,,,bpo,,,;
729,infinite computer solutions,,,,2001,,,,,it services & consulting,,,;
65927,intertek,,,,,44.063,doll_8.62 b,doll_3.76 b,doll_0.55 b,,,,;
2470,iodine software,,,,,,,,,it services & consulting,,,;
771,indiafirst life insurance,,,,2009,,,,,insurance,,,;
817,infogain,,,,1990,,,,,it services & consulting,,,;
821,indegene,,,,1998,,,,,analytics & kpo,,,;
1749,infrastructure leasing & financial services,,,,2002,,,,,financial services,,,;
856,ion exchange india,,,,1964,,,,,waste management,,,;
867,indo-mim,,,,1998,,,,,industrial machinery,,,;
920,imperial auto industries,,,,1969,,,,,automobile,,,;
952,ivrcl infrastructures & projects,,,,1987,,,,,engineering & construction,,,;
70467,ihs markit ltd.,united kingdom,,,,,,,,consulting services,industrials,,;
1051,imerit,,,,2012,,,,,software product,,,;
1106,iffco,,,,1967,,,,,agro chemicals,,,;
1107,ingram micro,united states,,,,,,,,,,,;
1109,iccs,,,,2005,,,,,bpo,,,;
1132,investors clinic,,,,2009,,,,,real estate,,,;
1141,innodata isogen,,,,1997,,,,,it services & consulting,,,;
184257,intel,united states,,,,,,,,,,,;
30304,iveco group,italy,,,,,,,,,,,;
1150,ica edu skills,,,,1999,,,,,education & training,,,;
1165,incedo,,,,2011,,,,,it services & consulting,,,;
148581,isuzu motors,japan,,,,,doll_9.3 b,,,,,,;
1199,indo autotech,,,,1974,,,,,auto components,,,;
1227,india japan lighting,,,,1996,,,,,auto components,,,;
1234,integreon,,,,2000,,,,,legal,,,;
65537,inox wind,india,,,,,doll_0.36 b,,,,,,;
1281,imco engineering & construction,,,,1996,,,,,engineering & construction,,,;
1299,infinx,,,,2012,,,,,it services & consulting,,,;
1356,intellipaat software solutions,,,,2007,,,,,it services & consulting,,,;
103309,itv plc,ireland,,,,,,,,,,,;
1475,ind-swift laboratories,,,,1995,,,,,pharma,,,;
1506,irb infrastructure,,,,1998,,,,,engineering & construction,,,;
39491,ifb industries,india,,,,,doll_0.44 b,,,,,,;
1533,idemia,,,,2017,,,,,law enforcement & security,,,;
1537,ivy comptech,,,,2001,,,,,it services & consulting,,,;
1555,ifb,,,,1974,,,,,consumer electronics & appliances,,,;
1569,iftm university,,,,1996,,,,,education & training,,,;
101538,invenio business solutions,,,,2004,,,,,it services & consulting,,,;
1794,idbi intech,,,,2000,,,,,it services & consulting,,,;
35137,iron mountain,united states,,,,,,,,,,,;
1810,indianmoney.com,,,,2008,,,,,investment banking / venture capital / private equity,,,;
1814,itsource technologies,,,,1998,,,,,it services & consulting,,,;
1913,inurture education solutions,,,,2005,,,,,education & training,,,;
1937,ienergizer bpo services,,,,0,,,,,bpo,,,;
149250,idp education,australia,,,,,doll_5.76 b,,,,,,;
20517,indraprastha gas,india,,,,,doll_3.56 b,,,,,,;
39905,india glycols,india,,,,,doll_0.28 b,,,,,,;
2028,iffco kisan sanchar,,,,2007,,,,,agro chemicals,,,;
2032,indian space research organisation,,,,1969,,,,,defence & aerospace,,,;
143790,iti,india,,,,,,,,,,,;
60930,international game technology,united states,,,,,,,,,,,;
2146,insolutions global,,,,2004,,,,,fintech,,,;
2242,infiniti research,,,,2003,,,,,analytics & kpo,,,;
2250,indian immunologicals,,,,1982,,,,,biotechnology,,,;
2272,india glycols,india,,,,,,,,,,,;
54723,india nippon electricals,india,,,,,doll_0.10 b,,,,,,;
2292,imsi,,,,1986,,,,,recruitment,,,;
2293,internezy,,,,0,,,,,edtech,,,;
2308,infosys consulting,,,,2004,,,,,it services & consulting,,,;
44800,ingersoll rand,india,,,,,doll_21.13 b,,,,,,;
183202,ikea,,,,,,,,,,,,;
2419,intercontinental consultants & technocrats,,,,1987,,,,,engineering & construction,,,;
148288,invesco,united states,,,,,,,,,,,;
2460,inspirisys solution,,,,1991,,,,,it services & consulting,,,;
21312,indian overseas bank,india,,,,,doll_7.49 b,,,,,,;
2471,indo farm equipment,,,,1994,,,,,industrial machinery,,,;
2485,iot infrastructure & energy,,,,1996,,,,,engineering & construction,,,;
2498,ipe global,,,,1998,,,,,management consulting,,,;
2505,ircon international,,,,1976,,,,,engineering & construction,,,;
2509,ims people,,,,2006,,,,,recruitment,,,;
2628,icra,,,,1991,,,,,financial services,,,;
2664,ichhapurti.com,,,,0,,,,,software product,,,;
2671,ivtl infoview technologies,,,,2000,,,,,it services & consulting,,,;
2673,indorama,,,,1975,,,,,fashion & textile,,,;
2772,iocl refinery,,,,1959,,,,,oil & gas,,,;
6555,ids infotech,,,,1989,,,,,it services & consulting,,,;
135202,indiabulls real estate,india,,,,,,,,,,,;
2884,infostretch,,,,2004,,,,,it services & consulting,,,;
2979,ihh healthcare,malaysia,,,,,,,,,,,;
2950,indo german tool room,,,,1995,,,,,government,,,;
2964,indian public school,,,,2004,,,,,education & training,,,;
2983,imarque solutions,,,,2004,,,,,it services & consulting,,,;
3007,infodrive,,,,1996,,,,,other,,,;
3106,infra.market,india,,,2016,,,,,e-commerce & direct-to-consumer,,,;
3194,itcons e-solutions,,,,2007,,,,,it services & consulting,,,;
3216,international automotive components group limited,,,,,,,,,,,,;
3221,invensis technologies,,,,2000,,,,,bpo,,,;
3344,ivy hospital,,,,2008,,,,,healthcare,,,;
3351,industrybuying.com,,,,2013,,,,,import & export,,,;
3353,in time tec visionsoft,,,,2009,,,,,it services & consulting,,,;
3382,ismt,,,,1977,,,,,iron & steel,,,;
3390,iifl finance,india,,,,,,,,,,,;
3486,iball,,,,2001,,,,,consumer electronics & appliances,,,;
3532,imc,,,,1935,,,,,ports & shipping,,,;
3541,isro satellite center,,,,1976,,,,,defence & aerospace,,,;
3553,infobeans,india,,,,,,,,,technology,,;
3578,im gears,,,,1965,,,,,auto components,,,;
3614,intelliswift software,,,,2001,,,,,software product,,,;
3626,iq backoffice,,,,2002,,,,,it services & consulting,,,;
3627,income tax department india,,,,1860,,,,,government,,,;
3636,indchemie health specialities,,,,1986,,,,,pharma,,,;
3637,indiacan,,,,2008,,,,,edtech,,,;
3643,ict sms,,,,2009,,,,,it services & consulting,,,;
