ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
48,jana small finance bank,,,,2006,,,,,banking,,,;
34081,jpmorgan chase,united states,,,,,doll_410.84 b,,,,,,;
6661,jsw steel,india,,,,,,,,,,,;
100,jll,,,,1997,,,,,real estate,,,;
103,justdial,,,,1996,,,,,internet,,,;
4883,john energy,,,,2001,,,,,it services & consulting,,,;
37315,jk cement,india,,,,,doll_2.75 b,,,,,,;
269,jmc projects,,,,1982,,,,,engineering & construction,,,;
370,jk tyres,,,,1951,,,,,auto components,,,;
62215,johnson outdoors,united states,,,,,,,,,,,;
382,jcb,,,,1945,,,,,industrial machinery,,,;
422,jet airways,,,,1993,,,,,aviation,,,;
144902,jubilant foodworks,india,,,,,,,,,,,;
66817,johnson & johnson,united states,,,,,doll_475.93 b,,,,,,;
554,j. kumar infraprojects,,,,1980,,,,,engineering & construction,,,;
8938,jindal itf,,,,2007,,,,,engineering & construction,,,;
643,jw marriott,,,,1927,,,,,hospitality,,,;
4320,jubilant pharmova,india,,,,,,,,,,,;
791,jaquar,,,,1960,,,,,furniture & furnishing,,,;
801,jaypee cement,,,,2009,,,,,building material,,,;
22400,jacobs engineering,united states,,,,,,,,,,,;
1011,jtekt,,,,2006,,,,,auto components,,,;
61345,jain irrigation systems,india,,,,,doll_0.25 b,,,,,,;
1156,jiomart,,,,0,,,,,,,,;
1329,jabil circuit india,,,,1966,,,,,electronics manufacturing,,,;
1346,jk paper,,,,1962,,,,,pulp & paper,,,;
1366,jaro education,,,,2009,,,,,edtech,,,;
1505,jk tech,,,,1994,,,,,it services & consulting,,,;
1553,j k fenner,,,,1987,,,,,engineering & construction,,,;
1610,jcet group,china,,,,,,,,,,,;
1652,jiva ayurvedic pharmacy,,,,1992,,,,,healthcare,,,;
1694,jtekt sona automotive india,,,,2007,,,,,auto components,,,;
146334,jm financial,india,,,,,,,,,,,;
1912,jbs enterprises,,,,1987,,,,,electronics manufacturing,,,;
1917,jio platforms,,,,0,,,,,it services & consulting,,,;
2068,jamna auto industries,,,,1954,,,,,auto components,,,;
2166,jyoti cnc automation,,,,1989,,,,,industrial machinery,,,;
2314,jumio,,,,2010,,,,,it services & consulting,,,;
2359,jetking infotrain,,,,1947,,,,,edtech,,,;
2404,johnson controls hitachi air conditioning,,,,0,,,,,consumer electronics & appliances,,,;
2455,jeeves consumer services,,,,2007,,,,,consumer electronics & appliances,,,;
2515,jupiter hospital,,,,2007,,,,,healthcare,,,;
2615,joyalukkas,,,,1987,,,,,retail,,,;
2667,jubilant agri and consumer products,,,,2010,,,,,chemicals,,,;
2678,jay chemical industries,,,,1967,,,,,chemicals,,,;
2689,jsw energy,india,,,,,doll_5.41 b,,,,,,;
137635,juniper networks,united states,,,,,doll_11.66 m,,,,,,;
2704,jockey,,,,1876,,,,,fashion & textile,,,;
2864,joulestowatts business solutions,,,,2015,,,,,it services & consulting,,,;
5369,jsw paints,,,,2016,,,,,chemicals,,,;
3573,jain university,,,,2009,,,,,education & training,,,;
43875,jagran prakashan,india,,,,,doll_0.24 b,,,,,,;
3593,jaipur rugs,,,,1978,,,,,import & export,,,;
3905,jay ushin,,,,1959,,,,,auto components,,,;
3923,jaguar land rover,,,,2008,,,,,automobile,,,;
4002,jsg group,,,,2010,,,,,auto components,,,;
4024,jaguar security services,,,,1990,,,,,law enforcement & security,,,;
4069,jade global,,,,2003,,,,,it services & consulting,,,;
4148,jgc corporation,,,,1928,,,,,engineering & construction,,,;
4192,jk agri genetics,,,,1989,,,,,biotechnology,,,;
4233,jitm skills,,,,2013,,,,,education & training,,,;
4227,jct,,,,1946,,,,,fashion & textile,,,;
4352,jmr infotech,,,,2007,,,,,it services & consulting,,,;
4387,jbf industries,,,,1982,,,,,fashion & textile,,,;
4396,jaiprakash power ventures,,,,1994,,,,,power,,,;
4417,jaslok hospital and research centre,,,,1973,,,,,healthcare,,,;
181291,joannou & paraskevaides,,guernsey,,1961,,,,,industrials,heavy construction,,;
4568,jp infra,,,,2006,,,,,real estate,,,;
4692,jabong,,,,2011,,,,,internet,,,;
4763,j. c. penney,,,,1902,,,,,retail,,,;
4866,jeena & company,,,,1900,,,,,logistics,,,;
4894,jay jay mills,,,,1971,,,,,fashion & textile,,,;
4941,jbm auto components,,,,1983,,,,,auto components,,,;
5094,jyote motors,,,,1996,,,,,automobile,,,;
5162,jasper industries,,,,1955,,,,,other,,,;
5282,jayem automotives,,,,1991,,,,,auto components,,,;
5317,joyson safety systems,,,,1997,,,,,auto components,,,;
5397,jms mining services,,,,2002,,,,,metals & mining,,,;
5412,jasmin infotech,,,,1998,,,,,hardware & networking,,,;
5416,jamia hamdard university,,,,1989,,,,,education & training,,,;
5565,j g hosiery,,,,0,,,,,fashion & textile,,,;
5585,jaipur national university,,,,2007,,,,,education & training,,,;
5607,japfa comfeed,,,,1995,,,,,agriculture,,,;
5668,john deere financial,,,,1837,,,,,nbfc,,,;
5777,jehangir hospital,,,,1946,,,,,healthcare,,,;
5916,john crane sealing systems india,,,,2012,,,,,industrial machinery,,,;
5919,j pan tubular components,,,,2007,,,,,industrial machinery,,,;
6057,jsw severfield structures,,,,2009,,,,,engineering & construction,,,;
6122,jamboree education,,,,1993,,,,,edtech,,,;
6154,john cockerill,,,,1986,,,,,architecture & interior design,,,;
6219,j&f,,,,2017,,,,,engineering & construction,,,;
6381,jamia millia islamia,,,,1920,,,,,education & training,,,;
6390,jwil,,,,0,,,,,facility management services,,,;
6445,jharkhand state livelihood promotion society,,,,2009,,,,,government,,,;
6454,jasper colin research,,,,2008,,,,,analytics & kpo,,,;
6627,jpm industries,,,,1959,,,,,industrial machinery,,,;
6796,jumbo electronics,,,,1974,,,,,retail,,,;
6813,jawed habib hair & beauty,,,,2006,,,,,retail,,,;
6906,john distilleries,,,,1996,,,,,beverage,,,;
7043,j&k bank,,,,1938,,,,,banking,,,;
44514,jbm auto,india,,,,,doll_0.78 b,,,,,,;
7095,jaypee brothers medical publishers,,,,1969,,,,,printing & publishing,,,;
7106,jobby engineers,,,,1970,,,,,engineering & construction,,,;
22400,jacobs engineering,united states,,,,,,,,,,,;
7227,jal international,,,,1985,,,,,oil & gas,,,;
7358,jm frictech,,,,2008,,,,,industrial machinery,,,;
7365,jaycee punching solution,,,,2007,,,,,electronics manufacturing,,,;
7415,jai kisan,,,,2017,,,,,internet,,,;
7491,jivo wellness,,,,2008,,,,,fmcg,,,;
7560,jconnect infotech,,,,2008,,,,,recruitment,,,;
7805,jaac techno services,,,,2009,,,,,industrial machinery,,,;
7880,jpal,,,,2003,,,,,analytics & kpo,,,;
7992,jain farm fresh foods,,,,1963,,,,,fmcg,,,;
8161,junglee games,,,,2012,,,,,it services & consulting,,,;
8177,jrg automotive india,,,,2007,,,,,auto components,,,;
8338,jsl stainless,,,,1970,,,,,iron & steel,,,;
8359,juma al majid group,,,,1950,,,,,engineering & construction,,,;
39844,jaypee group,india,,,,,doll_0.29 b,,,,,,;
8768,jumbo finvest india,,,,1998,,,,,nbfc,,,;
8799,jungleworks,,,,2017,,,,,software product,,,;
8816,joister infomedia,,,,2002,,,,,internet,,,;
8835,jaguar overseas,,,,1991,,,,,engineering & construction,,,;
8870,jayabheri automotives,,,,1987,,,,,engineering & construction,,,;
