id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
94860,kotak mahindra bank,india,"27bkc, c 27, g block, bandra kurla complex, bandra (e), mumbai, 400051",2003.0,71000.0,doll_4.483 b,doll_0.792 b,doll_0.151 b,"['financial services', 'banking services']",uday kotak,
183209,kpmg,,,1987.0,,,,,['business support services'],,amstelveen
164800,kec international,india,"rpg house, 463, dr. annie besant road, worli, mumbai, 400030",,9328.0,doll_0.153 b,doll_0.19 b,doll_0.042 b,"['industries', 'construction']",mr. jacques-antoine  de geffrier,
215,kochartech,,,1995.0,,,,,['it services & consulting'],,
241,kotak mahindara life insurance,,,2001.0,,,,,['insurance'],,
37506,kpit technologies,india,,1990.0,,doll_0.233 b,doll_0.304 b,doll_0.034 b,"['technology', 'software and it']",not found,
313,kalyan jewellers,,,1993.0,,,,,['metals & mining'],,
150374,kansai nerolac paints,india,,1920.0,2992.0,doll_0.00431 b,doll_0.786 b,doll_0.045 b,"['basic materials', 'paints and coatings', 'chemicals']",not found,
44931,kalpataru power transmission,india,"101, kalpataru synergy, 7th floor, opp, grand hyatt hotel, vakola, santacruz (e), mumbai, 400055",,3072.0,doll_0.101 b,doll_0.2 b,doll_0.015 b,"['electricity', 'construction', 'energy']",,
414,karvy data management services,,,2008.0,,,,,['analytics & kpo'],,
131394,kiwoom securities,south korea,,2000.0,,doll_0.00261 b,doll_0.2 b,doll_0.676 b,"['financial services', 'stock markets, trading, capital markets', 'trading', 'securities', 'brokerage services']",hyun-soon hwang,
55938,kone,finland,,1910.0,,doll_2.587 b,doll_1.2429999999999999 b,doll_0.12 b,['industrial machinery'],henrik georg fredrik ehrnrooth,helsinki
513,kent ro systems,,,1999.0,,,,,['consumer electronics & appliances'],,
531,kfc,,,1952.0,,,,,['hospitality'],,
622,karma ayurveda,,,,,,,,['healthcare'],,
37216,kyndryl,united states,,,,doll_0.27799999999999997 b,doll_1.7449999999999999 b,doll_0.135 b,['it services'],,
636,kia motors,,,1944.0,,,,,['automobile'],,
780,kendriya vidyalaya sangathan,,,1963.0,,,,,['education & training'],,
786,kirloskar oil engines,,,1946.0,,,,,['industrial machinery'],,
806,karvy computershare,,,,,,,,,,
811,karvy stock broking,,,1990.0,,,,,['financial services'],,
838,kirloskar brothers,,,1888.0,,,,,['industrial machinery'],,
176769,kei industries,india,,,,doll_0.00134 b,doll_0.711 b,doll_0.047 b,"['industries', 'electrical products', 'cables and wires']",not found,
916,kinara capital,india,,2011.0,,,doll_0.0318 b,,['fintech'],,
979,kims hospital,,,2012.0,,,,,['healthcare'],,
59936,karur vysya bank,india,,,,doll_0.10400000000000001 b,doll_0.049 b,doll_0.015 b,"['banks', 'financialservices']",,
1037,knorr-bremse,germany,"moosacher str. 80, muenchen, 80809",1905.0,29000.0,doll_1.034 b,doll_0.79 b,doll_0.621 b,"['consumer cyclical', 'railway', 'automobile parts', 'automobile']",dr. jan michael mrosik,munich
1038,kurlon,,,1962.0,,,,,['other'],,
1089,kohler,,,1873.0,,,,,['furniture & furnishing'],,
1097,kutumbh care,,,2007.0,,,,,['recruitment'],,
1125,kalpataru group,,,1969.0,,,,,['real estate'],,
1129,k12 techno services,,,2010.0,,,,,['edtech'],,
1155,knight frank,,,1896.0,,,,,['real estate'],,
1212,kfintech,,,2017.0,,,,,['fintech'],,
1278,kmv projects,,,2007.0,,,,,['engineering & construction'],,
1353,k raheja corp,,,1956.0,,,,,['real estate'],,
1396,kgisl,,,1996.0,,,,,['it services & consulting'],,
1416,kidzee,,,2003.0,,,,,['edtech'],,
1431,kantar,,,2008.0,,,,,['marketing & advertising'],,
1442,kellogg,united states,"po box 3599, one kellogg square, battle creek, michigan, 49016",1906.0,31000.0,doll_2.353 b,doll_1.42 b,doll_0.149 b,['consumer packaged goods'],steven cahillane,
1443,kfin technologies,,,2017.0,,,,,['it services & consulting'],,
1456,karvy digikonnect,,,2015.0,,,,,['financial services'],,
1515,keventer,,,1986.0,,,,,['fmcg'],,
1539,khazana jewellery,,,1989.0,,,,,['jewellery'],,
1602,keihin fie,,,1956.0,,,,,['auto components'],,
1623,kantar imrb,,,1970.0,,,,,['analytics & kpo'],,
1646,kunal structure,,,2006.0,,,,,['real estate'],,
24640,kajaria ceramics,india,,1985.0,2521.0,doll_0.21600000000000003 b,doll_0.463 b,doll_0.047 b,"['industries', 'construction materials', 'building products and equipment']",not found,
1666,kingsway financial services,canada,,,,doll_0.019 b,doll_0.012 b,doll_0.0405 b,['insurance financial-services '],,
1700,kaya skin clinic,,,2003.0,,,,,['retail'],,
1731,kirloskar pneumatic,,,1958.0,,,,,['industrial machinery'],,
1757,kissht finance,,,2015.0,,,,,['fintech'],,
1798,kataria automobiles,,,1990.0,,,,,['automobile'],,
1902,khadims,,,1965.0,,,,,['fashion & textile'],,
1955,kirloskar toyota textile machinery,,,1995.0,,,,,['industrial machinery'],,
1963,kuwait national petroleum company,,,1960.0,,,,,['oil & gas'],,
2040,kharafi national,,,1976.0,,,,,['engineering & construction'],,
