ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
138993,lupin,india,,,,,,,,,,,;
59,l&t infotech,,,,1996,,,,,it services & consulting,,,;
113,l&t construction,,,,1944,,,,,engineering & construction,,,;
154,l&t financial services,,,,1994,,,,,nbfc,,,;
161,lg electronics,south korea,,,,,,,,,,,;
124256,l&t technology services,,,,,,,,,,,,;
14978,lhc group,united states,,,,,doll_53.76 b,,,,,,;
272,legato health technology,,,,0,,,,,it services & consulting,,,;
274,lifestyle,,,,1999,,,,,retail,,,;
289,lenskart,india,,,,,,,,,,,;
390,lucas-tvs,,,,1961,,,,,auto components,,,;
451,laurus labs,,,,2005,,,,,pharma,,,;
542,l.g.balakrishnan & bros,,,,1937,,,,,industrial machinery,,,;
555,l&t energy hydrocarbon,,,,2009,,,,,oil & gas,,,;
23680,lumax industries,united states,,,,,doll_0.12 b,,,,,,;
691,luminous power technologies,,,,1988,,,,,electrical equipment,,,;
743,lemon tree hotels,,,,2002,,,,,hospitality,,,;
135856,l'oreal,france,,,,,doll_249.14 b,,,,,,;
984,livspace,india,,,2015,,,,,e-commerce & direct-to-consumer,,,;
1049,l&t power,,,,2006,,,,,power,,,;
1113,leadec,,,,1962,,,,,facility management services,,,;
1177,lumina datamatics,,,,1975,,,,,it services & consulting,,,;
1195,lea associates south asia,,,,1993,,,,,power,,,;
1232,lifecell international,,,,2004,,,,,biotechnology,,,;
1296,lovely professional university,,,,2005,,,,,education & training,,,;
1326,lionbridge technologies,,,,1996,,,,,content development,,,;
1342,labcorp drug development,,,,1982,,,,,clinical research,,,;
11705,lead school,india,,,,,,,,edtech,,,;
1348,levi strauss & co.,,,,1853,,,,,retail,,,;
1364,le méridien,,,,1972,,,,,hospitality,,,;
1467,leighton contractors,,,,1998,,,,,engineering & construction,,,;
1529,livpure,,,,2010,,,,,consumer electronics & appliances,,,;
40608,lifeway foods,united states,,,,,doll_92.53 m,,,,,,;
28417,lenovo,hong kong,,,,,,,,,,,;
1609,l & w constructions,,,,2006,,,,,engineering & construction,,,;
42242,lic housing finance,india,,,,,,,,,,,;
1640,lohia group,,,,1976,,,,,industrial machinery,,,;
1643,lg soft india,,,,1996,,,,,it services & consulting,,,;
