id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
47744,ntt data,japan,,,,doll_2.121 b,,,['it-services professional-services '],,
56002,nokia,finland,,1865.0,,doll_2.966 b,doll_2.6239999999999997 b,doll_0.192 b,['telecommunications equipment'],pekka ilmari lundmark,espoo
151873,nagarro,germany,,1996.0,,doll_0.188 b,doll_0.546 b,doll_0.03 b,"['technology', 'software and it']",not found,
143,nagarjuna construction company,,,1998.0,,,,,['engineering & construction'],,
66311,natwest group,united kingdom,"gogarburn, po box 1000, edinburgh, eh121hq",1968.0,58900.0,doll_3.554 b,doll_1.465 b,doll_0.512 b,"['banking services', 'insurance', 'financial services']",alison rose,
273,nestle,,,1959.0,,,,,['food processing'],,
353,niit technologies,,,2004.0,,,,,['it services & consulting'],,
420,ninjacart,,,2015.0,,,,,['logistics'],,
426,narayana health,,,2000.0,,,,,['healthcare'],,
58208,ncr corporation,united states,,1884.0,34000.0,doll_0.361 b,doll_0.786 b,doll_0.097 b,"['technology', 'office equipment', 'software and it']",mr. michael dale hayford cpa,
92299,novartis,switzerland,"lichtstrasse 35, basel, 4056",1996.0,104323.0,doll_20.413 b,doll_0.052877 b,doll_2.414 b,"['pharmaceuticals', 'biotech']",vasant narasimhan,
533,narayana educational society,,,1985.0,,,,,['education & training'],,
137057,ntpc,india,,1975.0,19918.0,doll_2.032 b,doll_1.7 b,doll_0.217 b,"['utilities', 'electricity generation', 'power generation', 'electric utilities', 'utilities', 'natural gas generation', 'mining', 'coal mining', 'energy']",gurdeep singh,
13679,nobroker,india,,2014.0,,,,,['internet software & services'],,bengaluru
548,niit,,,1981.0,,,,,['education & training'],,
549,nayara energy,,,1989.0,,,,,['oil & gas'],,
605,northern trust operating services,,,2005.0,,,,,['financial services'],,
654,nse.it,,,1999.0,,,,,['it services & consulting'],,
658,nuvoco vistas,,,1999.0,,,,,['building material'],,
690,nielsen,,,1923.0,,,,,['it services & consulting'],,
704,nsh,,,1978.0,,,,,['engineering & construction'],,
752,newgen software technologies,,,1992.0,,,,,['it services & consulting'],,
95972,nec,japan,,1899.0,,doll_1.09 b,doll_2.772 b,doll_0.10900000000000001 b,['technology hardware & equipment'],takayuki morita,vevey
795,next education india,,,2007.0,,,,,['edtech'],,
808,nirma,,,1990.0,,,,,['chemicals'],,
109961,novo nordisk,denmark,"novo alle 1, bagsvaerd, 2880",1923.0,47792.0,doll_25.724 b,doll_0.020838000000000002 b,doll_7.068 b,"['pharmaceuticals', 'biotech']",lars fruergaard jorgensen,copenhagen
17056,nilkamal,india,,,,doll_0.034999999999999996 b,doll_0.039 b,doll_0.01801 b,['furniture & furnishing'],,
866,nexa,,,2015.0,,,,,['automobile'],,
136705,nippon paint holdings co. ltd,japan,"6-17, akashi-cho, chuo-ku, tokyo, 104-0044",1881.0,27318.0,doll_2.038 b,doll_0.85 b,doll_0.606 b,['chemicals'],masaaki tanaka,
923,neel metal products,,,,,,,,['metals & mining'],,
973,napino auto & electronics,,,1997.0,,,,,['auto components'],,
986,natco pharma,india,,1981.0,5026.0,doll_0.123 b,doll_0.243 b,doll_0.021 b,"['healthcare', 'healthcare products', 'pharmaceutical']",not found,
997,navayuga engineering company,,,1899.0,,,,,['engineering & construction'],,
1008,neosoft,,,1996.0,,,,,['it services & consulting'],,
141216,national health investors,united states,,,,doll_0.24100000000000002 b,doll_0.027000000000000003 b,doll_0.111 b,"['real estate', 'consumer services', 'property investments']",not found,
1152,nykaa,india,,,,doll_0.491 b,doll_0.056999999999999995 b,doll_0.01549 b,"['ecommerce', 'tech', 'internet', 'retail']",,
1192,nityo infotech,,,2006.0,,,,,['it services & consulting'],,
1238,nsb bpo solutions,,,1993.0,,,,,['bpo'],,
1250,neeyamo enterprise solutions,,,2009.0,,,,,['recruitment'],,
1286,netscribes,,,2000.0,,,,,['analytics & kpo'],,
1314,nobrokerhood,,,,,,,,['software product'],,
1315,netcracker,,,1993.0,,,,,['it services & consulting'],,
1322,nthrive global solutions,,,2003.0,,,,,['it services & consulting'],,
1361,nrb bearings,,,1965.0,,,,,['auto components'],,
156946,ncc group,uk,,,,doll_0.94 b,,doll_0.027 b,"['technology', 'software and it']",,
26145,neuland laboratories,india,,,,doll_0.026000000000000002 b,doll_0.012 b,doll_0.01388 b,['pharmaceuticals'],,
1451,novotel hotels,,,1967.0,,,,,['hospitality'],,
1460,nagarjuna fertilizers and chemicals,,,1985.0,,,,,['agro chemicals'],,
1473,naukri,,,1996.0,,,,,['internet'],,
1481,nelito system,,,1995.0,,,,,['it services & consulting'],,
1495,neclife,,,1995.0,,,,,['pharma'],,
1516,navitasys india,,,,,,,,['electrical equipment'],,
65474,nucleus software exports,india,,,,doll_0.012 b,doll_0.06881 b,doll_0.00855 b,"['software', 'tech']",,
26882,nvidia,united states,,1993.0,22473.0,doll_66.038 b,doll_2.691 b,doll_0.601 b,['it services & consulting'],mr. jen-hsun  huang,
1581,ness technologies,,,1999.0,,,,,['it services & consulting'],,
137344,nomura holdings,japan,"1-13-1 nihonbash, chuo-ku, tokyo, 103-8645",,15330.0,doll_1.197 b,doll_0.009185 b,doll_0.0010429999999999999 b,"['financial services', 'asset management', 'investments', 'securities', 'banking services', 'stock markets, trading, capital markets']",kentaro okuda,
1591,nj india invest,,,1994.0,,,,,['financial services'],,
1593,nephroplus,,,2009.0,,,,,['healthcare'],,
1606,national informatics centre,,,1976.0,,,,,['it services & consulting'],,
1631,nissin brake,,,2007.0,,,,,['auto components'],,
1725,nihilent,,,2000.0,,,,,['it services & consulting'],,
1734,nlb services,,,2007.0,,,,,['recruitment'],,
1762,netconnectglobal,,,1997.0,,,,,['it services & consulting'],,
1765,novartis healthcare,,,1996.0,,,,,['pharma'],,
1766,n.c.l. industries,,,1980.0,,,,,['building material'],,
1777,national bulk handling corporation,,,2003.0,,,,,['agriculture'],,
1824,ncccl,,,1946.0,,,,,['engineering & construction'],,
1831,ntt,,,1988.0,,,,,['it services & consulting'],,
1881,nu vista,,,1974.0,,,,,['building material'],,
1924,nash industries,,,1971.0,,,,,['industrial machinery'],,
1940,netambit,,,2000.0,,,,,['fintech'],,
1944,nivea,,,,,,,,['beauty & personal care'],,"beaverton, oregon"
1957,north east small finance bank,,,2016.0,,,,,['banking'],,
1976,nowfloats technologies,,,2012.0,,,,,['software product'],,
2050,nissan,japan,,,,doll_1.319 b,,,['automobile'],,"minami-ku, kyoto"
147329,northern trust corporation,united states,"50 s lasalle st, chicago, illinois, 60603-1008",1889.0,21100.0,doll_2.442 b,doll_0.657 b,doll_0.153 b,['financial services'],michael g. o'grady,
152100,navin fluorine international,india,,1967.0,,doll_0.265 b,doll_0.181 b,doll_0.033 b,"['basic materials', 'chemicals']",not found,
2112,nielseniq,,,1923.0,,,,,['it services & consulting'],,
2168,nr switch n radio services,,,1998.0,,,,,['telecom'],,
169408,nice,israel,,1986.0,6800.0,doll_1.3359999999999999 b,doll_0.001921 b,doll_0.199 b,"['technology', 'computers hardware', 'software and it']",barak eilam,
2239,national petroleum construction company,,,1973.0,,,,,['oil & gas'],,
