id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
71,oppo,,,2004.0,,,,,['consumer electronics & appliances'],,
71200,oracle,united states,,1977.0,132000.0,doll_22.818 b,doll_4.183 b,doll_0.9460000000000001 b,"['tech', 'software']",ms. safra ada catz,
170144,oyo rooms,india,,,17000.0,doll_1.863 b,doll_0.387 b,doll_0.021 b,['travel'],not found,gurugram
63533,omega healthcare,united states,,,,doll_0.6769999999999999 b,doll_0.098 b,doll_0.065 b,['it services & consulting'],,
167,optum,,,1977.0,,,,,['healthcare'],,
7329,ola cabs,india,,2010.0,4500.0,doll_1.859 b,doll_0.331 b,0.0,['auto & transportation'],not found,bengaluru
416,oberoi group of hotels,,,1934.0,,,,,['hospitality'],,
519,orange business services,,,2006.0,,,,,['it services & consulting'],,
535,ocwen financial solutions,,,1988.0,,,,,['financial services'],,
160866,oracle financial services software,india,,1990.0,8001.0,doll_0.462 b,doll_0.654 b,doll_0.236 b,"['technology', 'software and it', 'software products', 'software and it infrastructure']",not found,
613,optum global solutions,,,,,,,,['it services & consulting'],,
706,oil and natural gas corporation,india,"kdmipe capmus, kaulagarh road, deharadun, 248195",,,doll_2.3 b,doll_7.2 b,,['oil & gas'],,
765,orion edutech,,,2006.0,,,,,['edtech'],,
829,om logistics,,,1999.0,,,,,['logistics'],,
51009,olam,singapore,,,,doll_0.45499999999999996 b,,,"['food', 'agriculture']",,
1020,otis elevator,,,1853.0,,,,,['industrial machinery'],,
57280,omv group,austria,,1956.0,25391.0,doll_1.6239999999999999 b,doll_4.202 b,doll_0.24700000000000003 b,"['energy', 'oil and gas', 'oil and gas pipeline transport', 'oil refining', 'electricity generation']",alfred stern,
1080,ola electric mobility,india,,,,,,,['auto & transportation'],,bengaluru
1111,omics international,,,2007.0,,,,,['printing & publishing'],,
1126,orchids international school,,,2004.0,,,,,['education & training'],,
40323,omaxe,india,,,,doll_0.015 b,doll_0.07626999999999999 b,doll_0.03309 b,['real estate'],,
1168,olx,,,2006.0,,,,,['it services & consulting'],,
1221,orient craft,,,1976.0,,,,,['fashion & textile'],,
39757,orient cement,india,,,,doll_0.033 b,doll_0.034999999999999996 b,doll_0.03476 b,"['cement', 'buildingmaterials']",,
1377,oriental structural engineers,,,1986.0,,,,,['engineering & construction'],,
1422,ongc petro additions,,,2006.0,,,,,['petrochemicals'],,
1450,offshore infrastructures,,,1995.0,,,,,['engineering & construction'],,
1459,orient technologies,,,1992.0,,,,,['electrical equipment'],,
53314,orient electric,india,,,,doll_0.06899999999999999 b,doll_0.032 b,doll_0.016 b,"['consumer durables', 'electrical products', 'home appliances', 'home furnishing']",not found,
1564,okaya power,,,1987.0,,,,,['power'],,
8804,opentext technologies,,,1996.0,,,,,['software product'],,
1665,otsuka pharmaceutical,,,2012.0,,,,,['pharma'],,
1718,olx autos,,,,,,,,['auto components'],,
1755,onshore construction,,,1995.0,,,,,['engineering & construction'],,
1791,online legal india,,,2019.0,,,,,['legal'],,
2171,onward eservices,,,2003.0,,,,,['it services & consulting'],,
2204,onprocess technology,,,1998.0,,,,,['logistics'],,
2261,osource india,,,2004.0,,,,,['it services & consulting'],,
2482,orient bell,,,1977.0,,,,,['building material'],,
2495,orix auto infrastructure services,,,1995.0,,,,,['logistics'],,
148643,owens corning,united states,"one owens corning parkway, toledo, ohio, 43659",1938.0,20000.0,doll_0.835 b,doll_0.85 b,doll_0.995 b,"['industries', 'capital goods', 'machinery manufacturing', 'manufacturing', 'building products and equipment']",brian d. chambers,
2514,origo commodities,,,2010.0,,,,,['agriculture'],,
2531,omkar realtors and developers group,,,2003.0,,,,,['real estate'],,
2636,oneplus,,,2013.0,,,,,['consumer electronics & appliances'],,
2665,orcapod consulting services,,,2010.0,,,,,['it services & consulting'],,
2793,orchid chemicals & pharmaceuticals,,,1992.0,,,,,['pharma'],,
2814,offshoot agency,,,2002.0,,,,,['it services & consulting'],,
2861,onkar infotech,,,2000.0,,,,,['bpo'],,
2893,optimhire,,,2018.0,,,,,['it services & consulting'],,
183867,oriflame,,,1967.0,,,,,['beauty & personal care'],,stockholm
3002,ozone overseas,,,2000.0,,,,,['architecture & interior design'],,
3008,omega healthcare investors,united states,"suite 3500, 200 international circle, hunt valley, maryland, 21030",,,doll_0.0075 b,doll_0.001062 b,doll_0.416 b,"['real estate', 'consumer services', 'property investments']",mr. c. taylor pickett,
128929,oberoi realty,india,,1980.0,,doll_0.376 b,doll_0.041999999999999996 b,doll_0.131 b,['real estate'],not found,
3151,omninos solutions,,,2016.0,,,,,['software product'],,
3330,opporture,,,,,,,,['marketing & advertising'],,
3375,oodlestechnologies,,,2009.0,,,,,['it services & consulting'],,
3381,ordnance factory,,,1775.0,,,,,['government'],,
3424,onicra credit rating agency,,,1993.0,,,,,['fintech'],,
3446,onsitego,,,2010.0,,,,,['internet'],,
67490,oceaneering international,united states,"11911 fm 529, houston, texas, 77041",,8500.0,doll_0.188 b,doll_0.199 b,doll_-0.049 b,"['energy', 'oil and gas equipment and services', 'oil and gas', 'engineering services']",not found,
51522,oil india,india,,1959.0,33498.0,doll_0.314 b,doll_0.46399999999999997 b,doll_0.704 b,"['energy', 'oil and gas']",not found,
3572,onida,,,1981.0,,,,,['consumer electronics & appliances'],,
3598,overnite express,,,1987.0,,,,,['logistics'],,
3640,odessa,,,1998.0,,,,,['it services & consulting'],,
3702,onmobile global,,,2000.0,,,,,['telecom'],,
3726,oerlikon graziano transmission,,,1906.0,,,,,['industrial machinery'],,
3835,orra fine jewellery,,,2004.0,,,,,['jewellery'],,
3844,organic india,,,1997.0,,,,,['fmcg'],,
3881,oneassist consumer solutions,,,2011.0,,,,,['financial services'],,
3907,orion security solutions,,,2005.0,,,,,['law enforcement & security'],,
3929,ozone pharmaceuticals,,,1991.0,,,,,['pharma'],,
3980,oxford university press,,,1478.0,,,,,['printing & publishing'],,
3982,office beacon,,,2001.0,,,,,['bpo'],,
4047,om innovation call services,,,2005.0,,,,,['bpo'],,
56068,olympus,japan,,2010.0,,doll_2.396 b,doll_0.771 b,doll_0.9018999999999999 b,['healthcare'],yasuo takeuchi,
4137,oriental carbon & chemicals,,,1978.0,,,,,['chemicals / agri inputs'],,
4176,optimum infosystem,,,1997.0,,,,,['it services & consulting'],,
4237,onpassive,,,2018.0,,,,,['it services & consulting'],,
