id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
136065,reliance jio,india,,,,0,doll_0.012183999999999999 b,doll_0.16899999999999998 b,"['telecom', 'mobile services', 'internet providers']",akash ambani,
93280,reliance power,india,,2006.0,,doll_0.063 b,doll_1.41 b,doll_0.017 b,['retail'],james donald hoffman,
110474,reliance industries,india,"maker chambers iv, 3rd floor, 222, nariman point, mumbai, 400021",1973.0,236330.0,doll_20.352 b,doll_8.684999999999999 b,doll_0.7809999999999999 b,"['energy', 'conglomerate', 'oil and gas', 'chemicals', 'telecom', 'retail', 'petrochemicals', 'textile', 'ecommerce', 'super markets', 'technology']",mukesh ambani,
97,reliance communications,india,,,,doll_0.07504999999999999 b,doll_0.06703 b,doll_0.02554 b,['telecommunication'],,
133,royal enfield,,,1901.0,,,,,['automobile'],,
148128,randstad,netherlands,"diemermere 25, diemen, 1112tc",1992.0,34680.0,doll_1.276 b,doll_2.91 b,doll_0.846 b,"['industries', 'business services', 'outsourcing and staffing']",mr. jacques  van den broek,
201,reliance nippon life insurance,,,2000.0,,,,,['insurance'],,
156669,rank group,uk,,,,doll_0.993 b,,doll_0.078 b,"['consumer cyclical', 'gaming', 'entertainment', 'gambling']",,
45090,rbl bank,india,,1995.0,,doll_0.125 b,doll_0.26 b,doll_-0.021 b,['banks'],khairussaleh bin ramli,limassol
138624,r1 rcm,united states,,2003.0,22000.0,doll_0.517 b,doll_0.16699999999999998 b,doll_0.097 b,"['healthcare', 'consumer services', 'healthcare technology and information']",not found,
256,rivigo,india,,2014.0,,,,,"['supply chain, logistics, & delivery']",,gurgaon
257,reliance digital,,,2005.0,,,,,['retail'],,
266,radisson hotels,,,1909.0,,,,,['hospitality'],,
294,reliance smsl,,,2007.0,,,,,['bpo'],,
309,r.r. donnelley,,,1864.0,,,,,['bpo'],,
316,renault-nissan,,,2007.0,,,,,['automobile'],,
320,raymond,,,1925.0,,,,,['fashion & textile'],,
346,reliance trends,,,2006.0,,,,,['retail'],,
408,rmsi,,,1992.0,,,,,['it services & consulting'],,
412,renault nissan technology & business centre india,,,2007.0,,,,,['automobile'],,
66433,reckitt benckiser,uk,"103-105 bath road, slough, sl13uh",1814.0,40000.0,doll_5.24 b,doll_1.499 b,doll_0.374 b,"['consumer defensive', 'fmcg', 'healthcare products', 'consumer non durables', 'consumer goods']",laxman narasimhan,
458,reliance general insurance,,,2000.0,,,,,['insurance'],,
51520,relaxo footwear,india,,1976.0,7852.0,doll_0.271 b,doll_0.034999999999999996 b,doll_0.029 b,"['consumer cyclical', 'footwear']",not found,
799,redcliffe labs,,,2019.0,,,,,['healthcare'],,
809,rbl finserve,,,2005.0,,,,,['financial services'],,
818,rockman industries,,,1960.0,,,,,['auto components'],,
84350,ruchi soya industries limited,india,,1986.0,,doll_0.00437 b,doll_0.0021349999999999997 b,doll_0.089 b,['package foods'],not found,
900,r systems international,,,1993.0,,,,,['it services & consulting'],,
1065,royal sundaram general insurance,,,2001.0,,,,,['insurance'],,
1066,royal caribbean international,,,1969.0,,,,,['sports & recreation'],,
1083,redington,,,1999.0,,,,,['hardware & networking'],,
1085,rodic consultants,,,2000.0,,,,,['management consulting'],,
1088,rupeek,,,2015.0,,,,,['fintech'],,
1116,rashmi metaliks,,,2004.0,,,,,['metals & mining'],,
1134,rallis india,,,1948.0,,,,,['agro chemicals'],,
1179,renew solar power,,,2011.0,,,,,['power'],,
1182,raychem rpg,,,1989.0,,,,,['electrical equipment'],,
1187,ramtech software solutions,,,1992.0,,,,,['it services & consulting'],,
33253,rico auto industries,india,,,,doll_0.014000000000000002 b,doll_0.026000000000000002 b,doll_0.013460000000000001 b,['automotive suppliers'],,
1261,rentokil pest control,,,1954.0,,,,,['facility management services'],,
1266,recpdcl.ltd,,,2007.0,,,,,['facility management services'],,
95877,renault,france,,1898.0,179565.0,doll_1.165 b,doll_5.462 b,doll_0.979 b,"['consumer cyclical', 'automobile', 'cars', 'passenger vehicles', 'electric vehicle charging station']",makoto uchida,boulogne-billancourt
1293,rohan builders,,,1993.0,,,,,['real estate'],,
1295,rane engine valve,,,1959.0,,,,,['auto components'],,
1313,ramky infrastructure,,,1994.0,,,,,['real estate'],,
1330,ramco systems,,,1997.0,,,,,['it services & consulting'],,
1349,renovision automation services,,,2006.0,,,,,['it services & consulting'],,
1403,radical minds,,,2010.0,,,,,['bpo'],,
1408,rane (madras),,,1997.0,,,,,['auto components'],,
59969,rites,india,,,,doll_0.101 b,doll_0.036 b,doll_0.01 b,['bpo'],,
1455,riya travel,,,1980.0,,,,,['travel & tourism'],,
1463,ramky enviro engineers,,,1994.0,,,,,['waste management'],,
1477,ruralshores,,,2008.0,,,,,['bpo'],,
60577,reliance infrastructure,india,,,,doll_0.049 b,doll_0.268 b,doll_0.022 b,"['electricity', 'energy']",,
1595,rane nsk steering systems,,,,,,,,,,
181480,ramboll,,,1945.0,,,,,['business support services'],,copenhagen
1627,ramada,,,2010.0,,,,,['hospitality'],,
1686,rungta mines,,,1962.0,,,,,['metals & mining'],,
1697,rak ceramics,,,1989.0,,,,,['building material'],,
14343,rockwell automation,united states,"1201 s 2nd st, milwaukee, wisconsin, 53204-2410",1903.0,24500.0,doll_3.3049999999999997 b,doll_0.776 b,doll_0.1 b,"['industries', 'engineering products', 'engineering services', 'industrial automation', 'network hardware and software', 'networking products / solutions', 'sensors', 'electronics', 'machinery manufacturing', 'capital goods', 'software and it', 'automation', 'manufacturing', 'industry machinery']",blake d. moret,
1753,roop polymers,,,1973.0,,,,,['auto components'],,
1761,rao iit academy,,,2014.0,,,,,['education & training'],,
89721,royal orchid hotels,,,,,doll_0.366 b,,,['hospitality'],not found,
1879,reshamandi,,,2020.0,,,,,['fashion & textile'],,
1884,reliance life sciences,,,2001.0,,,,,['pharma'],,
1907,railtel corporation of india,,,2000.0,,,,,['hardware & networking'],,
1929,ranbaxy,,,1961.0,,,,,['pharma'],,
1941,rsb transmissions,,,1974.0,,,,,['industrial machinery'],,
1959,rackspace,,,1998.0,,,,,['it services & consulting'],,
1986,ryan international school,,,1992.0,,,,,['education & training'],,
1987,realpage,,,1998.0,,,,,['it services & consulting'],,
2017,radico khaitan,india,,1943.0,,doll_0.175 b,doll_0.34464999999999996 b,doll_0.033 b,"['consumer defensive', 'beverages', 'alcoholic beverages', 'fmcg']",not found,
2018,r.s. infraprojects,,,2005.0,,,,,['real estate'],,
32235,ramkrishna forgings,india,,,,doll_0.052000000000000005 b,doll_0.033 b,doll_0.04111 b,['railways'],,
2058,rswm,,,1961.0,,,,,['fashion & textile'],,
2096,religare securities,,,1986.0,,,,,['internet'],,
94073,ricoh,japan,,1936.0,,doll_0.466 b,doll_1.607 b,doll_0.1177 b,"['semiconductors, electronics, electrical engineering, technology hardware & equipment']",yoshinori yamashita,"ota, tokyo"
2140,realty assistant,,,2019.0,,,,,['real estate'],,
2143,ryan,,,1991.0,,,,,['education & training'],,
2170,reliance home finance,,,2008.0,,,,,['nbfc'],,
2194,ralson india,,,1974.0,,,,,['auto components'],,
2231,richfeel health & beauty,,,1986.0,,,,,['beauty & personal care'],,
2262,ramco industries,,,1992.0,,,,,['building material'],,
2295,regalix,,,2005.0,,,,,['marketing & advertising'],,
2323,redbus,,,2006.0,,,,,['it services & consulting'],,
2330,rosmerta technologies,,,2006.0,,,,,['printing & publishing'],,
2332,rieter,,,1995.0,,,,,['industrial machinery'],,
2341,rusan pharma,,,1994.0,,,,,['pharma'],,
2350,runwal group,,,1978.0,,,,,['real estate'],,
2357,roca bathroom products,,,2006.0,,,,,['building material'],,
2371,red tag,,,1993.0,,,,,['retail'],,
2380,resurgent india,,,2005.0,,,,,['investment banking / venture capital / private equity'],,
2381,roop automotives,,,1990.0,,,,,['auto components'],,
2420,rspl ghari detergent,,,1987.0,,,,,['fmcg'],,
26659,religare,india,,,,doll_0.068 b,doll_0.034999999999999996 b,doll_0.06926 b,['insurance financial-services '],,
65442,rane brake lining,india,,,,doll_0.06863 b,doll_0.07328 b,doll_0.00523 b,['automotive suppliers'],,
2510,rolta india,,,1989.0,,,,,['it services & consulting'],,
2585,rajsriya automotive industries,,,1977.0,,,,,['auto components'],,
