ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
0,tcs,,,,1968,,,,,it services & consulting,,,;
56354,teleperformance,france,,,,,doll_22.30 b,,,,,,;
50689,tata motors,india,,,,,,,,,,,;
21123,tvs motor,india,,,,,doll_5.78 b,,,,,,;
149660,tata communications,india,,,,,,,,,,,;
140928,thermax,india,,,,,doll_2.87 b,,,,,,;
210,team neusta,,,,,,,,,,,,;
47876,titan company,united states,,,,,doll_110.46 b,,,,,,;
225,tata aia life insurance,,,,2001,,,,,insurance,,,;
231,tractors and farm equipment,,,,1960,,,,,automobile,,,;
258,tata teleservices,india,,,,,,,,,,,;
50689,tata elxsi,india,,,,,,,,,,,;
296,tata technologies,,,,1989,,,,,it services & consulting,,,;
3050,tvs supply chain solutions,,,,1958,,,,,logistics,,,;
315,the himalaya drug company,,,,1930,,,,,pharma,,,;
328,tvs sundram fasteners,,,,1966,,,,,auto components,,,;
8529,tvs credit,,,,2008,,,,,it services & consulting,,,;
72992,tata motors limited,india,,,,,doll_22.38 b,,,auto manufacturers,consumer discretionary,,;
94915,thomson reuters,canada,,,,,,,,,,,;
146585,tata consultancy services,india,,,,,,,,,,,;
515,tce,,,,1962,,,,,engineering & construction,,,;
66177,tesco,,,,,345.0,doll_22.01 b,doll_82.08 b,doll_2.71 b,,,,;
530,torrent power,,,,1996,,,,,power,,,;
550,toyota kirloskar motor,,,,1997,,,,,automobile,,,;
139200,trent,india,,,,,,,,,,,;
566,trident group,,,,1990,,,,,fashion & textile,,,;
26624,tmx group,united states,,,,,,,,,,,;
624,tata communications transformation services,,,,2006,,,,,telecom,,,;
26624,tmx group,united states,,,,,,,,,,,;
51363,timken india,india,,,,,,,,,,,;
675,tikona infinet,,,,2008,,,,,telecom,,,;
28299,tata chemicals,india,,,,,,,,,,,;
710,taurus bpo services,,,,2015,,,,,bpo,,,;
737,tuv sud,,,,1866,,,,,other,,,;
24161,tenneco,united states,,,,,doll_1.66 b,,,,,,;
747,technip,,paris,,1958,,,,,industrials,business support services,,;
67521,take 2 interactive,,,,,,,,,,,,;
760,thyrocare technologies,,,,1996,,,,,healthcare,,,;
762,toppr,,,,2013,,,,,edtech,,,;
94784,te connectivity,switzerland,,,,,doll_44.78 b,,,,,,;
51208,tietoevry,finland,,,,,doll_3.64 b,,,,,,;
825,tcs ion,,,,2011,,,,,it services & consulting,,,;
831,thomas cook,,,,1881,,,,,travel & tourism,,,;
845,tk elevator,,,,1995,,,,,industrial machinery,,,;
136835,telenor,norway,,,,,doll_20.15 b,,,,,,;
875,the ramco cements,,,,1961,,,,,building material,,,;
908,tradeindia.com,,,,1996,,,,,internet,,,;
949,thyssenkrupp industries india,,,,1947,,,,,industrial machinery,,,;
18593,taskus,united states,,,,,doll_1.79 b,,,,,,;
182601,transport infrastructure ireland,,dublin,,2015,,,,,industrials,heavy construction,,;
995,the lalit,,,,1981,,,,,hospitality,,,;
1003,teksystems,,,,1983,,,,,it services & consulting,,,;
1056,timken,,,,1998,,,,,industrial machinery,,,;
1084,tanishq,,,,1994,,,,,jewellery,,,;
1092,transsion,,,,2006,,,,,hardware & networking,,,;
1147,t.v. sundram iyengar & sons,,,,1911,,,,,automobile,,,;
57796,temenos,switzerland,,,,,,,,,,,;
32900,tc energy,canada,,,,,doll_0.24 b,,,,,,;
182112,t-systems,,,,2000,,,,,it services & consulting,,,;
1235,thriveni earthmovers,,,,1991,,,,,metals & mining,,,;
1256,tata hitachi construction machinery,,,,1999,,,,,engineering & construction,,,;
56995,tata consumer products,india,,,,,doll_8.55 b,,,,,,;
1280,tcns clothing,india,,,,,doll_0.38 b,,,,,,;
22176,target,united states,,,,,doll_111.76 b,,,,,,;
1285,tüv nord,,,,1989,,,,,management consulting,,,;
1309,titan eye plus,,,,2007,,,,,other,,,;
1323,toyo engineeering,,,,1976,,,,,engineering & construction,,,;
1324,tata power delhi distribution,,,,2002,,,,,power,,,;
179736,travel service,,,,2001,,,,,consumer services,airlines,,;
1347,times internet,,,,1999,,,,,internet,,,;
9369,tata tele business services,,,,0,,,,,it services & consulting,,,;
17472,transport corporation of india,india,,,,,doll_0.62 b,,,,,,;
34110,thermo fisher scientific,united states,,,,,doll_236.15 b,,,,,,;
1510,triveni engineering & industries,,,,1932,,,,,food processing,,,;
156192,tci express,india,,,,,,,,,,,;
1599,tracxn,,,,2013,,,,,it services & consulting,,,;
122536,telepass spa,italy,,,,,,,,,,,;
1630,tcs eserve,,,,2007,,,,,bpo,,,;
1639,toyota industries engine india,,,,1995,,,,,industrial machinery,,,;
2820,trident hotels,,,,2015,,,,,internet,,,;
1671,talentpro,,,,2000,,,,,recruitment,,,;
1748,trigeo technologies,,,,1996,,,,,it services & consulting,,,;
1767,telesonic networks,,,,2009,,,,,telecom,,,;
1768,to the new,,,,2008,,,,,it services & consulting,,,;
1772,triumphant institute of management education,,,,1992,,,,,education & training,,,;
1784,tata international,,,,1962,,,,,import & export,,,;
34119,toyota,japan,,,,,,,,,,,;
40834,tose software,japan,,,,,,,,,,,;
2948,tejas networks,india,,,,,,,,,,,;
101920,tecma solutions,italy,,,,,,,,,,,;
1922,top office pros business services,,,,0,,,,,logistics,,,;
182595,the irish house,,,,2011,,,,,hospitality,,,;
2013,transrail lighting,,,,2008,,,,,engineering & construction,,,;
2029,torry harris business solutions,,,,1998,,,,,it services & consulting,,,;
26083,texmaco rail & engineering,india,,,,,doll_0.23 b,,,,,,;
2083,trianz,,,,2006,,,,,it services & consulting,,,;
2093,toshiba jsw power systems,,,,2013,,,,,industrial machinery,,,;
45571,toyo tire,japan,,,,,doll_1.76 b,,,,,,;
2116,tvs eurogrip,,,,1982,,,,,auto components,,,;
51168,teradata,united states,,,,,,,,,,,;
2120,tractebel,,brussels,,1986,,,,,industrials,business support services,,;
2137,transasia bio-medicals,,,,1979,,,,,biotechnology,,,;
2150,teva api,,,,1935,,,,,pharma,,,;
144416,tetra tech,united states,,,,,,,,,,,;
104164,tribus digital,uk,,,,,,doll_1.95 m,,,technology,,;
2232,testbook.com,,,,2014,,,,,edtech,,,;
2254,tanishq jewellery,,,,1994,,,,,jewellery,,,;
2255,technosoft global services,,,,1996,,,,,it services & consulting,,,;
2266,tata steel utilities and infrastructure services,,,,0,,,,,engineering & construction,,,;
2275,tata toyo radiator,,,,1998,,,,,auto components,,,;
2283,tata marcopolo motors,,,,1945,,,,,auto components,,,;
2291,tsys card tech services,,,,1984,,,,,it services & consulting,,,;
2338,tata bluescope steel,,,,2002,,,,,iron & steel,,,;
2352,tcg lifesciences,,,,2001,,,,,pharma,,,;
12248,thought machine,united kingdom,,,2004,,,,,fintech,,,;
2446,techno electric & engineering company,,,,1963,,,,,engineering & construction,,,;
2467,tiger analytics,,,,,,,,,it services & consulting,,,;
2486,tops,,,,1984,,,,,food processing,,,;
2521,talbros,,,,1956,,,,,auto components,,,;
2557,ti cycles of india,,,,1949,,,,,industrial machinery,,,;
2613,tagros chemicals,,,,2004,,,,,agro chemicals,,,;
2619,traveltriangle,,,,2010,,,,,internet,,,;
2640,turtlemint,,,,2015,,,,,internet,,,;
2650,the louis berger group,,,,1885,,,,,engineering & construction,,,;
2662,toothsi,,,,2018,,,,,internet,,,;
2666,telecom network solutions,,,,2001,,,,,telecom,,,;
2686,tommy hilfiger,,,,1985,,,,,fashion & textile,,,;
2718,telus international philippines,,,,2005,,,,,it services & consulting,,,;
2732,titan engineering & automation,,,,1994,,,,,industrial automation,,,;
2749,tata classedge,,,,2011,,,,,edtech,,,;
2802,t&m services consulting,,,,1996,,,,,recruitment,,,;
141395,technip energies n.v.,france,,,,,,,,,,,;
2818,tradebulls,,,,2009,,,,,financial services,,,;
2827,talwalkars better value fitness,,,,1932,,,,,fitness & wellness,,,;
2841,trl krosaki refractories,,,,1958,,,,,metals & mining,,,;
2883,titan laboratories,,,,2004,,,,,pharma,,,;
2894,techwave consulting,,,,2004,,,,,it services & consulting,,,;
27529,thales,france,,,,,doll_18.98 b,,,,,,;
2931,theme engineering services,,,,2002,,,,,engineering & construction,,,;
2977,thoughtworks,united states,,,,,,,,,,,;
26083,texmaco rail & engineering,india,,,,,doll_0.23 b,,,,,,;
2992,trivium education services,,,,2010,,,,,management consulting,,,;
92260,total,france,,,,,doll_127.32 b,doll_185.12 b,,,,,;
3047,technico industries,,,,1970,,,,,auto components,,,;
3084,torrent gas,,,,2018,,,,,oil & gas,,,;
3088,technicolor,,issy-les-moulineaux,,1893,,,,,consumer services,,,;
3123,the kcp,,,,1941,,,,,building material,,,;
3138,the indian hume pipe co.,,,,1926,,,,,building material,,,;
3147,thyssenkrupp industrial solutions,,,,1859,,,,,industrial machinery,,,;
3184,the dow chemical company,,,,1957,,,,,chemicals,,,;
3185,tata steel processing & distribution,,,,1997,,,,,iron & steel,,,;
3231,tredence,,,,2013,,,,,it services & consulting,,,;
3266,tarlogic security,spain,,,,,,,,,cyber security,,;
3274,t r chadha & co llp,,,,1946,,,,,accounting & auditing,,,;
3270,tidc india,,,,1960,,,,,industrial machinery,,,;
3271,toshiba transmission & distribution systems,,,,1894,,,,,electrical equipment,,,;
92769,toshiba,japan,,,,,,,,,,,;
3305,tablets (india),,,,1938,,,,,pharma,,,;
25760,tata steel long products,india,,,,,doll_0.40 b,,,,,,;
3350,tüv rheinland,,,,1872,,,,,law enforcement & security,,,;
3352,themis medicare,,,,1969,,,,,pharma,,,;
3376,trelleborg,,trelleborg,,1905,,,,,industrials,business support services,,;
3402,tajsats air catering,,,,1976,,,,,hospitality,,,;
3403,trackon courier,,,,2002,,,,,logistics,,,;
28064,toyota tsusho,japan,,,,,doll_13.04 b,,,,,,;
3453,tvs mobility,,,,1911,,,,,automobile,,,;
3471,the co-operative bank,,,,1872,,,,,banking,,,;
3481,trinamix,,,,2012,,,,,it services & consulting,,,;
3487,the phoenix mills,,,,1905,,,,,real estate,,,;
3497,technosoft engineering projects,,,,1999,,,,,industrial machinery,,,;
3507,the professional couriers,,,,1986,,,,,logistics,,,;
3508,tmeic,,,,2003,,,,,industrial machinery,,,;
3510,tafe motors & tractors,,,,0,,,,,automobile,,,;
3621,touchstone educationals,,,,1998,,,,,education & training,,,;
75072,transunion,united states,,,,,doll_19.53 b,,,,,,;
3722,timex group india,,,,1854,,,,,metals & mining,,,;
3757,tokai rubber auto parts india,,,,2008,,,,,industrial machinery,,,;
3769,trf,,,,1962,,,,,auto components,,,;
3771,travelex,,,,1976,,,,,financial services,,,;
144401,triumph group,united states,,,,,,,,,,,;
3879,theobroma foods,,,,2004,,,,,food processing,,,;
23554,tomtom,netherlands,,,,,,,,,,,;
3935,the fern residency,,,,2009,,,,,hospitality,,,;
3964,teleindia networks,,,,2006,,,,,telecom,,,;
3960,tcpl packaging,,,,1987,,,,,packaging,,,;
3994,tcl,china,,,,,doll_9.67 b,doll_25.27 b,,,,,;
4045,talentedge,,,,2012,,,,,edtech,,,;
4058,teletext holidays,,,,1992,,,,,travel & tourism,,,;
4082,teleone,,,,1998,,,,,internet,,,;
4086,towell engineering group,,,,2001,,,,,engineering & construction,,,;
4097,trivitron healthcare,,,,1997,,,,,medical equipment,,,;
4127,titagarh wagons,,,,1998,,,,,railways,,,;
4169,toyota material handling,,,,1956,,,,,industrial machinery,,,;
113112,the k t wong foundation,,,,,,,,,,,,;
4189,triveni turbines,,,,1968,,,,,electrical equipment,,,;
46179,terex,united states,,,,,doll_3.24 b,,,,,,;
4256,teamspace financial services,,,,2004,,,,,financial services,,,;
4281,trantor,,,,2012,,,,,it services & consulting,,,;
23425,tfi international,canada,,,,,doll_0.54 b,,,,,,;
4419,testingxperts,,,,1996,,,,,it services & consulting,,,;
60547,técnicas reunidas,spain,,,,,,,,,,,;
4477,til,,,,1944,,,,,engineering & construction,,,;
4569,takata,,,,1961,,,,,auto components,,,;
4577,tata play fiber,,,,0,,,,,,,,;
4617,thomson press india,,,,1967,,,,,printing & publishing,,,;
4620,tangoe,,,,2000,,,,,it services & consulting,,,;
4642,tata institute of social sciences,,,,1936,,,,,education & training,,,;
4658,texspin bearings,,,,1961,,,,,auto components,,,;
4668,tcts,,,,2008,,,,,telecom,,,;
4700,toyota financial services,,,,1983,,,,,financial services,,,;
67336,trimble,united states,,,,,,,,,,,;
4755,terrier security services,,,,1989,,,,,law enforcement & security,,,;
4760,tlc relationship management,,,,2002,,,,,hospitality,,,;
4831,the millennium school,,,,2014,,,,,education & training,,,;
5132,tenon facility management,,,,1995,,,,,facility management services,,,;
4858,tds lithium-ion battery,,,,2019,,,,,auto components,,,;
4890,tecumseh products,,,,1934,,,,,industrial machinery,,,;
4913,trell,,,,2016,,,,,internet,,,;
4914,teachnook,,,,2021,,,,,edtech,,,;
33762,treasure global,malaysia,,,,,,,,,,,;
4920,tata memorial hospital,,,,1941,,,,,healthcare,,,;
4936,target engineering construction company,,,,1975,,,,,engineering & construction,,,;
4950,tulip diagnostics,,,,1988,,,,,medical equipment,,,;
4956,timespro,,,,2016,,,,,education & training,,,;
4959,tokai imperial rubber india,,,,0,,,,,industrial machinery,,,;
4995,tatva chintan pharma chem,,,,1996,,,,,chemicals,,,;
5018,torque pharmaceuticals,,,,1985,,,,,pharma,,,;
5028,taikisha engineering india,,,,1995,,,,,industrial machinery,,,;
5057,txc corporation,taiwan,,,,,,,,,,,;
5892,toyotetsu india auto parts,,,,2009,,,,,auto components,,,;
5082,teleminds infotech,,,,2012,,,,,bpo,,,;
122392,teoco software,,,,1994,,,,,software product,,,;
47912,telstra,australia,,,,,,,,,,,;
5186,toyo tire,japan,,,,,doll_1.76 b,,,,,,;
5187,triple a technologies,,,,,,,,,,,,;
5197,the web plant,,,,2011,,,,,,,,;
67617,trueblue,united states,,,,,doll_0.63 b,,,,,,;
5286,takenaka,,,,1937,,,,,architecture & interior design,,,;
5314,tata sikorsky aerospace,,,,2008,,,,,defence & aerospace,,,;
5306,the smart cube,,,,2003,,,,,it services & consulting,,,;
5339,trident automobiles,,,,1998,,,,,auto components,,,;
102048,tricas construction,uk,,,,32,,doll_15.88 m,,,construction,,;
5376,techtronic industries,hong kong,,,,,doll_28.75 b,,,,,,;
5457,tmtl,,,,2005,,,,,automobile,,,;
5459,tata strive skill development centre,,,,2015,,,,,education & training,,,;
5461,teachmint,,,,2020,,,,,edtech,,,;
5508,themathcompany,india,,,,,,,,,,,;
5551,total environment building systems,,,,1996,,,,,real estate,,,;
5571,turtle,,,,1993,,,,,fashion & textile,,,;
5610,texila educational and management services,,,,2015,,,,,education & training,,,;
5619,three d integrated solutions ltd,,,,2007,,,,,aviation,,,;
61920,the container store,united states,,,,,doll_0.26 b,,,,,,;
5770,tvs - sundaram brake linings,,,,1976,,,,,auto components,,,;
5778,teerthanker mahaveer university,,,,2008,,,,,education & training,,,;
5809,technotask business solutions,,,,0,,,,,,,,;
9594,tekshapers software solutions,,,,2009,,,,,it services & consulting,,,;
5883,tecnotree convergence,,,,1978,,,,,telecom,,,;
5890,transpek-silox industry,,,,2001,,,,,chemicals,,,;
5906,tyco fire & security,,,,1992,,,,,industrial machinery,,,;
5920,tonglit autogistic,,,,2010,,,,,logistics,,,;
136304,trafigura,united states,,,,,,,,,,,;
26624,tmx group,united kingdom,,,,,,,,,,,;
6164,tropilite foods,,,,1982,,,,,food processing,,,;
6186,the heritage school,,,,2009,,,,,education & training,,,;
6189,the indure,,,,1970,,,,,power,,,;
6197,techno india group,,,,1985,,,,,edtech,,,;
6229,taggd,,,,2005,,,,,management consulting,,,;
6244,the grand new delhi,,,,1996,,,,,hospitality,,,;
6278,tresor systems,,,,2009,,,,,engineering & construction,,,;
6255,tresvista,,,,2006,,,,,financial services,,,;
6266,tps infrastructure,,,,1990,,,,,industrial machinery,,,;
6342,tatvasoft,,,,2001,,,,,it services & consulting,,,;
6358,tfg vacations,,,,2015,,,,,travel & tourism,,,;
