ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
47,udaan,,,,2016,,,,,internet,,,;
14432,ultratech cement,india,,,,,,,,,,,;
68,ujjivan small finance bank,,,,2017,,,,,banking,,,;
134,ust,,,,2001,,,,,it services & consulting,,,;
62336,united fire group,united states,,,,,doll_0.75 b,,,,,,;
285,united phosphorus,,,,1969,,,,,agro chemicals,,,;
332,uno minda,,,,1958,,,,,auto components,,,;
464,uflex,,,,1985,,,,,packaging,,,;
504,usv,,,,1961,,,,,pharma,,,;
520,unacademy,india,,,2015,,,,,edtech,,,;
32571,unisys,united states,,,,,,,,,,,;
669,unichem laboratories,,,,1944,,,,,pharma,,,;
13056,upgrad,india,,,,,,,,edtech,,,;
147393,unicharm,japan,,,,,doll_22.08 b,,,,,,;
903,united alliance technology,,,,0,,,,,it services & consulting,,,;
35842,united rentals,united states,,,,,,,,,,,;
963,ubs,switzerland,,,,,doll_56.17 b,,,,,,;
12161,urban company,india,,,,,,,,e-commerce & direct-to-consumer,,,;
27136,uber,united states,,,,,doll_60.27 b,,,,,,;
1032,ugam solution,,,,2000,,,,,it services & consulting,,,;
148769,united spirits,india,,,,,,,,,,,;
1144,uttam value steels,,,,1974,,,,,iron & steel,,,;
1230,ups logistics,,,,1907,,,,,logistics,,,;
1308,united colors of benetton info,,,,1992,,,,,retail,,,;
1478,updater services,,,,1985,,,,,facility management services,,,;
1502,ukb electronics,,,,1996,,,,,electronics manufacturing,,,;
1572,usha martin,,,,1961,,,,,iron & steel,,,;
1624,ufaber,,,,2013,,,,,edtech,,,;
1669,unitedlex,,,,2006,,,,,legal,,,;
1675,utility powertech,,,,1995,,,,,power,,,;
1744,unimoni,,,,2006,,,,,fintech,,,;
1783,uppcl,,,,1999,,,,,power,,,;
1838,ucal fuel systems,,,,1985,,,,,auto components,,,;
1853,universal sompo general insurance,,,,2007,,,,,insurance,,,;
1991,udaan cargo & logistics,,,,2015,,,,,logistics,,,;
2002,uplers,,,,2012,,,,,it services & consulting,,,;
2184,urc construction,,,,1956,,,,,engineering & construction,,,;
2373,unitech,,,,1971,,,,,real estate,,,;
2821,uae exchange & financial services,,,,1980,,,,,fintech,,,;
149598,ubisoft entertainment sa,france,,,,,,,,,,,;
3131,ubs business solutions,,,,0,,,,,,,,;
3198,urban ladder,,,,2012,,,,,retail,,,;
3240,uniinfo telecom services,,,,2010,,,,,telecom,,,;
3273,university of petroleum & energy studies,,,,2003,,,,,education & training,,,;
155776,united airlines holdings,united states,,,,,doll_0.93 b,,,,,,;
3319,uneecops technologies,,,,1995,,,,,it services & consulting,,,;
3470,unibic foods,,,,2004,,,,,food processing,,,;
29152,univar solutions,united states,,,,,,,,,,,;
3556,unique identification authority of india,,,,2009,,,,,it services & consulting,,,;
3736,unicef,,,,1946,,,,,non-profit,,,;
7748,ugc supply chain solutions,,,,1999,,,,,logistics,,,;
3887,ultimate kronos group,,,,1977,,,,,it services & consulting,,,;
4160,unique plus,,,,,,,,,,,,;
4009,uae exchange,,,,1995,,,,,fintech,,,;
4101,unilog content solutions ( p),,,,1998,,,,,it services & consulting,,,;
4492,unicorn infosolutions,,,,2002,,,,,retail,,,;
4526,ujaas energy,,,,1979,,,,,power,,,;
180481,university of liverpool,,nicosia,,1989,,,,,consumer services,education,,;
4674,uds,,,,1985,,,,,facility management services,,,;
4684,university of engineering and management,,,,2014,,,,,education & training,,,;
4884,unitedhealthcare parekh insurance tpa,,,,1977,,,,,healthcare,,,;
4921,ufo moviez,,,,2005,,,,,media & entertainment,,,;
5053,unitile,,,,1994,,,,,building material,,,;
5103,umlaut,,,,1996,,,,,management consulting,,,;
5121,united nations development programme,,,,1965,,,,,non-profit,,,;
62624,upwork,united states,,,,,doll_1.65 b,,,,,,;
5247,urs scott wilson india,,,,1951,,,,,engineering & construction,,,;
5419,uas international,,,,0,,,,,financial services,,,;
5572,uniqlo,,,,0,,,,,retail,,,;
