ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
37120,vodafone,,,,,,doll_30.61 b,,,,,,;
81,vivo,,,,2009,,,,,consumer electronics & appliances,,,;
35139,viatris,united states,,,,,,,,,,,;
157,virtusa consulting services,,,,1996,,,,,it services & consulting,,,;
173,ve commercial vehicles,,,,2008,,,,,automobile,,,;
214,vishal mega mart,,,,2008,,,,,retail,,,;
20161,voltas,india,,,,,doll_3.26 b,,,,,,;
339,v-mart,,,,2002,,,,,retail,,,;
407,valuelabs,,,,1997,,,,,it services & consulting,,,;
434,vardhman fabrics,,,,0,,,,,fashion & textile,,,;
11504,vedantu,india,,,,,,,,edtech,,,;
23075,verizon,united states,,,,,,,,,,,;
46984,vip industries,india,,,,,,,,,,,;
537,varroc group,,,,1988,,,,,auto components,,,;
553,vlcc,,,,1989,,,,,fmcg,,,;
559,videocon d2h,,,,2009,,,,,internet,,,;
3328,v5 global services,,,,0,,,,,it services & consulting,,,;
610,vvdn technologies,,,,2007,,,,,it services & consulting,,,;
3328,vserve ebusiness solutions,,,,0,,,,,it services & consulting,,,;
64388,volkswagen,germany,,,,,,,,,,,;
180339,vestas,,aarhus,,1945,,,,,industrials,,,;
148993,valeo,france,,,,,,,,,,,;
146402,v-mart retail,,,,,,,,,,,,;
887,visionet systems,,,,1995,,,,,it services & consulting,,,;
914,vmware software,,,,1998,,,,,software product,,,;
937,visionary rcm infotech,,,,2006,,,,,it services & consulting,,,;
961,vedanta resources,,,,1976,,,,,metals & mining,,,;
1034,veetechnologies,,,,2000,,,,,it services & consulting,,,;
1073,vakrangee,,,,1990,,,,,bpo,,,;
178488,volvo car,,,,,,,,,,,,;
34689,vestas wind systems,denmark,,,,,doll_29.93 b,,,,,,;
54179,va tech wabag,india,,,,,doll_0.24 b,,,,,,;
1300,valuemomentum,,,,2000,,,,,it services & consulting,,,;
1363,voltech,,,,1988,,,,,consumer electronics & appliances,,,;
1371,vijay sales,,,,1967,,,,,retail,,,;
1400,v-trans,,,,1958,,,,,logistics,,,;
51008,visteon,united states,,,,,doll_4.13 b,,,,,,;
5394,vipul motors,,,,1993,,,,,automobile,,,;
1494,vijai electricals,,,,1973,,,,,power,,,;
1527,virtusapolaris,,,,1996,,,,,it services & consulting,,,;
32098,vrl logistics,india,,,,,doll_0.60 b,,,,,,;
1600,vasudha pharma chem,,,,1995,,,,,pharma,,,;
1634,veritas,,,,1989,,,,,financial services,,,;
7241,vikram solar,,,,2009,,,,,healthcare,,,;
1657,vaco binary semantics,,,,2016,,,,,it services & consulting,,,;
1658,vastu housing finance,,,,2015,,,,,financial services,,,;
1662,victora group,,,,1991,,,,,automobile,,,;
1712,vedang cellular services,,,,2010,,,,,telecom,,,;
1732,varthana,,,,2013,,,,,financial services,,,;
1800,vaaman engineers,,,,1990,,,,,engineering & construction,,,;
1839,vimta labs,,,,1984,,,,,healthcare,,,;
1903,veritas finance,,,,2015,,,,,internet,,,;
1928,venus remedies,,,,1989,,,,,pharma,,,;
1936,v.s.t tillers tractors,,,,1967,,,,,industrial machinery,,,;
2026,vindhya telelinks,,,,1983,,,,,hardware & networking,,,;
2101,vertiv energy,,,,1993,,,,,electrical equipment,,,;
2138,virtual employee,,,,2007,,,,,recruitment,,,;
2147,v-xpress,,,,2002,,,,,logistics,,,;
2175,vkc group,,,,1984,,,,,fashion & textile,,,;
2215,victora tool engineers,,,,1972,,,,,auto components,,,;
2303,vda infosolutions,,,,2010,,,,,it services & consulting,,,;
2684,vayam info solutions,,,,2010,,,,,recruitment,,,;
2750,vistara,,,,2013,,,,,aviation,,,;
2929,vvf,,,,1939,,,,,fmcg,,,;
2949,vit university,,,,1984,,,,,education & training,,,;
