ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
35844,yes bank,india,,,,,doll_7.13 b,,,,,,;
327,yazaki,,,,1941,,,,,auto components,,,;
9382,yamaha motor,japan,,,,,,,,,,,;
40321,yatra,india,,,,,doll_0.15 b,,,,,,;
1373,y-axis overseas careers,,,,1999,,,,,other,,,;
1474,yokogawa,,,,1915,,,,,auto components,,,;
1857,yokohama,,,,1917,,,,,auto components,,,;
2047,you broadband,,,,2001,,,,,telecom,,,;
2131,yodlee,,,,1999,,,,,software product,,,;
2132,yardi systems,,,,1984,,,,,software product,,,;
2279,yusen logistics,,,,1955,,,,,logistics,,,;
2369,yum!,,,,1997,,,,,hospitality,,,;
2952,yashi consulting services,,,,2005,,,,,engineering & construction,,,;
3069,yara fertilisers,,,,1905,,,,,agro chemicals,,,;
3161,ykk,,,,1995,,,,,fashion & textile,,,;
4061,yellow diamond,,,,2009,,,,,fmcg,,,;
4317,yokohama off-highway tires,,,,2007,,,,,auto components,,,;
4945,yfc projects,,,,1986,,,,,engineering & construction,,,;
5092,yamaha motor india sales,,,,1985,,,,,automobile,,,;
6392,yes,,,,0,,,,,banking,,,;
6443,yuken india,,,,1976,,,,,industrial machinery,,,;
6668,yethi consulting,,,,2013,,,,,it services & consulting,,,;
6734,youtube,united states,,,,,,,,,,,;
6882,yupptv,,,,2006,,,,,broadcasting,,,;
7658,yellow banana food company,,,,1998,,,,,hospitality,,,;
7930,yuto printing and packaging,,,,0,,,,,packaging,,,;
8507,ylg salon & spa,,,,2009,,,,,beauty & personal care,,,;
8762,yaantra,,,,2013,,,,,internet,,,;
9127,yamaha music india,,,,2008,,,,,media & entertainment,,,;
9226,yes securities,,,,0,,,,,investment banking / venture capital / private equity,,,;
9464,yuva parivartan,,,,1998,,,,,non-profit,,,;
11361,yellowsparkleoãå(12956198),,,                        Harju maakond Tallinn Kesklinna linnaosa V. Reimani tn 3-34 10124                            ,,,,,,,,,;
11362,yespaceinternationaloãå(14728656),,,                        Harju maakond Tallinn MustamÃÂ¤e linnaosa Laki tn 30 12915                            ,,,,,,,,,;
11365,yespartneroãå(12274783),,,,,,,,,,,,;
11366,yespatronoãå(11726199),,,,,,,,,,,,;
11367,yksehituspartneroãå(14692616),,,                        Harju maakond Tallinn NÃÂµmme linnaosa RÃÂ¤nnaku pst 12 10917                            ,,,,,,,,,;
11472,yipitdata,united states,,,,,,,,internet software & services,,,;
11576,yunxuetang,china,,,,,,,,edtech,,,;
11608,ynsect,france,,,,,,,,other,,,;
13538,yanolja,south korea,,,,,,,,,,,;
11752,younited,france,,,2009,,,,,fintech,,,;
11832,yubi,india,,,2017,,,,,fintech,,,;
13302,yugabyte,united states,,,,,,,,data management & analytics,,,;
11860,yaoshibang,china,,,,,,,,health,,,;
13254,yotpo,united states,,,,,,,,internet software & services,,,;
13248,yidian zixun,china,,,,,,,,mobile & telecommunications,,,;
13225,yipin shengxian,china,,,,,,,,e-commerce & direct-to-consumer,,,;
165472,yijiupi,china,,,,,,,,,,,;
12168,yitu technology,china,,,,,,,,artificial intelligence,,,;
12838,yixia,china,,,,,,,,mobile & telecommunications,,,;
12810,youxia motors,china,,,,,,,,auto & transportation,,,;
12374,yuga labs,united states,,,,,,,,internet software & services,,,;
12745,yello mobile,south korea,,,,,,,,mobile & telecommunications,,,;
148681,yuanfudao,china,,,,,,,,,,,;
12536,yuanqi senlin,china,,,,,,,,consumer & retail,,,;
14244,yum! brands,united states,,,,,doll_35.28 b,,,,,,;
27424,yili group,china,,,,,doll_31.89 b,,,,,,;
26820,yg entertainment,s. korea,,,,,doll_0.71 b,,,,,,;
15619,yiren digital,china,,,,,doll_0.24 b,,,,,,;
62851,youngevity international,united states,,,,,doll_1.19 m,,,,,,;
15938,yield10 bioscience,united states,,,,,doll_15.27 m,,,,,,;
67008,yellow corporation,united states,,,,,doll_0.14 b,,,,,,;
33025,y-mabs therapeutics,united states,,,,,doll_0.20 b,,,,,,;
32034,yit,finland,,,,,doll_0.62 b,,,,,,;
26627,york water,united states,,,,,doll_0.65 b,,,,,,;
175969,ytl corporation berhad,malaysia,,,,,,,,,,,;
24006,yanlord,singapore,,,,,doll_1.50 b,,,,,,;
62477,yeti holdings,japan,,,,,doll_3.87 b,,,,,,;
58467,yuhan,s. korea,,,,,doll_3.08 b,,,,,,;
57856,yapı kredi,turkey,,,,,doll_4.31 b,,,,,,;
20968,yancoal,australia,,,,,doll_5.77 b,,,,,,;
65701,yageo,taiwan,,,,,doll_5.74 b,,,,,,;
64320,yamana gold,canada,,,,,doll_5.87 b,,,,,,;
21224,yanbu national petrochemical,saudi-arabia,,,,,doll_6.35 b,,,,,chemicals ,;
41732,yamaha,japan,,,,,doll_6.15 b,,,,,,;
28769,yang ming,taiwan,,,,,doll_7.04 b,,,,,,;
148290,yuanta financial holding,taiwan,,,,,doll_9.37 b,,,,,,;
28454,yaskawa,japan,,,,,doll_9.52 b,,,,,,;
56518,yonyou,china,,,,,doll_12.23 b,,,,,,;
50466,ypf (yacimientos petrolíferos fiscales),argentina,,,,,doll_8.62 b,,,,,,;
21861,yandex,netherlands,,,,,doll_8.95 b,,,,,,;
56672,yara international,norway,,,,,doll_13.13 b,,,,,,;
34882,yankuang energy (yanzhou coal mining),china,,,,,doll_22.41 b,,,,,,;
22050,yum china,china,,,,,doll_25.20 b,,,,,,;
35522,yakult,japan,,,,,,,,,,,;
34529,yanghe,china,,,,,doll_41.89 b,,,,,,;
38977,yext,united states,,,,,doll_0.81 b,,,,,,;
60129,yellow cake plc,jersey,,,,,doll_0.89 b,,,,,,;
155621,yatsen holding,china,,,,,doll_0.94 b,,,,,,;
59973,youdao,china,,,,,doll_0.96 b,,,,,,;
30979,yoozoo interactive,china,,,,,doll_1.54 b,,,,,,;
24480,yelp,united states,,,,,doll_1.99 b,,,,,,;
40651,yuke's,japan,,,,,doll_77.76 m,,,,,,;
64933,yunji,china,,,,,doll_0.12 b,,,,,,;
26573,yalla group,united-arab-emirates,,,,,doll_0.63 b,,,,,internet tech ,;
41829,yanbu national petrochemical,saudi arabia,,,,,doll_6.35 b,,,,,,;
32012,yalla group,uae,,,,,doll_0.66 b,,,,,,;
60464,yalla group,united arab emirates,,,,,doll_660.0 m,,,,,,;
70586,yihai kerry arawana holdings co. ltd,china,,,,,doll_42.84 b,,,packaged foods,consumer staples,,;
69891,yanzhou coal mining company ltd,china,,,,,doll_25.26 b,,,,energy,,;
73043,yandex n.v.,netherlands,,,,,,,,internet content & information,communication services,,;
73399,yougov plc,united kingdom,,,,,doll_1.96 b,,,advertising agencies,communication services,,;
92773,yankuang energy group,china,,,,,doll_14.32 b,doll_16.86 b,,,,,;
95050,yang ming marine transport,taiwan,,,,,doll_15.1 b,,,,,,;
151785,yuexiu property company,hong kong,,,,,doll_3.33 b,,,,,,;
96841,ypf,argentina,,,,,,doll_13 b,,,,,;
93879,yamaguchi financial group,japan,,,,,doll_1.49 b,,,,,,;
94058,yunnan copper co. ltd.,china,,,,,doll_2.94 b,doll_19.63 b,doll_100.7 m,,,,;
149730,yunnan yuntianhua,china,,,,,doll_6.76 b,,doll_571.0 m,,,,;
94119,yunnan energy new material,china,,,,,doll_1.11 b,,,,,,;
151888,yamada denki,japan,,,,,doll_2.8 b,,,,,,;
101064,yso corp,france,,,,13.0,,doll_6.69 m,,,media,,;
98510,yumi beauty,france,,,,5,,doll_2.68 m,,,chemicals & pharmaceuticals,,;
97775,yocabeâ,italy,,,,12.0,,doll_3.29 m,,,ecommerce,,;
99843,yourparkingspace limited,uk,,,,32,,doll_13.86 m,,,technology,,;
99118,yes!devs,germany,,,,37,,doll_2.2 m,,,technology,,;
103147,yocabe’,italy,,,,12.0,,doll_3.29 m,,,ecommerce,,;
100308,yamap,japan,,,,65,,doll_7.20 m,,,technology,,;
100724,yoyo wallet,united kingdom,,,,68,,doll_3.97 m,,,fintech,,;
100734,you mawo,germany,,,,21,,doll_2.61 m,,,technology,,;
100843,ywc,japan,,,,600,,doll_40.69 m,,,sales & marketing,,;
101111,youlovewords,france,,,,17,,doll_2.74 m,,,media,,;
101219,yoyo wallet,uk,,,,66,,doll_6.24 m,,,fintech,,;
101249,yuan,taiwan,,,,121,,doll_91.45 m,,,technology,,;
101270,yanogumi,japan,,,,10,,doll_2.92 m,,,architecture,,;
101296,yamato infilink,japan,,,,25,,doll_20.05 m,,,property,,;
101362,yeap medical supplies,singapore,,,,82,,doll_49.92 m,,,health,,;
101434,yukon sky,japan,,,,55,,doll_19.77 m,,,retail,,;
101576,yourparkingspace,united kingdom,,,,21,,doll_7.30 m,,,technology,,;
101703,yellow octopus,australia,,,,8,,doll_3.41 m,,,ecommerce,,;
101790,yield microelectronic,taiwan,,,,60,,doll_4.32 m,,,technology,,;
101963,yongmao holdings,singapore,,,,not found,,doll_136.35 m,,,industrial goods,,;
101981,yeo plumber,malaysia,,,,26,,doll_3.42 m,,,construction,,;
102091,your personal,italy,,,,10,,doll_1.6 m,,,transport,,;
102531,younited credit,france,,,,328,,doll_16.4 m,,,financial services,,;
103335,yocabe,italy,,,,10,,doll_1.97 m,,,ecommerce,,;
103341,yescapa,france,,,,31,,doll_2.76 m,,,travel & leisure,,;
105112,yogurt factory,france,,,,80,,doll_5.3 m,,,food & beverage,,;
104304,yellow submarine,croatia,,,,77,,doll_4.5 m,,,restaurants,,;
104524,young digitals,italy,,,,43,,doll_2.8 m,,,advertising,,;
104852,youngcapital,netherlands,,,,1000,,doll_321.9 m,,,support services,,;
