id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
74,zydus cadila,,,1952.0,,,,,['pharma'],,
176001,zensar technologies,india,,,,doll_0.00151 b,doll_0.531 b,doll_0.052 b,"['technology', 'software and it']",not found,"pune, india"
50242,zomato,india,,2008.0,3755.0,doll_0.541 b,doll_0.525 b,doll_-0.151 b,"['online food delivery', 'internet or mobile app based business', 'food service', 'technology', 'retail', 'ecommerce']",deepinder goyal,
516,zs,,,1983.0,,,,,['management consulting'],,
676,zf rane automotive,,,,,,,,['auto components'],,
1022,zf steering gear,,,1915.0,,,,,['auto components'],,
1191,zuventus healthcare,,,2002.0,,,,,['pharma'],,
132802,zydus wellness,india,,,,doll_0.11699999999999999 b,doll_0.027000000000000003 b,doll_0.039 b,"['consumer defensive', 'food and beverage', 'beverages', 'food products', 'fmcg', 'package foods']",not found,
158150,zte corporation,china,,,72584.0,doll_0.02225 b,doll_0.017991 b,doll_0.00107 b,"['technology', 'mobiles', 'mobiles & accessories', 'telecom equipment', 'network hardware and software', 'networking products / solutions', 'software and it', 'communications equipment']",xu ziyang,
1397,zoho,,,1996.0,,,,,['software product'],,
1410,zydus lifesciences,india,"zydue tower, satellite cross road, ahmedabad, 380015",1952.0,13405.0,doll_0.5469999999999999 b,doll_0.001856 b,doll_0.562 b,"['healthcare', 'healthcare products', 'pharmaceutical']",not found,
1464,zydus healthcare,,,,,,,,,,
1517,ziqitza health care,,,2005.0,,,,,['healthcare'],,
150502,zee entertainment enterprises,india,,,3429.0,doll_0.00233 b,doll_0.0010249999999999999 b,doll_0.121 b,"['communication services', 'media', 'advertising', 'broadcasting', 'entertainment', 'movies / entertainment', 'entertainment', 'music', 'music, movies & posters', 'television services']",not found,
1833,zealous services,,,2007.0,,,,,['bpo'],,
1988,zycus infotech,,,1997.0,,,,,['software product'],,
2196,zolo,,,2015.0,,,,,['internet'],,
2209,zeetech management and marketing,,,2011.0,,,,,,,
2225,zoomcar,,,2012.0,,,,,['internet'],,
101632,zara,italy,,1974.0,,,doll_0.0017 b,,['apparel retailers'],,arteixo
2368,zetwerk manufacturing businesses,,,2018.0,,,,,['iron & steel'],,
2448,zimetrics technologies,,,2015.0,,,,,['it services & consulting'],,
2622,zf wind power,,,1923.0,,,,,['power'],,
2731,zf india technology center,,,1915.0,,,,,['auto components'],,
2771,zovian technologies,,,2016.0,,,,,['it services & consulting'],,
2778,zydex industries,,,1997.0,,,,,['chemicals'],,
3004,zebronics,,,1997.0,,,,,['consumer electronics & appliances'],,
3115,zydus hospital,,,2015.0,,,,,['healthcare'],,
3320,zim laboratories,,,1984.0,,,,,['pharma'],,
3323,zee laboratories,,,1993.0,,,,,['pharma'],,
3368,zuari agro chemicals,,,1967.0,,,,,['agro chemicals'],,
3452,zepto,,,2021.0,,,,,['internet'],,
43201,zee learn,india,,,,doll_0.02689 b,doll_0.03698 b,doll_0.00029 b,['education'],,
4033,zyoin,,,2005.0,,,,,['recruitment'],,
4028,zamil steel buildings india,,,2008.0,,,,,['engineering & construction'],,
4092,zscaler softech,,,2008.0,,,,,['software product'],,
4335,zee media corporation,,,1999.0,,,,,['media & entertainment'],,
4519,zodiac clothing company,,,1984.0,,,,,['fashion & textile'],,
13218,zeta,united states,,2015.0,,,,,['fintech'],,san francisco
5102,zf group,,,,,,,,['auto components'],,
5478,zerodha,india,,2010.0,1100.0,doll_3.9579999999999997 b,,0.0,"['brokerage services', 'stock markets, trading, capital markets', 'trading', 'software and it']",not found,
5580,zucol group,,,2010.0,,,,,['it services & consulting'],,
5737,zeco aircon,,,1989.0,,,,,['industrial machinery'],,
5806,ziff davis performance marketing,,,2005.0,,,,,['marketing & advertising'],,
133440,zeta global,united states,,2007.0,1434.0,doll_0.179 b,doll_0.05500000000000001 b,doll_0.028999999999999998 b,"['artificial intelligence', 'technology', 'software and it']",not found,
