_id,ltable_id,rtable_id,ltable_name,ltable_country,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_categories,rtable_ceo,label
106531,49044,66328,imperial brands,uk,,,,doll_23.78 b,,,,,imperial brands,,,,30.3,doll_23.37 b,doll_36.35 b,doll_2.84 b,,,1
25995,10645,10645,navamaresspainoãå(12384796),,                        Harju maakond Tallinn MustamÃÂ¤e linnaosa Laki tn 32 12915                            ,,,,,,,,navamaresspainoãå(12384796),,                        Harju maakond Tallinn MustamÃÂ¤e linnaosa Laki tn 32 12915                            ,,,,,,,,0
282805,178731,183484,ubisoft bucharest,,,1992,,,,,,,ubisoft bucharest,,,1992,,,,,,,1
89082,27953,49358,geely,china,,,,doll_15.09 b,,,,,geely,china,,,,doll_15.52 b,,,,,1
7434,98321,97321,qmee,uk,,,23.0,,doll_12.57 m,,,,qmee,uk,,,23,,doll_12.57 m,,,,1
1340095,146041,154577,beijing zhidemai technology,china,,,,doll_16 m,,,,,beijing highlander digital technology,china,,,,doll_1.43 b,,0.0,,,0
191445,113133,113326,h a chunu & co limited,,,,,,,,,,h. allan & son limited,,,,,,,,,,0
225245,139370,163027,ig group holdings,uk,,,,doll_5.61 m,,,,,integrafin holdings,uk,,,,doll_2.44 m,,60 million usd,,,0
30504,23737,26516,eagle bancorp,united states,,,,doll_1.41 b,,,banks financial-services ,,essa bancorp,united states,,,,doll_0.21 b,,,banks financial-services ,,0
1691781,61987,145527,astronics corporation,,,,2.1,doll_0.35 b,doll_0.49 b,-doll_29.82 m,,,alujain corporation,saudi arabia,,,,doll_1.23 m,,,,,0
93849,29949,37121,mister car wash,united states,,,,doll_3.18 b,,,,,mister car wash,united states,,,,doll_3.03 b,,,,,1
123134,116570,113351,v & o enterprises limited,,,,,,,,,,v & b holdings limited,,,,,,,,,,0
59533,52510,31177,finolex industries,india,,,,doll_1.38 b,,,,,finolex industries,india,,,,doll_1.33 b,,,,,1
998,143506,30476,xenon pharmaceuticals,canada,,,,doll_0.73 m,,,,,xenon pharmaceuticals,canada,,,,doll_2.26 b,,,,,1
1135080,112866,112719,all about me limited,,,,,,,,,,all about bikes limited,,,,,,,,,,0
90606,65107,35970,merdeka copper gold,,,,6.332,doll_7.30 b,doll_0.74 b,doll_0.12 b,,,merdeka copper gold,indonesia,,,,doll_6.61 b,,,,,1
557312,70410,147186,newmont corporation,united states,,,,doll_65.89 b,,,,,nucor corporation,united states,,,,doll_32.71 b,,doll_6.79 b,,leon topalian,0
1777095,65706,151590,astro corporation,,,,,doll_20.62 m,doll_3.8 m,-doll_2.87 m,,,avista corporation,united states,,,,doll_3.04 b,,doll_147.0 m,,,0
44894,27064,27064,glaxosmithkline,uk,,,,doll_72.42 b,,,,,glaxosmithkline,uk,,,,doll_72.42 b,,,,,1
521259,95082,147611,genuine parts,united states,,,,doll_18.97 b,doll_19.7 b,,,,genuine parts company,united states,,,,doll_19.79 b,,doll_898.0 m,,paul d. donahue,1
1368045,112716,113017,all about bling ltd,,,,,,,,,,all about u ltd,,,,,,,,,,0
163505,116761,116858,u & m logistics ltd,,,,,,,,,,u c em facilities ltd,,,,,,,,,,0
527235,136827,66070,associated british foods,uk,,,,doll_21.89 m,,,,,associated british foods,,,,132.0,doll_17.65 b,doll_18.98 b,doll_1.20 b,,,1
22889,66674,27197,london stock exchange,,,,23.261,doll_48.97 b,doll_1.94 b,doll_0.41 b,,,london stock exchange,uk,,,,doll_48.97 b,,,,,1
131933,41438,69827,great-west lifeco,canada,,,,doll_217 b,,,[],,great-west lifeco inc.,canada,,,,doll_27.85 b,,,,,1
57373,103250,97806,kk-trade,germany,,,15,,doll_4.38 m,,,,kk-trade,germany,,,15,,doll_4.38 m,,,,1
1382016,112681,113035,all aboard rentals limited,,,,,,,,,,all about wine limited,,,,,,,,,,0
300883,61761,36272,clearwater paper,,,,3.0,doll_0.61 b,doll_2.04 b,doll_0.13 b,,,clearwater analytics,united states,,,,doll_5.41 b,,,,,0
88293,63130,63830,esperion therapeutics,,,,218.0,doll_0.53 b,doll_72.05 m,-doll_0.19 b,,,eterna therapeutics,,,,10.0,doll_23.84 m,,-doll_28.51 m,,,0
123062,53605,33723,bioxcel therapeutics,united states,,,,doll_0.53 b,,,,,biora therapeutics,united states,,,,doll_38.11 m,,,,,0
75859,133434,133434,womai,china,,,,,,,,,womai,china,,,,,,,,,1
142124,4772,57673,manba finance,,,1996,,,,,,,muthoot finance,india,,,,doll_5.20 b,,,,,0
45698,116043,115917,z & s blinds ltd,,,,,,,,,,z & a motors ltd,,,,,,,,,,0
31198,115882,115884,z a builders limited,,,,,,,,,,z a desserts limited,,,,,,,,,,0
60868,92910,92910,wec energy group,united states,,,,doll_32.8 b,doll_8.32 b,doll_1.3 b,,,wec energy group,united states,,,,doll_32.8 b,doll_8.32 b,doll_1.3 b,,,1
249798,149017,138337,universal display corporation,united states,,,,doll_7.49 b,,doll_184.0 m,,,universal display corporation,united states,,,,doll_9.83 m,,,,,1
5679,74546,74546,yihai kerry arawana holdings co. ltd,china,,,,doll_42.84 b,,,,,yihai kerry arawana holdings co. ltd,china,,,,doll_42.84 b,,,,,1
135174,150982,35292,bank of zhengzhou,china,,,,doll_3.62 b,,doll_401 m,,,bank of shanghai,china,,,,doll_12.3 b,,,,,0
12150,40326,4408,igarashi motors india,india,,,,doll_150.0 m,,,,,igarashi motors,,,1992,,,,,,,1
71915,135896,66789,lowe's companies,united states,,,,doll_1.42 b,,,,marvin ellison,lowe's companies,,,,300.000,doll_129.60 b,doll_95.22 b,doll_10.31 b,,,1
109573,31773,45144,mirum pharmaceuticals,united states,,,,doll_0.81 b,,,,,madrigal pharmaceuticals,united states,,,,doll_1.15 b,,,[],,0
358655,116314,116318,v & a & r ganatra limited,,,,,,,,,,v & a building limited,,,,,,,,,,0
116442,147469,70866,intact financial corporation,canada,,,,doll_22.97 b,,doll_1.56 b,,charles brindamour,intact financial corporation,canada,,,,doll_26.4 b,,,,,1
14182,163482,4414,breedon group,uk,,,,doll_2.16 m,,92 million usd,,,bonn group,,,1985,,,,,,,0
26164,143650,23807,enova international,united states,,,,doll_1.22 m,,,,,enova international,united states,,,,doll_1.28 b,,,financial-services ,,1
11481,28335,22524,juniper networks,united states,,,,doll_10.36 b,,,,,juniper networks,united states,,,,doll_10.68 b,,,networking-hardware telecommunications-equipment tech tech-hardware ,,1
25673,36915,20440,faurecia,france,,,,doll_3.52 b,,,,,faurecia,france,,,,doll_3.96 b,,,none,,1
102714,44861,61661,hibbett sports,united states,,,,doll_0.86 b,,,['footwear'],,hibbett sports,,,,3.6,doll_0.92 b,doll_1.63 b,doll_0.14 b,,,1
80,140710,1059,qurate retail,united states,,,,doll_4.49 m,,,,,quest retail,,,2005,,,,,,,0
43806,38370,63718,verve therapeutics,united states,,,,doll_1.25 b,,,,,vyne therapeutics,,,,28.0,doll_15.54 m,doll_2.76 m,-doll_38.21 m,,,0
85434,94616,62152,eneos holdings,japan,,,,doll_11.38 b,doll_90.31 b,,,,everi holdings,,,,1.55,doll_1.43 b,doll_0.75 b,doll_0.15 b,,,0
1644,60832,438,hudson technologies,united states,,,,doll_0.45 b,,,,,here technologies,,,1985,,,,,,,0
94379,20740,57899,hawaiian electric industries,united states,,,,doll_4.55 b,,,none,,hawaiian electric industries,united states,,,,doll_4.48 b,,,,,1
71736,92363,92363,us bancorp,united states,,,,doll_75.48 b,doll_23.12 b,doll_7.21 b,,,us bancorp,united states,,,,doll_75.48 b,doll_23.12 b,doll_7.21 b,,,1
902789,73712,123071,petrofac limited,united kingdom,,,,doll_472.4 m,,,,,petrofac limited,united kingdom,,,,,,,,,1
846897,28352,92486,country garden,china,,,,doll_10.15 b,,,,,country garden holdings,china,,,,doll_15.65 b,doll_81.13 b,doll_4.15 b,,,1
83005,47476,39201,franklin resources,united states,,,,doll_13.37 b,,,['investment'],,franklin covey,united states,,,,doll_610.0 m,,,,,0
172552,176423,154756,quizlet,united states,,2005,,,not found,,,not found,quizlet,united states,,,,0.0,,0.0,,,1
28943,60405,53314,orient electric,india,,,,doll_0.69 b,,,,,orient electric,india,,,,doll_0.70 b,,,,,1
659137,43871,74258,the beachbody company,united states,,,,doll_0.23 b,,,[],,the boeing company,united states,,,,doll_110.46 b,,,,,0
837668,112162,111901,software primitives limited,,,,,,,,,,software alliance limited,,,,,,,,,,0
226779,141676,30508,chesapeake utilities corporation,united states,,,,doll_2.3 m,,,,,chesapeake utilities,united states,,,,doll_2.20 b,,,,,1
35006,62336,39030,united fire group,,,,186,doll_0.75 b,doll_0.96 b,doll_61.73 m,,,united fire group,united states,,,,doll_720.0 m,,,,,1
3508,49041,49041,yum china,china,,,,doll_23.86 b,,,,,yum china,china,,,,doll_23.86 b,,,,,1
47035,98893,98893,oxylabs.io,lithuania,,,245.0,,doll_25.04 m,,,,oxylabs.io,lithuania,,,245.0,,doll_25.04 m,,,,1
