ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
5,wipro,,,,1945,,,,,it services & consulting,,,;
28,wns,,,,1996,,,,,analytics & kpo,,,;
73,wells fargo india,,,,1852,,,,,it services & consulting,,,;
109,wipro bps,,,,2000,,,,,it services & consulting,,,;
142,whitehat jr,,,,2018,,,,,edtech,,,;
153,wipro consumer care & lighting,,,,1945,,,,,fmcg,,,;
162,wipro infotech,,,,1945,,,,,it services & consulting,,,;
208,wipro enterprises ltd,,,,1945,,,,,it services & consulting,,,;
288,walmart,,,,2009,,,,,retail,,,;
350,whirlpool,,,,1911,,,,,consumer electronics & appliances,,,;
383,wockhardt,,,,1999,,,,,pharma,,,;
448,wabco,,,,1969,,,,,auto components,,,;
589,welspun,,,,1985,,,,,fashion & textile,,,;
725,wind world,,,,1994,,,,,power,,,;
819,wheelseye technology,,,,2017,,,,,logistics,,,;
924,wistron,,,,2001,,,,,electronics manufacturing,,,;
926,worley,,,,1971,,,,,engineering & construction,,,;
1045,willis towers watson,,,,2016,,,,,financial services,,,;
1101,wheels,,,,1962,,,,,auto components,,,;
1131,westside,,,,1998,,,,,fashion & textile,,,;
1169,wipro infrastructure engineering,,,,1976,,,,,industrial machinery,,,;
1304,wuerth,,,,1994,,,,,industrial machinery,,,;
1312,webhelp,,,,2000,,,,,bpo,,,;
1341,welspun group,,,,1985,,,,,metals & mining,,,;
1365,wapcos,,,,1969,,,,,engineering & construction,,,;
1415,wonder cement,,,,2010,,,,,building material,,,;
1430,wockhardt hospital,,,,1973,,,,,healthcare,,,;
1479,westin,,,,1930,,,,,hospitality,,,;
1782,williams lea tag,,,,1820,,,,,recruitment,,,;
1808,wipro infotech limited,,,,0,,,,,,,,;
1856,wipro digital,,,,2015,,,,,it services & consulting,,,;
1864,wipro digital,,,,2015,,,,,it services & consulting,,,;
1921,wellness forever medicare,,,,2008,,,,,retail,,,;
1966,wonderla holidays,,,,2000,,,,,hospitality,,,;
2045,writer safe guard,,,,2001,,,,,law enforcement & security,,,;
2089,wipro ge health care,,,,1892,,,,,it services & consulting,,,;
2115,welspun corp,,,,1985,,,,,iron & steel,,,;
2139,wintax solution,,,,2018,,,,,management consulting,,,;
2151,worldline global services,,,,1974,,,,,it services & consulting,,,;
2157,win medicare,,,,2005,,,,,pharma,,,;
2181,wissen infotech,,,,2000,,,,,it services & consulting,,,;
2256,wirpo technologies,,,,0,,,,,it services & consulting,,,;
2268,waaree energies,,,,1989,,,,,power,,,;
2271,wolters kluwer,,,,1836,,,,,it services & consulting,,,;
2299,wartsila,,,,1834,,,,,ports & shipping,,,;
2414,webskitters,,,,2010,,,,,it services & consulting,,,;
2570,windlas biotech,,,,2001,,,,,pharma,,,;
2593,writer corporation,,,,1953,,,,,facility management services,,,;
2594,walchandnagar industries,,,,1908,,,,,industrial machinery,,,;
2663,wipro hr services,,,,0,,,,,recruitment,,,;
2728,wildcraft,,,,1998,,,,,fashion & textile,,,;
2891,writer information management services,,,,1987,,,,,facility management services,,,;
2913,watertec india,,,,1997,,,,,building material,,,;
2920,wow momo foods,,,,2008,,,,,fmcg,,,;
2928,weblink in,,,,1997,,,,,it services & consulting,,,;
2962,wallace pharmaceuticals,,,,1968,,,,,pharma,,,;
3005,waycool foods and products,,,,2015,,,,,fmcg,,,;
3048,wood group,,,,1912,,,,,oil & gas,,,;
3062,world vision,,,,1950,,,,,non-profit,,,;
3077,welspun flooring,,,,2016,,,,,building material,,,;
3079,weddingz.in,,,,2015,,,,,internet,,,;
3157,walplast products,,,,2004,,,,,engineering & construction,,,;
3170,wsp consultants india,,,,1959,,,,,engineering & construction,,,;
3196,woodland,,,,1992,,,,,fashion & textile,,,;
3293,wagh bakri tea group,,,,1915,,,,,beverage,,,;
3322,western union,,,,1851,,,,,financial services,,,;
3445,wissen technology,,,,2015,,,,,it services & consulting,,,;
3567,wakefit innovations,,,,2014,,,,,furniture & furnishing,,,;
3617,welspun enterprises,,,,1976,,,,,engineering & construction,,,;
3680,walsons facility solutions,,,,1996,,,,,recruitment,,,;
3764,weatherford,,,,1941,,,,,oil & gas,,,;
3782,weizmann forex,,,,1993,,,,,financial services,,,;
3820,wings biotech,,,,1986,,,,,pharma,,,;
