INIZIALE: confronti iniziali --> confronti dopo il blocking [tempo impiegato (sec)]
a.csv: 1.120.411.204 --> 1.226.186 	[143.80582523345947]
b.csv: 72.837.283 --> 929.953 		[101.92562532424927]
c.csv: 92.589.258 --> 786.404 		[120.83145093917847]
d.csv: 37.913.791 --> 95.941 		[14.468438625335693]
e.csv: 43.684.368 --> 103.294 		[22.65510082244873]
f.csv: 42.644.264 --> 368.064 		[51.139352321624756]
g.csv: 49.904.990 --> 396.720 		[53.79556918144226]
h.csv: 47.004.700 --> 247.808 		[44.327922105789185]
i.csv: 42.884.288 --> 122.458 		[22.38310718536377]
j.csv: 19.111.911 --> 74.193 		[17.284346342086792]
k.csv: 30.783.078 --> 51.992 		[14.054872512817383]
l.csv: 33.613.361 --> 90.511 		[21.7487735748291]
m.csv: 60.386.038 --> 207.210 		[40.412291049957275]
n.csv: 44.544.454 --> 364.260 		[71.92605638504028]
o.csv: 26.472.647 --> 45.155 		[10.413411855697632]
p.csv: 62.926.292 --> 781.156 		[136.89525032043457]
q.csv: 995.995 --> 129.101 			[23.986177682876587]
r.csv: 39.813.981 --> 228.219 		[40.09764051437378]
s.csv: 1.187.511.875 --> 1.264.329 	[215.95408248901367]
t.csv: 71.677.167 --> 1.628.811 		[232.71184945106506]
u.csv: 19.761.976 --> 184.814 		[23.581916093826294]
v.csv: 34.833.483 --> 574.439 		[58.260459184646606]
w.csv: 24.832.483 --> 55.501 		[10.030325412750244]
x.csv: 480.480 --> 5.058 			[2.928118944168091]
y.csv: 777.777 --> 8.949 			[3.368091344833374]
z.csv: 15.141.514 --> 192.542 		[23.254204273223877]
