_id,ltable_id,rtable_id,ltable_name,ltable_country,ltable_revenue_2022,ltable_profit,ltable_assets,ltable_market_value,rtable_name,rtable_country,rtable_revenue_2022,rtable_profit,rtable_assets,rtable_market_value
0,0,0,berkshire hathaway,united states,doll_276.09 b,,,doll_741.48 b,berkshire hathaway,united states,doll_276.09 b,doll_89.8 b,doll_958.78 b,doll_741.48 b
1,9,9,toyota motor,japan,doll_281.75 b,,,doll_237.73 b,toyota motor,japan,doll_281.75 b,doll_28.15 b,doll_552.46 b,doll_237.73 b
2,13,13,samsung group,south korea,doll_244.16 b,,,doll_367.26 b,samsung group,south korea,doll_244.16 b,doll_34.27 b,doll_358.88 b,doll_367.26 b
3,18,18,verizon communications,united states,doll_134.35 b,,,doll_218.02 b,verizon communications,united states,doll_134.35 b,doll_21.52 b,doll_366.6 b,doll_218.02 b
4,21,21,unitedhealth group,united states,doll_297.55 b,,,doll_490.15 b,unitedhealth group,united states,doll_297.55 b,doll_17.45 b,doll_221.24 b,doll_490.15 b
5,24,24,volkswagen group,germany,doll_295.73 b,,,doll_82.4 b,volkswagen group,germany,doll_295.73 b,doll_17.54 b,doll_638.26 b,doll_82.4 b
6,27,27,tencent holdings,china,doll_86.86 b,,,doll_414.28 b,tencent holdings,china,doll_86.86 b,doll_34.94 b,doll_252.99 b,doll_414.28 b
7,30,30,china mobile,hong kong,doll_131.49 b,,,doll_147.05 b,china mobile,hong kong,doll_131.49 b,doll_17.97 b,doll_283.37 b,doll_147.05 b
8,32,32,alibaba group,china,doll_129.76 b,,,doll_237.78 b,alibaba group,china,doll_129.76 b,doll_10.17 b,doll_276.25 b,doll_237.78 b
9,33,33,meta platforms,united states,doll_117.93 b,,,doll_499.86 b,meta platforms,united states,doll_117.93 b,doll_39.37 b,doll_165.99 b,doll_499.86 b
10,40,40,mercedes-benz group,germany,doll_178.94 b,,,doll_74.62 b,mercedes-benz group,germany,doll_178.94 b,doll_27.19 b,doll_295.48 b,doll_74.62 b
11,41,41,cvs health,united states,doll_291.98 b,,,doll_133.53 b,cvs health,united states,doll_291.98 b,doll_7.91 b,doll_240.5 b,doll_133.53 b
12,47,47,axa group,france,doll_145.19 b,,,doll_65.75 b,axa group,france,doll_145.19 b,doll_8.39 b,doll_839.85 b,doll_65.75 b
13,52,52,nippon telegraph & tel,japan,doll_110.39 b,,,doll_103.98 b,nippon telegraph & tel,japan,doll_110.39 b,doll_10.15 b,doll_204.46 b,doll_103.98 b
14,53,53,reliance industries,india,doll_86.85 b,,,doll_228.63 b,reliance industries,india,doll_86.85 b,doll_7.81 b,doll_192.59 b,doll_228.63 b
15,58,58,taiwan semiconductor,taiwan,doll_61.47 b,,,doll_494.6 b,taiwan semiconductor,taiwan,doll_61.47 b,doll_23.63 b,doll_139.35 b,doll_494.6 b
16,59,59,ford motor,canada,doll_136.34 b,,,doll_60.8 b,ford motor,canada,doll_136.34 b,doll_17.94 b,doll_257.04 b,doll_60.8 b
17,60,60,lvmh moã«t hennessy louis vuitton,france,doll_75.9 b,,,doll_346.8 b,lvmh moët hennessy louis vuitton,france,doll_75.9 b,doll_14.23 b,doll_142.5 b,doll_346.8 b
18,62,62,procter & gamble,united states,doll_79.62 b,,,doll_386.53 b,procter & gamble,united states,doll_79.62 b,doll_14.6 b,doll_120.22 b,doll_386.53 b
19,63,63,bmw group,germany,doll_131.48 b,,,doll_55.98 b,bmw group,germany,doll_131.48 b,doll_14.64 b,doll_277.28 b,doll_55.98 b
20,65,65,deutsche telekom,germany,doll_128.59 b,,,doll_91.72 b,deutsche telekom,germany,doll_128.59 b,doll_4.93 b,doll_340.56 b,doll_91.72 b
21,68,68,general motors,united states,doll_127 b,,,doll_57.89 b,general motors,united states,doll_127 b,doll_10.02 b,doll_244.72 b,doll_57.89 b
22,70,70,china life insurance,china,doll_130.5 b,,,doll_43.02 b,china life insurance,china,doll_130.5 b,doll_7.87 b,doll_769.88 b,doll_43.02 b
23,207,70,china pacific insurance,china,doll_68.07 b,,,doll_22.69 b,china life insurance,china,doll_130.5 b,doll_7.87 b,doll_769.88 b,doll_43.02 b
24,211,70,dai-ichi life insurance,japan,doll_66.73 b,,,doll_19.9 b,china life insurance,china,doll_130.5 b,doll_7.87 b,doll_769.88 b,doll_43.02 b
25,476,70,new china life insurance,china,doll_34.44 b,,,doll_8.91 b,china life insurance,china,doll_130.5 b,doll_7.87 b,doll_769.88 b,doll_43.02 b
26,532,70,samsung life insurance,south korea,doll_25.44 b,,,doll_9.59 b,china life insurance,china,doll_130.5 b,doll_7.87 b,doll_769.88 b,doll_43.02 b
27,669,70,china taiping insurance,hong kong,doll_40.91 b,,,doll_4.36 b,china life insurance,china,doll_130.5 b,doll_7.87 b,doll_769.88 b,doll_43.02 b
28,71,71,roche holding,switzerland,doll_68.69 b,,,doll_308.14 b,roche holding,switzerland,doll_68.69 b,doll_15.24 b,doll_101.32 b,doll_308.14 b
29,72,72,aia group,hong kong,doll_45.16 b,,,doll_120.19 b,aia group,hong kong,doll_45.16 b,doll_7.43 b,doll_334.88 b,doll_120.19 b
30,74,74,bhp group,australia,doll_65.55 b,,,doll_178.07 b,bhp group,australia,doll_65.55 b,doll_16.92 b,doll_105.72 b,doll_178.07 b
31,75,75,the home depot,canada,doll_151.16 b,,,doll_310.13 b,the home depot,canada,doll_151.16 b,doll_16.43 b,doll_71.88 b,doll_310.13 b
32,76,76,american express,united states,doll_46.29 b,,,doll_136.72 b,american express,united states,doll_46.29 b,doll_7.86 b,doll_196 b,doll_136.72 b
33,16,79,ping an insurance group,china,doll_181.37 b,,,doll_121.69 b,zurich insurance group,switzerland,doll_69.58 b,doll_5.21 b,doll_410.15 b,doll_69.22 b
34,79,79,zurich insurance group,switzerland,doll_69.58 b,,,doll_69.22 b,zurich insurance group,switzerland,doll_69.58 b,doll_5.21 b,doll_410.15 b,doll_69.22 b
35,835,79,qbe insurance group,australia,doll_13.95 b,,,doll_13.04 b,zurich insurance group,switzerland,doll_69.58 b,doll_5.21 b,doll_410.15 b,doll_69.22 b
36,81,81,rio tinto,united kingdom,doll_63.46 b,,,doll_117.78 b,rio tinto,united kingdom,doll_63.46 b,doll_21.06 b,doll_102.9 b,doll_117.78 b
37,82,82,brookfield asset management,canada,doll_78.82 b,,,doll_80.94 b,brookfield asset management,canada,doll_78.82 b,doll_3.97 b,doll_391 b,doll_80.94 b
38,738,82,china cinda asset management,china,doll_10.29 b,,,doll_6.47 b,brookfield asset management,canada,doll_78.82 b,doll_3.97 b,doll_391 b,doll_80.94 b
39,84,84,prudential financial,united states,doll_70.93 b,,,doll_43.6 b,prudential financial,united states,doll_70.93 b,doll_7.61 b,doll_937.58 b,doll_43.6 b
40,86,86,merck & co.,united states,doll_50.37 b,,,doll_213.83 b,merck & co.,united states,doll_50.37 b,doll_13.05 b,doll_105.69 b,doll_213.83 b
41,87,87,elevance health,united states,doll_144.35 b,,,doll_121.25 b,elevance health,united states,doll_144.35 b,doll_6.24 b,doll_100.49 b,doll_121.25 b
42,7,88,agricultural bank of china,china,doll_181.42 b,,,doll_133.38 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
43,8,88,bank of america,united states,doll_96.83 b,,,doll_303.1 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
44,12,88,bank of china,china,doll_152.43 b,,,doll_117.83 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
45,29,88,postal savings bank of china (psbc),china,doll_77.61 b,,,doll_125.53 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
46,61,88,bank of communications,china,doll_76 b,,,doll_52.82 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
47,88,88,bank of nova scotia,canada,doll_30.35 b,,,doll_80.58 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
48,105,88,state bank of india,india,doll_54.42 b,,,doll_58.39 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
49,116,88,bank of montreal,canada,doll_26.53 b,,,doll_72.74 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
50,265,88,bank of new york mellon,united states,doll_16.09 b,,,doll_35.68 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
51,294,88,bank of ningbo,china,doll_13.71 b,,,doll_37.67 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
52,353,88,bank of beijing,china,doll_19.38 b,,,doll_15.09 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
53,355,88,bank of jiangsu,china,doll_17.9 b,,,doll_17.05 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
54,389,88,bank of shanghai,china,doll_15.94 b,,,doll_14.76 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
55,423,88,bank of nanjing,china,doll_12.17 b,,,doll_18.84 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
56,433,88,national bank of canada,canada,doll_9 b,,,doll_24.82 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
57,644,88,bank of hangzhou,china,doll_8.7 b,,,doll_13.96 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
58,731,88,industrial bank of korea,south korea,doll_9.44 b,,,doll_6.97 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
59,733,88,national bank of kuwait,kuwait,doll_3.82 b,,,doll_25.78 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
60,866,88,bank of ireland,ireland,doll_8.37 b,,,doll_7.83 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
61,949,88,joint stock commercial bank for foreign trade of vietnam,vietnam,doll_3.91 b,,,doll_16.94 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
62,953,88,bank of baroda,india,doll_12.06 b,,,doll_7.54 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
63,999,88,union bank of india,india,doll_11.28 b,,,doll_3.62 b,bank of nova scotia,canada,doll_30.35 b,doll_7.96 b,doll_979.3 b,doll_80.58 b
64,89,89,american international group,united states,doll_52.06 b,,,doll_48.73 b,american international group,united states,doll_52.06 b,doll_9.39 b,doll_521.83 b,doll_48.73 b
65,778,89,american airlines group,united states,doll_34.77 b,,,doll_13.1 b,american international group,united states,doll_52.06 b,doll_9.39 b,doll_521.83 b,doll_48.73 b
66,882,89,en+ group international,russia,doll_14.12 b,,,doll_4.47 b,american international group,united states,doll_52.06 b,doll_9.39 b,doll_521.83 b,doll_48.73 b
67,90,90,glencore international,switzerland,doll_203.41 b,,,doll_79.9 b,glencore international,switzerland,doll_203.41 b,doll_5 b,doll_127.51 b,doll_79.9 b
68,91,91,cisco systems,united states,doll_51.55 b,,,doll_213.36 b,cisco systems,united states,doll_51.55 b,doll_11.82 b,doll_94.26 b,doll_213.36 b
69,92,92,anheuser-busch inbev,belgium,doll_54.33 b,,,doll_118.52 b,anheuser-busch inbev,belgium,doll_54.33 b,doll_4.66 b,doll_219.37 b,doll_118.52 b
70,93,93,walt disney,united states,doll_72.98 b,,,doll_215.33 b,walt disney,united states,doll_72.98 b,doll_3.08 b,doll_203.31 b,doll_215.33 b
71,99,99,united parcel service,united states,doll_97.2 b,,,doll_163.03 b,united parcel service,united states,doll_97.2 b,doll_12.89 b,doll_69.41 b,doll_163.03 b
72,100,100,british american tobacco,united kingdom,doll_35.32 b,,,doll_97.49 b,british american tobacco,united kingdom,doll_35.32 b,doll_9.34 b,doll_186.05 b,doll_97.49 b
73,102,102,honda motor,japan,doll_130.16 b,,,doll_44.99 b,honda motor,japan,doll_130.16 b,doll_7.24 b,doll_193.22 b,doll_44.99 b
74,4,104,china construction bank,china,doll_202.07 b,,,doll_181.32 b,china state construction engineering,china,doll_205.79 b,doll_5.87 b,doll_374.72 b,doll_36.91 b
75,104,104,china state construction engineering,china,doll_205.79 b,,,doll_36.91 b,china state construction engineering,china,doll_205.79 b,doll_5.87 b,doll_374.72 b,doll_36.91 b
76,245,104,china communications construction,china,doll_108.41 b,,,doll_19.1 b,china state construction engineering,china,doll_205.79 b,doll_5.87 b,doll_374.72 b,doll_36.91 b
77,372,104,china railway construction,china,doll_157.66 b,,,doll_8.69 b,china state construction engineering,china,doll_205.79 b,doll_5.87 b,doll_374.72 b,doll_36.91 b
78,380,104,power construction corporation of china,china,doll_70.28 b,,,doll_16.34 b,china state construction engineering,china,doll_205.79 b,doll_5.87 b,doll_374.72 b,doll_36.91 b
79,695,104,china energy engineering,china,doll_49.75 b,,,doll_4.17 b,china state construction engineering,china,doll_205.79 b,doll_5.87 b,doll_374.72 b,doll_36.91 b
80,7,105,agricultural bank of china,china,doll_181.42 b,,,doll_133.38 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
81,8,105,bank of america,united states,doll_96.83 b,,,doll_303.1 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
82,12,105,bank of china,china,doll_152.43 b,,,doll_117.83 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
83,29,105,postal savings bank of china (psbc),china,doll_77.61 b,,,doll_125.53 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
84,61,105,bank of communications,china,doll_76 b,,,doll_52.82 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
85,88,105,bank of nova scotia,canada,doll_30.35 b,,,doll_80.58 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
86,105,105,state bank of india,india,doll_54.42 b,,,doll_58.39 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
87,116,105,bank of montreal,canada,doll_26.53 b,,,doll_72.74 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
88,265,105,bank of new york mellon,united states,doll_16.09 b,,,doll_35.68 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
89,294,105,bank of ningbo,china,doll_13.71 b,,,doll_37.67 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
90,353,105,bank of beijing,china,doll_19.38 b,,,doll_15.09 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
91,355,105,bank of jiangsu,china,doll_17.9 b,,,doll_17.05 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
92,389,105,bank of shanghai,china,doll_15.94 b,,,doll_14.76 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
93,423,105,bank of nanjing,china,doll_12.17 b,,,doll_18.84 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
94,433,105,national bank of canada,canada,doll_9 b,,,doll_24.82 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
95,644,105,bank of hangzhou,china,doll_8.7 b,,,doll_13.96 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
96,731,105,industrial bank of korea,south korea,doll_9.44 b,,,doll_6.97 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
97,733,105,national bank of kuwait,kuwait,doll_3.82 b,,,doll_25.78 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
98,821,105,power grid of india,india,doll_5.61 b,,,doll_20.57 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
99,866,105,bank of ireland,ireland,doll_8.37 b,,,doll_7.83 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
100,949,105,joint stock commercial bank for foreign trade of vietnam,vietnam,doll_3.91 b,,,doll_16.94 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
101,953,105,bank of baroda,india,doll_12.06 b,,,doll_7.54 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
102,999,105,union bank of india,india,doll_11.28 b,,,doll_3.62 b,state bank of india,india,doll_54.42 b,doll_4.32 b,doll_696.51 b,doll_58.39 b
103,106,106,commonwealth bank,australia,doll_21.85 b,,,doll_130.34 b,commonwealth bank,australia,doll_21.85 b,doll_8.39 b,doll_835.97 b,doll_130.34 b
104,108,108,raytheon technologies,united states,doll_64.36 b,,,doll_149.76 b,raytheon technologies,united states,doll_64.36 b,doll_3.86 b,doll_161.4 b,doll_149.76 b
105,111,111,capital one,united states,doll_32.12 b,,,doll_54.88 b,capital one,united states,doll_32.12 b,doll_12.29 b,doll_432.38 b,doll_54.88 b
106,112,112,bristol myers squibb,united states,doll_46.38 b,,,doll_160.98 b,bristol myers squibb,united states,doll_46.38 b,doll_6.99 b,doll_109.31 b,doll_160.98 b
107,7,116,agricultural bank of china,china,doll_181.42 b,,,doll_133.38 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
108,8,116,bank of america,united states,doll_96.83 b,,,doll_303.1 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
109,12,116,bank of china,china,doll_152.43 b,,,doll_117.83 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
110,29,116,postal savings bank of china (psbc),china,doll_77.61 b,,,doll_125.53 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
111,61,116,bank of communications,china,doll_76 b,,,doll_52.82 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
112,88,116,bank of nova scotia,canada,doll_30.35 b,,,doll_80.58 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
113,105,116,state bank of india,india,doll_54.42 b,,,doll_58.39 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
114,116,116,bank of montreal,canada,doll_26.53 b,,,doll_72.74 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
115,265,116,bank of new york mellon,united states,doll_16.09 b,,,doll_35.68 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
116,294,116,bank of ningbo,china,doll_13.71 b,,,doll_37.67 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
117,353,116,bank of beijing,china,doll_19.38 b,,,doll_15.09 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
118,355,116,bank of jiangsu,china,doll_17.9 b,,,doll_17.05 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
119,389,116,bank of shanghai,china,doll_15.94 b,,,doll_14.76 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
120,423,116,bank of nanjing,china,doll_12.17 b,,,doll_18.84 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
121,433,116,national bank of canada,canada,doll_9 b,,,doll_24.82 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
122,644,116,bank of hangzhou,china,doll_8.7 b,,,doll_13.96 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
123,731,116,industrial bank of korea,south korea,doll_9.44 b,,,doll_6.97 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
124,733,116,national bank of kuwait,kuwait,doll_3.82 b,,,doll_25.78 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
125,866,116,bank of ireland,ireland,doll_8.37 b,,,doll_7.83 b,bank of montreal,canada,doll_26.53 b,doll_6.92 b,doll_804.51 b,doll_72.74 b
