_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
23311,143616,8449,bangkok chain hospital public company,thailand,,,,,doll_1.73 m,,,,,,;,bal bharati public school,,,,1992.0,,,,,education & training,,,;
115415,58417,31775,beam therapeutics,united states,,,,,doll_3.13 b,,,,,,;,bioxcel therapeutics,united states,,,,,doll_0.81 b,,,,,,;
173626,13846,45640,bhp group,australia,,,,,doll_160.50 b,,,,,['mining'],;,breville group,australia,,,,,doll_1.86 b,,,,,['homekitchenappliances'],;
179746,92621,48425,bank of shanghai,china,,,,,doll_14.76 b,doll_15.94 b,doll_3.45 b,,,,;,bank of china,china,,,,,doll_124.27 b,,,,,,;
232990,178512,57159,banco popular español,,madrid,,1926.0,,,,,financials,banks,,;,banco santander-chile,chile,,,,,doll_7.36 b,,,,,,;
242805,151240,58531,brink's company,united states,,,,,doll_3.35 b,,doll_105.0 m,,,,;,brink's,united states,,,,,doll_2.92 b,,,,,,;
264565,167959,62761,big yellow group,uk,,,,361.0,,201 million usd,,,real estate,,;,brixmor property group,,,,,500.0,doll_6.67 b,doll_1.20 b,doll_0.51 b,,,,;
276533,92655,65085,bank of nanjing,china,,,,,doll_18.84 b,doll_12.17 b,doll_2.61 b,,,,;,bank rakyat indonesia,,,,,78.952,doll_45.31 b,doll_12.67 b,doll_4.42 b,,,,;
280321,178810,65141,bank millennium,,warsaw,,1989.0,,,,,financials,banks,,;,bank of baroda,,,,,79.806,doll_11.83 b,doll_6.44 b,doll_1.64 b,,,,;
342247,114431,72941,beauty and grooming rooms ltd,,,,,,,,,,,,;,baoshan iron & steel co. ltd,china,,,,,doll_23.59 b,,,steel,basic materials,,;
357106,146230,73800,blackrock enhanced capital and income fund,united states,,,,,doll_0.95 m,,,,,,;,blackrock frontiers investment trust plc,united kingdom,,,,,doll_336.3 m,,,asset management,financials,,;
370998,65969,74695,barclays,,,,,81.6,doll_35.55 b,doll_30.30 b,doll_8.94 b,,,,;,barclays plc,united kingdom,,,,,doll_32.19 b,,,,financials,,;
419099,138674,94832,boston beer company,united states,,,,,doll_7.0 m,,,,,,;,boston scientific,united states,,,,,doll_62.63 b,doll_11.89 b,,,,,;
450695,115688,111387,bad group limited,,,,,,,,,,,,;,brantier limited,,,21acavendishcrescentsouth thepark nottingham notts ng71ed,,,,,,,,,;
470617,114730,114344,beauty box bw ltd,,,,,,,,,,,,;,beauty above (sedgley) limited,,,,,,,,,,,,;
513965,114374,114403,beauty affair ltd,,,,,,,,,,,,;,beauty & brawn ltd,,,,,,,,,,,,;
544665,114372,114444,beauty africa limited,,,,,,,,,,,,;,beauty & medical aesthetics ltd,,,,,,,,,,,,;
552675,121678,114454,boehringer ingelheim animal health uk limited,united kingdom,,,,,,,,,,,;,beauty & melody hair and spa limited,,,,,,,,,,,,;
571554,103429,114481,beauty consult deutschland,germany,,,,31.0,,doll_3.73 m,,,health,,;,beauty & style direct ltd,,,,,,,,,,,,;
579672,115687,114491,bad guy records ltd,,,,,,,,,,,,;,beauty and the beastly truth ltd,,,,,,,,,,,,;
592121,114515,114508,beauty and the button limited,,,,,,,,,,,,;,beauty & the boutique limited,,,,,,,,,,,,;
595375,115562,114512,bad boy investments limited,,,,,,,,,,,,;,beauty and the bump maternity limited,,,,,,,,,,,,;
598392,114715,114516,beauty boutique of pateley bridge ltd,,,,,,,,,,,,;,beauty and the buzz ltd,,,,,,,,,,,,;
633937,114612,114565,beauty barn training academy ltd,,,,,,,,,,,,;,beauty at heart (warrington) ltd,,,,,,,,,,,,;
634716,114663,114566,beauty birdies ltd,,,,,,,,,,,,;,beauty at hearts boutique ltd,,,,,,,,,,,,;
635314,114531,114567,beauty & wellness ltd,,,,,,,,,,,,;,beauty at heart ltd,,,,,,,,,,,,;
681328,114571,114631,beauty at megan's ltd,,,,,,,,,,,,;,beauty bazaar limited,,,,,,,,,,,,;
697436,114625,114653,beauty basics glasgow ltd,,,,,,,,,,,,;,beauty bells ltd,,,,,,,,,,,,;
699358,114379,114656,beauty alone ltd,,,,,,,,,,,,;,beauty beneath hairdressing ltd,,,,,,,,,,,,;
717334,145123,114680,borosil renewables limited,india,,,,,doll_0.53 m,,,,,,;,beauty bloc limited,,,,,,,,,,,,;
743408,69856,114716,beijing wantai biological pharmacy enterprise co. ltd,china,,,,,doll_26.80 b,,,biotechnology,healthcare,,;,beauty boutique nails and beauty bar ltd,,,,,,,,,,,,;
745713,114405,114719,beauty and boutique hull ltd,,,,,,,,,,,,;,beauty boutique yorkshire ltd,,,,,,,,,,,,;
750002,114355,114725,beauty addiction nails ltd,,,,,,,,,,,,;,beauty box birmingham ltd,,,,,,,,,,,,;
759446,74646,115092,budweiser brewing company apac ltd,hong kong,,,,,doll_34.73 b,,,,consumer staples,,;,britz health care ltd,,,,,,,,,,,,;
777986,115863,115498,bad wolf horizon ltd,,,,,,,,,,,,;,bad apple hair stratford limited,,,,,,,,,,,,;
798815,115729,115526,bad life choices ltd,,,,,,,,,,,,;,bad beez studio ltd,,,,,,,,,,,,;
799609,121528,115527,blatchford limited,united kingdom,,,,,,,,,,,;,bad beat games limited,,,,,,,,,,,,;
823239,115499,115560,bad apple projects ltd,,,,,,,,,,,,;,bad boy chilli mash limited,,,,,,,,,,,,;
826311,115599,115564,b.a.d burgers and doughnuts limited,,,,,,,,,,,,;,bad boy developments ltd,,,,,,,,,,,,;
827703,115531,115566,bad bear consulting limited,,,,,,,,,,,,;,bad boy motorz ltd,,,,,,,,,,,,;
861485,114710,115612,beauty boutique & aesthetics ltd,,,,,,,,,,,,;,bad cat barbering ltd,,,,,,,,,,,,;
963265,114466,115752,beauty and scissors ltd,,,,,,,,,,,,;,bad monkey express ltd,,,,,,,,,,,,;
994256,115512,115795,bad apples north east cic,,,,,,,,,,,,;,bad punk dog limited,,,,,,,,,,,,;
1003968,115821,115808,bad summer 95 ltd,,,,,,,,,,,,;,bad science limited,,,,,,,,,,,,;
1005359,115640,115810,bad cuckoo limited,,,,,,,,,,,,;,bad seed vintage ltd,,,,,,,,,,,,;
1168621,2961,138278,bridgelabz solutions,,,,2016.0,,,,,edtech,,,;,bright horizons family solutions,united states,,,,,doll_8.83 m,,,,,,;
1223463,153889,143209,bapcor,australia,,,,,doll_1.68 b,,doll_87.0 m,,,,;,bapcor,australia,,,,,doll_1.85 m,,,,,,;
1314140,138631,152305,baic bluepark new energy technology,china,,,,,doll_7.94 m,,,,,,;,beijing jetsen technology,china,,,,,doll_2.49 b,,0.0,,,,;
1368285,115563,166847,bad boy fireworks limited,,,,,,,,,,,,;,bmo commercial property trust limited,uk,,,,,doll_1.08 m,,184 million usd,['property investments'],,,;
1400944,150844,182687,brp group,united states,,,,,doll_3.75 b,,doll_-30.0 m,,,,;,bracco group,,milan,,1927.0,,,,,health care,pharmaceuticals,,;
