_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
3838,59189,644,compass minerals,united states,,,,,doll_1.85 b,,,,,,;,compass group support services,,,,1941.0,,,,,hospitality,,,;
33527,156278,6902,cre logistics reit,japan,,,,,doll_1.06 b,,doll_24.0 m,,,,;,coldex logistics,,,,2005.0,,,,,logistics,,,;
41670,62054,8724,carlyle group,,,,,1.85,doll_12.19 b,doll_4.01 b,doll_2.31 b,,,,;,combined group contracting,,,,1965.0,,,,,engineering & construction,,,;
78592,18456,18456,csi,united states,,,,,doll_1.59 b,,,,,,;,csi,united states,,,,,doll_1.59 b,,,,,,;
134631,92336,22961,china state construction engineering,china,,,,,doll_36.91 b,doll_205.79 b,doll_5.87 b,,,,;,china securities,china,,,,,doll_25.90 b,,,,,none,;
191809,72990,27731,china national nuclear power co. ltd,china,,,,,doll_22.42 b,,,utilities—independent power producers,utilities,,;,china tower,china,,,,,doll_19.83 b,,,,,,;
215556,9393,29271,continental carbon india,,,,2000.0,,,,,chemicals,,,;,cummins india,india,,,,,doll_4.96 b,,,,,,;
246700,30941,32977,chimera investment corporation,united states,,,,,doll_1.58 b,,,,,,;,community financial corporation,united states,,,,,doll_0.22 b,,,,,,;
254376,14609,34130,china railway group,china,,,,,doll_18.79 b,,,,,['construction'],;,china construction bank,china,,,,,doll_161.34 b,,,,,,;
314039,37766,37766,ci financial,canada,,,,,doll_1.95 b,,,,,,;,ci financial,canada,,,,,doll_1.95 b,,,,,,;
320534,66785,38565,cognizant technology solutions ,,,,,341.300,doll_32.24 b,doll_19.36 b,doll_3.03 b,,,,;,consensus cloud solutions,united states,,,,,doll_1.06 b,,,,,,;
325817,65314,39188,csb bank,,,,,4.632,doll_0.53 b,doll_0.18 b,doll_89.01 m,,,,;,camden national bank,united states,,,,,doll_610.0 m,,,,,,;
365170,22342,47815,china pacific insurance,china,,,,,doll_33.71 b,,,,,none,;,china securities,china,,,,,doll_23.90 b,,,,,[],;
378160,148101,48551,china galaxy securities,china,,,,,doll_13.03 b,,doll_1.64 b,,,,;,china tourism group duty free,china,,,,,doll_63.26 b,,,,,,;
379357,55397,48605,china mobile,china,,,,,doll_156.60 b,,,,,,;,china telecom,china,,,,,doll_53.42 b,,,,,,;
382476,153194,48835,china meheco group,china,,,,,doll_1.98 b,,doll_94.0 m,,,,;,china state construction engineering,china,,,,,doll_33.76 b,,,,,,;
386483,38179,48993,chimera investment corporation,united states,,,,,doll_1.45 b,,,,,,;,cdw corporation,united states,,,,,doll_25.99 b,,,,,,;
404588,94695,49485,china evergrande group,china,,,,,doll_2.78 b,doll_70.4 b,,,,,;,china eastern airlines,china,,,,,doll_13.47 b,,,,,,;
