_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
1138,136073,1119,edwards lifesciences corporation,united states,,,,,doll_73.04 m,,,,,,michael a mussallem;,eris lifesciences,,,,2007.0,,,,,pharma,,,;
3269,36548,2418,element solutions,united states,,,,,doll_4.48 b,,,,,,;,esds software solutions,,,,2005.0,,,,,it services & consulting,,,;
4195,8520,3458,entra solutions,,,,2015.0,,,,,financial services,,,;,e2logy software solutions,,,,2005.0,,,,,it services & consulting,,,;
7894,6207,6172,embio limited mahad raigad,,,,1986.0,,,,,pharma,,,;,embio limited mahad raigad,,,,1986.0,,,,,pharma,,,;
8469,31880,6267,esab india,india,,,,,doll_0.74 b,,,,,,;,eglo india,,,,1969.0,,,,,architecture & interior design,,,;
8575,44748,6292,esab india,india,,,,,doll_0.78 b,,,,,[],;,eglo india,,,,1969.0,,,,,architecture & interior design,,,;
9038,61609,6498,excel industries,india,,,,,doll_0.17 b,,,,,,;,excel industries,,,,1941.0,,,,,agro chemicals,,,;
9062,143766,6516,elite semiconductor memory technology,taiwan,,,,,doll_1.45 m,,,,,,;,elite powertech,,,,2012.0,,,,,power,,,;
9538,142569,6997,enghouse systems,canada,,,,,doll_2.68 m,,,,,,;,ellucian higher education systems,,,,2011.0,,,,,education & training,,,;
11602,22537,8593,eicher motors,india,,,,,doll_10.69 b,,,,,none,;,eicher polaris,,,,2012.0,,,,,automobile,,,;
13391,122137,9579,eni international resources limited,italy,,,,,,,,,,,;,endurance international group,,,,1997.0,,,,,it services & consulting,,,;
16000,57408,15355,endeavor group,united states,,,,,doll_6.15 b,,,,,,;,encore capital group,united states,,,,,doll_1.26 b,,,,,['financial services'],;
24944,179289,22924,enel,,rome,,1962.0,,,,,utilities,multiutilities,,;,enel,italy,,,,,doll_64.44 b,,,,,electricity utility-companies energy ,;
26266,23826,23826,eih limited,india,,,,,doll_1.31 b,,,,,hotels travel ,;,eih limited,india,,,,,doll_1.31 b,,,,,hotels travel ,;
