_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
26807,31985,21073,first mid-illinois bancshares,united states,,,,,doll_0.67 b,,,,,,;,first industrial realty trust,united states,,,,,doll_6.99 b,,,,,none,;
40336,35036,25501,first solar,united states,,,,,doll_16.71 b,,,,,,;,first northwest bancorp,united states,,,,,doll_0.15 b,,,,,none,;
44925,74422,27135,foshan haitian flavouring and food company ltd,china,,,,,doll_57.40 b,,,,consumer staples,,;,foshan haitian flavouring and food,china,,,,,doll_58.83 b,,,,,,;
71484,93305,35509,flex,singapore,,,,,doll_7.78 b,doll_25.46 b,doll_1.01 b,,,,;,flex,singapore,,,,,doll_10.08 b,,,,,,;
81822,38301,38844,first commonwealth financial corp,united states,,,,,doll_1.32 b,,,,,,;,first foundation,united states,,,,,doll_840.0 m,,,,,,;
85614,94892,39957,first republic bank,united states,,,,,doll_28.21 b,doll_5.53 b,,,,,;,first western financial,united states,,,,,doll_250.0 m,,,,,,;
86460,125040,40065,first help financial careers,,,,2006.0,,,,,financial services,,,;,first internet bancorp,united states,,,,,doll_220.0 m,,,,,,;
93768,142393,45629,flsmidth & co. a/s,denmark,,,,,doll_1.86 m,,,,,,;,flsmidth,denmark,,,,,doll_1.82 b,,,,,['engineering'],;
103366,62943,49738,first business financial services,,,,,333.0,doll_0.29 b,doll_0.12 b,doll_51.15 m,,,,;,fidelity national financial,united states,,,,,doll_10.33 b,,,,,,;
112608,55674,53582,first abu dhabi bank,united arab emirates,,,,,doll_47.22 b,,,,,,;,first financial,united states,,,,,doll_0.55 b,,,,,,;
128289,61142,58937,first bancorp,united states,,,,,doll_0.32 b,,,,,,;,first financial bank,united states,,,,,doll_2.23 b,,,,,,;
128972,151997,59085,flagstar bancorp,united states,,,,,doll_2.73 b,,doll_533.0 m,,,,;,flagstar bank,united states,,,,,doll_2.00 b,,,,,,;
147916,147903,64042,fidelity national financial,united states,,,,,doll_15.15 b,,doll_2.42 b,,,,raymond r quirk;,fairfax financial,,,,,15.891,doll_15.49 b,doll_24.13 b,doll_0.31 b,,,,;
153588,181005,66105,forrest group,,wavre,,1922.0,,,,,basic materials,general mining,,;,frasers group,,,,,30.0,doll_4.49 b,doll_5.89 b,doll_0.38 b,,,,;
174739,112300,72847,food & bev consulting ltd,,,,,,,,,,,,;,fubon financial holding co. ltd,taiwan,,,,,doll_27.13 b,,,insurance—life,financials,,;
190179,62059,93226,first merchants corporation,,,,,1.821,doll_2.51 b,doll_0.58 b,doll_0.22 b,,,,;,first quantum minerals,canada,,,,,doll_19.43 b,doll_8.29 b,doll_833.4 m,,,,;
192945,21749,93762,fleetcor,united states,,,,,doll_14.47 b,,,,,financial-services ,;,fleetcor technologies,united states,,,,,doll_19.51 b,doll_2.83 b,doll_839.5 m,,,,;
196110,22847,95035,formosa plastics,taiwan,,,,,doll_18.62 b,,,,,chemicals ,;,formosa chemicals,taiwan,,,,,doll_16.21 b,doll_13.1 b,,,,,;
216741,114314,112287,finance support (midlands) limited,,,,,,,,,,,,;,food alert limited,,,,,,,,,,,,;
217575,112470,112289,food bench ltd,,,,,,,,,,,,;,food alcohol express limited,,,,,,,,,,,,;
238310,112642,112330,food durham trading limited,,,,,,,,,,,,;,food & dairy engineering co limited,,,,,,,,,,,,;
263815,112326,112382,food and booze minimart limited,,,,,,,,,,,,;,food & health foods consultancy ltd,,,,,,,,,,,,;
274734,112469,112404,food be thy medicine ltd,,,,,,,,,,,,;,food and thoughts tech ltd,,,,,,,,,,,,;
297040,112485,112449,food brokerage ltd,,,,,,,,,,,,;,food at flora ltd,,,,,,,,,,,,;
311059,112260,112478,food abc ltd,,,,,,,,,,,,;,food brands ltd,,,,,,,,,,,,;
313733,112511,112483,food by sean deli & kitchen ltd,,,,,,,,,,,,;,food builders ltd,,,,,,,,,,,,;
324237,112324,112504,food & body peace ltd,,,,,,,,,,,,;,food by bien ltd,,,,,,,,,,,,;
338520,112433,112533,food aroma ltd,,,,,,,,,,,,;,food chain asia limited,,,,,,,,,,,,;
360879,112327,112579,food & curry ltd,,,,,,,,,,,,;,food containers manufacturing uk ltd,,,,,,,,,,,,;
361810,103705,112581,fao consulting,france,,,,85,,doll_7.78 m,,,technology,,;,food consulting international limited,,,,,,,,,,,,;
364296,88417,112586,foresight solar fund limited,,not found,,,not found,doll_695.0 m,,,,,,not found;,food consultancy services (uk & us) limited,,,,,,,,,,,,;
370274,112396,112598,food & snack trade ltd,,,,,,,,,,,,;,food creations events ltd,,,,,,,,,,,,;
371679,112337,112601,food & drink devon limited,,,,,,,,,,,,;,food creations ltd,,,,,,,,,,,,;
376676,112317,112611,food and beverage marketing ltd,,,,,,,,,,,,;,food delivery services ltd,,,,,,,,,,,,;
377644,112322,112613,food & chi limited,,,,,,,,,,,,;,food delivery service 123 ltd,,,,,,,,,,,,;
390357,112591,112638,food couture ltd,,,,,,,,,,,,;,food displays ltd,,,,,,,,,,,,;
390527,112297,112639,food allergy nottingham service ltd,,,,,,,,,,,,;,food 85 limited,,,,,,,,,,,,;
