_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
12019,166281,6228,gazit globe ltd,israel,,,,,doll_1.21 m,,-202 million usd,['real estate'],,,;,gujarat guardian ltd.,,,,1992.0,,,,,building material,,,;
19877,12527,12527,grammarly,united states,,,2009.0,,,,,internet software & services,,,;,grammarly,united states,,,2009.0,,,,,internet software & services,,,;
32079,148326,21404,grifols,spain,,,,,doll_11.02 b,,doll_201.0 m,,,,;,grifols,spain,,,,,doll_7.81 b,,,,,none,;
39968,156461,24709,global fashion group,singapore,,,,,doll_1.02 b,,doll_-135.0 m,,,,;,genius group,singapore,,,,,doll_14.66 m,,,,,education ,;
68902,30148,37310,group 1 automotive,united states,,,,,doll_2.80 b,,,,,,;,group 1 automotive,united states,,,,,doll_2.7 b,,,,,,;
72395,59835,38590,grupa zywiec,poland,,,,,doll_1.14 b,,,,,,;,grupa kety,poland,,,,,doll_1.04 b,,,,,,;
76261,111406,39869,g. abbott & co. limited,,,themansionhouse sheraton castleeden co durham ts274rb,,,,,,,,,;,gravity co.,s. korea,,,,,doll_290.0 m,,,,,,;
122794,181725,64610,groupe bull,,les clayes-sous-bois,,1931.0,,,,,technology,computer hardware,,;,groupe seb,,,,,33.0,doll_5.63 b,doll_9.12 b,doll_0.73 b,,,,;
135323,48599,70424,general motors,united states,,,,,doll_54.49 b,,,,,,;,general motors company,united states,,,,,doll_62.69 b,,,auto manufacturers,consumer discretionary,,;
154251,115192,74915,good bare ltd,,,,,,,,,,,,;,garmin ltd.,switzerland,,,,,doll_23.35 b,,,,technology,,;
166077,99329,97329,greyfood,germany,,,,10.0,,doll_9.19 m,,,retail,,;,greyfood,germany,,,,10.0,,doll_9.19 m,,,retail,,;
181756,181436,104183,global risk management,,middelfart,,2004.0,,,,,industrials,business support services,,;,global perspectives,uk,,,,15.0,,doll_5.97 m,,,support services,,;
195975,115099,111420,good ad ltd,,,,,,,,,,,,;,gabriel & g ltd,,,16clarendonroad borehamwood hertfordshire england wd61bh,,,,,,,,,;
201473,153030,111433,golden solar new energy technology holdings limited,china,,,,,doll_2.06 b,,0.0,,,,;,g a carter (1998) limited,,,10/12dunravenplace bridgend midglamorgan cf311jd,,,,,,,,,;
206993,115468,111448,good day overseas services (uk) limited,,,,,,,,,,,,;,g a communications uk ltd.,,,leonardcurtishouseelmssquare burynewroad whitefield manchester m457ta,,,,,,,,,;
207549,123551,111450,google uk limited,united kingdom,,,,,,,,,,,;,g a construction bath limited,,,1northparadepassage bath somerset england ba11nx,,,,,,,,,;
236135,115194,115107,good beans ltd,,,,,,,,,,,,;,good african brand ltd,,,,,,,,,,,,;
259086,115190,115150,good bargain traders ltd,,,,,,,,,,,,;,good & trusted legal services ltd,,,,,,,,,,,,;
260509,115138,115153,good & proper tea co ltd,,,,,,,,,,,,;,good appearance ltd,,,,,,,,,,,,;
273848,115334,115177,good chef (cardiff) ltd,,,,,,,,,,,,;,good attitude ltd,,,,,,,,,,,,;
274757,115201,115179,good bee projects ltd,,,,,,,,,,,,;,good as new windscreens ltd,,,,,,,,,,,,;
277820,115152,115185,good & young ltd,,,,,,,,,,,,;,good baby pte. ltd,,,,,,,,,,,,;
280178,115436,115189,good cop limited,,,,,,,,,,,,;,good balance limited,,,,,,,,,,,,;
281386,115129,115192,good and fair shop ltd,,,,,,,,,,,,;,good bare ltd,,,,,,,,,,,,;
285137,115184,115199,good barbers ltd,,,,,,,,,,,,;,good beauty guide limited,,,,,,,,,,,,;
297979,111380,115224,g t solutions limited,,,117raggedstaffwharf queenswayquay gibraltar gibraltar gx111aa,,,,,,,,,;,good books (farnham) limited,,,,,,,,,,,,;
302780,115126,115233,good and fine limited,,,,,,,,,,,,;,good boy group ltd,,,,,,,,,,,,;
305429,72739,115238,great wall motor co ltd,china,,,,,doll_32.01 b,,,auto manufacturers,consumer discretionary,,;,good brands for good people ltd,,,,,,,,,,,,;
312310,115384,115251,good clic limited,,,,,,,,,,,,;,good bubble limited,,,,,,,,,,,,;
322171,115238,115270,good brands for good people ltd,,,,,,,,,,,,;,good business solutions ltd,,,,,,,,,,,,;
341032,115402,115306,good companions student living limited,,,,,,,,,,,,;,good care derby limited,,,,,,,,,,,,;
370506,115279,115364,good by design limited,,,,,,,,,,,,;,good choice trading ltd,,,,,,,,,,,,;
378753,115390,115380,good commerce media ltd,,,,,,,,,,,,;,good cleaning services limited,,,,,,,,,,,,;
390261,115324,115402,good cause services ltd,,,,,,,,,,,,;,good companions student living limited,,,,,,,,,,,,;
390945,115435,115403,good cook inn limited,,,,,,,,,,,,;,good company creative ltd,,,,,,,,,,,,;
401143,115243,115421,good brew media ltd,,,,,,,,,,,,;,good construction ltd,,,,,,,,,,,,;
401855,115453,115422,good cycle ltd,,,,,,,,,,,,;,good construct cristi limited,,,,,,,,,,,,;
406132,115274,115430,good business sustainability ltd,,,,,,,,,,,,;,g.o.o.d consulting limited,,,,,,,,,,,,;
417117,115434,115452,good cop bad cop ltd,,,,,,,,,,,,;,good craic limited,,,,,,,,,,,,;
421603,115276,115461,good buy stores limited,,,,,,,,,,,,;,good day coffee ltd,,,,,,,,,,,,;
422008,115189,115462,good balance limited,,,,,,,,,,,,;,good day care homes ltd,,,,,,,,,,,,;
430526,121895,119605,global x management company llc,united states,,,,,,,,,,,;,gcp asset management (uk) ltd,united kingdom,,,,,,,,,,,;
439291,68140,121070,global partners lp,,,,,2.43,doll_1.10 b,doll_10.69 b,doll_0.33 b,,,,;,global aware international group limited,united kingdom,,,,,,,,,,,;
462902,111458,135712,g a cooper properties 2020 limited,,,24chimesquare st.albans england al35jz,,,,,,,,,;,ganglong china property group limited,china,,,,,,,,real estate,,,;
469556,28341,138012,galp energia,portugal,,,,,doll_10.29 b,,,,,,;,galp energia sgps,portugal,,,,,doll_8.6 m,,,,,,;
492911,51213,142420,g-bits network technology ,china,,,,,doll_3.45 b,,,,,,;,guangdong dowstone technology,china,,,,,doll_2.35 m,,,,,,;
505183,54149,144513,green plains partners,united states,,,,,doll_0.28 b,,,,,,;,green brick partners,united states,,,,,doll_1.27 m,,,,,,;
531673,153556,150308,guangzhou sie consulting,china,,,,,doll_1.81 b,,0.0,,,,;,guangzhou rural commercial bank,china,,,,,doll_4.43 b,,doll_327.0 m,,,,;
548599,64368,153175,grupo elektra,,,,,72.87,doll_12.88 b,doll_7.91 b,-doll_0.28 b,,,,;,grupo comercial chedraui,mexico,,,,,doll_1.99 b,,doll_172.0 m,,,,;
584916,56584,178554,grupo elektra,mexico,,,,,doll_12.51 b,,,,,,;,grupo antolin,,burgos,,1950.0,,,,,consumer goods,auto parts,,;
