_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
6867,17,2568,hdb financial services,,,,2007.0,,,,,nbfc,,,;,hofincons infotech & industrial services,,,,0.0,,,,,industrial machinery,,,;
26763,141359,19589,haemonetics corporation,united states,,,,,doll_3.2 m,,,,,,;,howard hughes corporation,united states,,,,,doll_4.03 b,,,,,['real estate'],;
32669,74941,22624,hewlett packard enterprise company,united states,,,,,doll_22.65 b,,,,technology,,;,hewlett packard enterprise,united states,,,,,doll_20.85 b,,,,,tech networking-hardware ,;
44073,65049,28321,hana financial group,,,,,,doll_12.39 b,doll_9.05 b,doll_4.00 b,,,,;,hua nan financial holdings,taiwan,,,,,doll_10.45 b,,,,,,;
44759,113315,28780,h a l holdings ltd,,,,,,,,,,,,;,hankyu hanshin holdings,japan,,,,,doll_6.99 b,,,,,,;
46409,113468,29493,h and a enterprise holdings limited,,,,,,,,,,,,;,herc holdings,united states,,,,,doll_4.32 b,,,,,,;
52715,119817,32677,hcc international insurance company plc,united kingdom,,,,,,,,,,,;,hallador energy company,united states,,,,,doll_0.32 b,,,,,,;
57294,92984,35103,huatai securities,china,,,,,doll_12.74 b,doll_6.04 b,doll_2.06 b,,,,;,huatai securities,china,,,,,doll_15.33 b,,,,,,;
68318,54538,40339,hive blockchain technologies,canada,,,,,doll_0.16 b,,,,,,;,hive blockchain technologies,canada,,,,,doll_150.0 m,,,,,,;
68920,33934,41085,hallmark financial services,united states,,,,,doll_12.22 m,,,,,,;,hallmark financial services,united states,,,,,doll_10.65 m,,,,,,;
71789,62565,43688,hurco companies,,,,,706.0,doll_0.18 b,doll_0.25 b,doll_11.87 m,,,,;,hurco companies,united states,,,,,doll_0.16 b,,,,,[],;
100091,68169,60832,helios technologies,,,,,2.35,doll_1.72 b,doll_0.90 b,doll_0.14 b,,,,;,hudson technologies,united states,,,,,doll_0.45 b,,,,,,;
100627,54321,61018,hindustan oil exploration company,india,,,,,doll_0.22 b,,,,,,;,hindustan construction company,india,,,,,doll_0.36 b,,,,,,;
101513,61364,61364,hyderabad industries limited,india,,,,,doll_0.24 b,,,,,,;,hyderabad industries limited,india,,,,,doll_0.24 b,,,,,,;
106752,23950,63887,helix energy solutions,united states,,,,,doll_1.21 b,,,,,oil-gas-equipment-services oil-gas energy ,;,holly energy partners,,,,,,doll_2.42 b,doll_0.52 b,doll_0.20 b,,,,;
112827,146629,66682,hsbc holdings,uk,,,,,doll_132.94 b,,doll_12.61 b,,,,noel quinn;,hsbc,,,,,219.697,doll_144.37 b,doll_55.99 b,doll_14.98 b,,,,;
136206,113622,74249,h & a property and investments limited,,,,,,,,,,,,;,hdfc bank limited,india,,,,,doll_115.68 b,,,,financials,,;
137074,113359,74485,h a manchester ltd,,,,,,,,,,,,;,hitachi ltd,japan,,,,,doll_48.92 b,,,,industrials,,;
159501,120152,113094,heathrow airport limited,united kingdom,,,,,,,,,,,;,habit h limited,,,,,,,,,,,,;
170964,113316,113173,h a lettings ltd,,,,,,,,,,,,;,h a c s engineering limited,,,,,,,,,,,,;
182874,113402,113281,h & a bella limited,,,,,,,,,,,,;,h aistrop & sons limited,,,,,,,,,,,,;
185435,113189,113289,h adenwalla & co limited,,,,,,,,,,,,;,haideh h consultancy limited,,,,,,,,,,,,;
187345,74485,113314,hitachi ltd,japan,,,,,doll_48.92 b,,,,industrials,,;,h a k consultancy ltd,,,,,,,,,,,,;
189396,113406,113319,h & a bespoke metalwork limited,,,,,,,,,,,,;,h. ali consultancy ltd,,,,,,,,,,,,;
190817,113358,113324,h a marks homes ltd,,,,,,,,,,,,;,h alissa ltd,,,,,,,,,,,,;
198124,113405,113364,h & a buchan ltd,,,,,,,,,,,,;,h a murphy ltd.,,,,,,,,,,,,;
209098,113673,113460,h & a traders limited,,,,,,,,,,,,;,h & a developments ltd,,,,,,,,,,,,;
209113,113755,113460,h & b associates limited,,,,,,,,,,,,;,h & a developments ltd,,,,,,,,,,,,;
216757,113594,113506,h and a optical group limited,,,,,,,,,,,,;,h & a it trading limited,,,,,,,,,,,,;
219096,113463,113513,h & a corporation ltd,,,,,,,,,,,,;,h & a locum ltd,,,,,,,,,,,,;
229314,113467,113618,h & a entertainments ltd,,,,,,,,,,,,;,h & a property investment ltd,,,,,,,,,,,,;
231037,113622,113623,h & a property and investments limited,,,,,,,,,,,,;,h & a properties mangement ltd,,,,,,,,,,,,;
238756,113359,113670,h a manchester ltd,,,,,,,,,,,,;,h & a truck holdings ltd,,,,,,,,,,,,;
241312,119865,113732,hutchison 3g uk limited,united kingdom,,,,,,,,,,,;,h & a vehicle services limited,,,,,,,,,,,,;
241717,113758,113733,h & b builders & decorators limited,,,,,,,,,,,,;,h & a transport services ltd,,,,,,,,,,,,;
257754,120444,113973,hozelock group limited,united kingdom,,,,,,,,,,,;,h & b d logistics limited,,,,,,,,,,,,;
257903,113142,113974,h a company investment limited,,,,,,,,,,,,;,h and b developments ltd,,,,,,,,,,,,;
266912,46398,119929,herc holdings,united states,,,,,doll_3.75 b,,,,,['rentalleasingservices'],;,hsbc holdings plc,united kingdom,,,,,,,,,,,;
282779,113760,122598,h & b care limited,,,,,,,,,,,,;,heathrow (ah) limited,united kingdom,,,,,,,,,,,;
311192,5841,138805,hansa research group,,,,1983.0,,,,,analytics & kpo,,,;,hengan international group company,china,,,,,doll_6.75 m,,,,,,;
311659,4641,138867,heavy engineering corporation,,,,1958.0,,,,,engineering & construction,,,;,hanwha chemical corporation,south korea,,,,,doll_6.54 m,,,,,,;
334866,94056,143114,hubei biocause pharmaceutical,china,,,,,doll_2.41 b,doll_6.52 b,doll_54.9 m,,,,;,hybio pharmaceutical,china,,,,,doll_0.74 m,,,,,,;
342454,156130,144464,huron consulting group,united states,,,,,doll_1.09 b,,doll_62.0 m,,,,;,healthcare services group,united states,,,,,doll_1.96 m,,,,,,;
347964,142611,145459,hunan gold corporation,china,,,,,doll_2.42 m,,,,,,;,hwa create corporation,china,,,,,doll_0.94 m,,,,,,;
354638,113637,146321,h and a 71 limited,,,,,,,,,,,,;,home first finance company india limited,india,,,,,doll_0.7 m,,,,,,;
377206,139986,150666,hefei meyer optoelectronic technology,china,,,,,doll_4.29 m,,,,,,;,hefei meyer optoelectronic technology,china,,,,,doll_3.92 b,,doll_74.0 m,,,,;
378278,12188,151124,huaqin telecom technology,china,,,2005.0,,,,,mobile & telecommunications,,,;,hangjin technology,china,,,,,doll_3.46 b,,doll_107.0 m,,,,;
388061,113323,153016,h a l property limited,,,,,,,,,,,,;,hipgnosis songs fund limited,uk guernsey,,,,,doll_2.07 b,,doll_-19.0 m,,,,;
389964,65185,153293,hinduja global solutions,,,,,21.608,doll_0.85 b,doll_0.48 b,doll_39.07 m,,,,;,hillman solutions corp.,united states,,,,,doll_1.93 b,,doll_-38.0 m,,,,;
395222,143631,154311,huaihe energy (group),china,,,,,doll_1.36 m,,,,,,;,huaihe energy (group),china,,,,,doll_1.52 b,,0.0,,,,;
