_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
597,36288,58,indian hotels company,india,,,,,doll_5.33 b,,,,,,;,indian army,,,,1895.0,,,,,defence & aerospace,,,;
7761,28920,2964,indian railway catering & tourism,india,,,,,doll_6.30 b,,,,,,;,indian public school,,,,2004.0,,,,,education & training,,,;
10737,120125,4225,ice data services europe limited,united kingdom,,,,,,,,,,,;,international certification services,,,,1999.0,,,,,other,,,;
13546,2177,4892,indostar capital finance,,,,2011.0,,,,,nbfc,,,;,idbi capital,,,,1993.0,,,,,financial services,,,;
21589,9050,9050,imperial electric company,,,,2011.0,,,,,engineering & construction,,,;,imperial electric company,,,,2011.0,,,,,engineering & construction,,,;
23780,11562,13585,inari,united states,,,2016.0,,,,,other,,,;,inari,united states,,,,,,,,other,,,;
32613,131961,21260,israel canada (t.r) ltd,israel,,,,,,,175 million usd,real estate,,,;,israel discount bank,israel,,,,,doll_6.56 b,,,,,none,;
39207,32510,25320,india tourism development corp,india,,,,,doll_0.36 b,,,,,,;,india nippon electricals,india,,,,,doll_0.10 b,,,,,electronics ,;
40426,8745,26165,ibibo group,,,,2007.0,,,,,internet,,,;,information services group,united states,,,,,doll_0.25 b,,,,,professional-services ,;
46226,36784,29367,itv plc,uk,,,,,doll_3.81 b,,,,,,;,imi plc,uk,,,,,doll_4.68 b,,,,,,;
50789,37962,31630,international seaways,united states,,,,,doll_1.69 b,,,,,,;,international money express,united states,,,,,doll_0.87 b,,,,,,;
53347,32510,33399,india tourism development corp,india,,,,,doll_0.36 b,,,,,,;,india motor parts and accessories,india,,,,,doll_0.10 b,,,,,,;
59471,57836,36678,intermediate capital group (icg),uk,,,,,doll_4.62 b,,,,,,;,intermediate capital group (icg),uk,,,,,doll_4.12 b,,,,,,;
59654,29572,36762,ig group,uk,,,,,doll_4.06 b,,,,,,;,ig group,uk,,,,,doll_3.89 b,,,,,,;
60955,157072,37399,immunovant,united states,,,,,doll_919.0 m,,doll_-156.0 m,,,,;,immunovant,united states,,,,,doll_2.54 b,,,,,,;
62881,3632,38441,indian steel corporation,,,,2004.0,,,,,iron & steel,,,;,indian telephone industries,india,,,,,doll_1.18 b,,,,,,;
66911,59135,41535,international seaways,united states,,,,,doll_1.91 b,,,,,,;,international paper,united states,,,,,doll_12.85 b,,,,,['pulpandpaper'],;
74540,50457,49488,indian hotels company,india,,,,,doll_5.75 b,,,,,,;,indian oil,india,,,,,doll_13.39 b,,,,,,;
75213,8745,49696,ibibo group,,,,2007.0,,,,,internet,,,;,intercontinental hotels group,uk,,,,,doll_10.79 b,,,,,,;
77640,66627,50677,international distributions services (royal mail),,,,,179.049,doll_2.68 b,doll_16.70 b,doll_0.86 b,,,,;,international game technology,uk,,,,,doll_4.98 b,,,,,,;
89072,4892,57836,idbi capital,,,,1993.0,,,,,financial services,,,;,intermediate capital group (icg),uk,,,,,doll_4.62 b,,,,,,;
100437,36541,65153,idfc first bank,india,,,,,doll_4.49 b,,,,,,;,indian bank,,,,,39.734,doll_4.41 b,doll_3.22 b,doll_0.68 b,,,,;
101575,43696,65207,indian metals & ferro alloys,india,,,,,doll_0.17 b,,,,,[],;,indian hotels company,,,,,15.135,doll_5.33 b,doll_0.55 b,doll_0.11 b,,,,;
101797,135202,65315,indiabulls real estate,india,,,,,,,-17 million usd,real estate,,,;,indiabulls housing finance,,,,,4.603,doll_0.81 b,doll_0.35 b,doll_0.20 b,,,,;
107897,16798,66571,information services group,united states,,,,,doll_0.24 b,,,,,['professional services'],;,international distributions services (royal mail),,,,,179.049,doll_2.68 b,doll_16.70 b,doll_0.86 b,,,,;
109322,2133,66981,international game technology,,,,1990.0,,,,,gaming,,,;,international paper,,,,,38.0,doll_13.28 b,doll_18.69 b,doll_0.44 b,,,,;
109929,143207,67461,itoham yonekyu holdings,japan,,,,,doll_1.96 m,,,,,,;,integer holdings,,,,,9.0,doll_2.44 b,doll_1.31 b,doll_77.49 m,,,,;
