_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
1347,64964,950,jianzhi education technology group,,,,,95.0,doll_0.13 b,doll_66.25 m,doll_12.9 m,,,,;,jacobs engineering group,,,,1947.0,,,,,engineering & construction,,,;
2433,92631,2396,johnson controls international,ireland,,,,,doll_44.22 b,doll_24.19 b,doll_1.57 b,,,,;,johnson controls hitachi air conditioning,,,,0.0,,,,,consumer electronics & appliances,,,;
4253,146418,5668,john hancock financial opportunities fund,united states,,,,,doll_0.83 m,,,,,,;,john deere financial,,,,1837.0,,,,,nbfc,,,;
5148,66774,6906,john wood group,,,,,33.1,doll_1.32 b,doll_6.40 b,-doll_80.6 m,,,,;,john distilleries,,,,1996.0,,,,,beverage,,,;
6190,39844,8506,jaypee group,india,,,,,doll_300.0 m,,,,,,;,jp group,,,,2010.0,,,,,engineering & construction,,,;
9129,7491,18057,jivo wellness,,,,2008.0,,,,,fmcg,,,;,jamieson wellness,canada,,,,,doll_1.10 b,,,,,['dietary supplements'],;
10130,155270,21148,japan petroleum exploration,japan,,,,,doll_1.29 b,,doll_-226.0 m,,,,;,japan real estate investment,japan,,,,,doll_6.01 b,,,,,real-estate investment ,;
10550,92632,21518,jbs,brazil,,,,,doll_17.48 b,doll_64.99 b,doll_3.8 b,,,,;,jbs,brazil,,,,,doll_9.33 b,,,,,food ,;
12390,4883,23789,john energy,,,,1987.0,,,,,oil & gas,,,;,john wood group,united-kingdom,,,,,doll_1.26 b,,,,,professional-services engineering ,;
12700,52387,24043,janus international group,united states,,,,,doll_1.52 b,,,,,,;,janus international group,united states,,,,,doll_1.53 b,,,,,manufacturing ,;
15197,27463,28503,japan post holdings,japan,,,,,doll_30.14 b,,,,,,;,japan airlines,japan,,,,,doll_8.72 b,,,,,,;
15263,143305,28503,japan material,japan,,,,,doll_1.18 m,,,,,,;,japan airlines,japan,,,,,doll_8.72 b,,,,,,;
18940,96861,34599,japan securities,japan,,,1927.0,272,,doll_274 m,,business services & supplies,,,minoru masubuchi;,japan post bank,japan,,,,,doll_31.74 b,,,,,,;
21411,88418,38202,jlen environmental assets group limited,,not found,,,not found,doll_691.5 m,,,,,,not found;,janus international group,united states,,,,,doll_1.42 b,,,,,,;
24329,66718,45413,john wood group,,,,,33.1,doll_1.32 b,doll_6.40 b,-doll_80.6 m,,,,;,janus international group,united states,,,,,doll_1.51 b,,,,,['manufacturing'],;
25456,148284,48782,japan exchange group,japan,,,,,doll_11.36 b,,doll_365.0 m,,,,;,japan tobacco,japan,,,,,doll_36.99 b,,,,,,;
27055,57243,50342,japan post insurance,japan,,,,,doll_6.90 b,,,,,,;,japan post insurance,japan,,,,,doll_6.25 b,,,,,,;
27575,64630,50996,jcdecaux,,,,,10.72,doll_4.87 b,doll_2.85 b,-doll_66.48 m,,,,;,jcdecaux,france,,,,,doll_3.99 b,,,,,,;
