_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
2555,98361,1735,lsg - logistic & service group,italy,,,,46.0,,doll_8.87 m,,,transport,,;,larsen & toubro group,,,,0.0,,,,,engineering & construction,,,;
3704,132872,2607,latitude group holdings limited,australia,,,,,,,118 million usd,financial services,,,;,lulu group international,,,,1966.0,,,,,retail,,,;
17449,12868,22471,lattice,united states,,,,,,,,internet software & services,,,;,lattice semiconductor,united states,,,,,doll_10.15 b,,,,,semiconductors tech tech-hardware manufacturing ,;
17832,181590,22571,lemminkäinen group,,helsinki,,1910.0,,,,,industrials,heavy construction,,;,longfor group,china,,,,,doll_19.30 b,,,,,none,;
18889,150773,23680,lci industries,united states,,,,,doll_3.85 b,,doll_287.0 m,,,,;,lsb industries,united states,,,,,doll_1.04 b,,,,,chemicals ,;
21442,147991,25891,lpl financial holdings,united states,,,,,doll_14.22 b,,doll_459.0 m,,,,dan arnold;,liberty tripadvisor holdings,united states,,,,,doll_0.18 b,,,,,none,;
26815,29250,29865,lhc group,united states,,,,,doll_5.05 b,,,,,,;,life time group,united states,,,,,doll_3.36 b,,,,,,;
37700,62814,38633,lemaitre vascular,,,,,450.0,doll_1.01 b,doll_0.16 b,doll_27.59 m,,,,;,lemaitre vascular,united states,,,,,doll_1.0 b,,,,,,;
41062,39958,42713,landec,united states,,,,,doll_250.0 m,,,,,,;,landec,united states,,,,,doll_0.25 b,,,,,['food'],;
43684,137200,47065,lg household & health care,south korea,,,,,doll_22.28 m,,,,,,suk cha;,lg household & health care,south korea,,,,,doll_7.67 b,,,,,['consumergoods'],;
46697,62260,49422,lindsay corporation,,,,,1.262,doll_1.75 b,doll_0.78 b,doll_0.10 b,,,,;,lkq corporation,united states,,,,,doll_14.37 b,,,,,,;
47356,1597,49795,lenovo,,,,2005.0,,,,,consumer electronics & appliances,,,;,lenovo,hong kong,,,,,doll_9.92 b,,,,,,;
47621,28502,49881,life storage,united states,,,,,doll_8.73 b,,,,,,;,life storage,united states,,,,,doll_9.10 b,,,,,,;
48087,66704,50364,lloyds banking group,,,,,57.955,doll_40.54 b,doll_21.51 b,doll_7.59 b,,,,;,lodha group,india,,,,,doll_6.16 b,,,,,,;
49683,150746,51370,lion corporation,japan,,,,,doll_3.87 b,,doll_173.0 m,,,,;,lion corp,japan,,,,,doll_3.08 b,,,,,,;
50197,62273,52219,legalzoom,,,,,1.218,doll_1.59 b,doll_0.61 b,-doll_73.39 m,,,,;,legalzoom,united states,,,,,doll_1.71 b,,,,,,;
53629,14197,55799,lg chem,south korea,,,,,doll_40.41 b,,,,,['chemicals'],;,lg chem,south korea,,,,,doll_37.27 b,,,,,,;
58344,46693,59132,lotte chemical,south korea,,,,,doll_5.05 b,,,,,['chemicals'],;,lotte corporation,south korea,,,,,doll_1.91 b,,,,,,;
59460,63777,60506,lmp automotive holdings,,,,,17.0,doll_81.81 m,doll_0.31 b,doll_1.17 m,,,,;,lexinfintech holdings,china,,,,,doll_0.63 b,,,,,,;
