_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
1106,8804,1459,openview technologies,,,,1996.0,,,,,it services & consulting,,,;,orient technologies,,,,1992.0,,,,,electrical equipment,,,;
1429,53314,2482,orient electric,india,,,,,doll_0.70 b,,,,,,;,orient bell,,,,1977.0,,,,,building material,,,;
1463,7875,2495,ocs services,,,,1984.0,,,,,oil & gas,,,;,orix auto infrastructure services,,,,1995.0,,,,,logistics,,,;
2789,1526,5290,orient electric,,,,1954.0,,,,,other,,,;,orient paper mill,,,,1939.0,,,,,pulp & paper,,,;
7156,102160,16592,oxford summer courses,united kingdom,,,,12.0,,doll_5.3 m,,,education,,;,oxford square capital,united states,,,,,doll_0.17 b,,,,,['investment'],;
7510,45026,17645,outset medical,united states,,,,,doll_1.03 b,,,,,['medicaldevices'],;,orthofix medical,united states,,,,,doll_0.73 b,,,,,,;
9072,28949,21188,oshkosh corporation,united states,,,,,doll_6.19 b,,,,,,;,oshkosh corporation,united states,,,,,doll_6.16 b,,,,,none,;
10437,31437,23464,odontoprev,brazil,,,,,doll_1.08 b,,,,,,;,odontoprev,brazil,,,,,doll_1.10 b,,,,,none,;
11073,39569,24651,orchid island capital,united states,,,,,doll_410.0 m,,,,,,;,oxford square capital,united states,,,,,doll_0.17 b,,,,,investment ,;
13517,55651,27180,o'reilly automotive,united states,,,,,doll_49.64 b,,,,,,;,o'reilly automotive,united states,,,,,doll_51.02 b,,,,,,;
13762,30046,27631,oil india,india,,,,,doll_3.00 b,,,,,,;,oil & natural gas,india,,,,,doll_22.85 b,,,,,,;
15745,25647,30433,orion office reit,united states,,,,,doll_0.50 b,,,,,real-estate investment reit ,;,office depot,united states,,,,,doll_2.33 b,,,,,,;
16039,61333,31217,orrstown financial services,united states,,,,,doll_0.25 b,,,,,,;,oceanfirst financial,united states,,,,,doll_1.30 b,,,,,,;
17317,54398,32625,outlook therapeutics,united states,,,,,doll_0.20 b,,,,,,;,outlook therapeutics,united states,,,,,doll_0.34 b,,,,,,;
18090,43580,33288,oconee federal financial,united states,,,,,doll_0.13 b,,,,,['financialservices'],;,oconee federal financial,united states,,,,,doll_0.14 b,,,,,,;
19194,50389,35038,otsuka,japan,,,,,doll_6.03 b,,,,,,;,otsuka holdings,japan,,,,,doll_16.69 b,,,,,,;
22828,39963,39963,organigram holdings,canada,,,,,doll_250.0 m,,,,,,;,organigram holdings,canada,,,,,doll_250.0 m,,,,,,;
23101,4542,40266,oriental bank of commerce,,,,1943.0,,,,,banking,,,;,oriental aromatics,india,,,,,doll_170.0 m,,,,,,;
23615,55006,40801,oncocyte,united states,,,,,doll_49.83 m,,,,,,;,oncocyte,united states,,,,,doll_46.04 m,,,,,,;
23974,93429,41407,olympus,japan,,,,,doll_23.96 b,doll_7.71 b,doll_901.9 m,,,,;,olympus,japan,,,,,doll_24.55 b,,,,,[],;
27685,36097,50487,on holding,switzerland,,,,,doll_6.04 b,,,,,,;,on holding,switzerland,,,,,doll_5.63 b,,,,,,;
27950,36573,50772,odakyu electric railway,japan,,,,,doll_4.43 b,,,,,,;,odakyu electric railway,japan,,,,,doll_4.65 b,,,,,,;
28939,54032,53314,orient cement,india,,,,,doll_0.33 b,,,,,,;,orient electric,india,,,,,doll_0.70 b,,,,,,;
