_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
838,70787,232,riyad bank,saudi arabia,,,,,doll_29.86 b,,,banks,financials,,;,rbl bank,,,,1943.0,,,,,banking,,,;
5951,117862,3468,r a bennett limited,,,,,,,,,,,,;,r l fine chem,,,,1984.0,,,,,healthcare,,,;
8602,61232,5566,ranger energy services,united states,,,,,doll_0.28 b,,,,,,;,renom energy services,,,,0.0,,,,,oil & gas,,,;
17728,8276,13775,remsons industries,,,,1959.0,,,,,auto components,,,;,reliance industries,india,,,,,doll_226.23 b,,,,,['conglomerate'],;
24468,66488,21644,rolls-royce holdings,,,,,44.0,doll_11.07 b,doll_15.14 b,-doll_0.4 b,,,,;,resona holdings,japan,,,,,doll_12.99 b,,,,,banks financial-services ,;
25281,94810,22063,raymond james financial,united states,,,,,doll_21.49 b,doll_10.43 b,,,,,;,raymond james,united states,,,,,doll_25.17 b,,,,,none,;
26474,135874,23110,roche holding ag,switzerland,,,,,doll_3.51 b,,,,,,christoph franz;,roche,switzerland,,,,,doll_263.16 b,,,,,pharmaceuticals biotech ,;
36248,117824,29372,r a adhesive products limited,,,,,,,,,,,,;,remgro limited,south africa,,,,,doll_4.65 b,,,,,,;
39666,26658,31999,redfin,united states,,,,,doll_0.68 b,,,,,real-estate internet tech ,;,redfin,united states,,,,,doll_0.66 b,,,,,,;
53891,40808,40808,renren,china,,,,,doll_45.35 m,,,,,,;,renren,china,,,,,doll_45.35 m,,,,,,;
54809,62067,41783,radian group,,,,,1.8,doll_3.09 b,doll_1.21 b,doll_1.07 b,,,,;,rtl group,luxembourg,,,,,doll_6.39 b,,,,,[],;
61287,35445,49708,ryan specialty group,united states,,,,,doll_10.67 b,,,,,,;,ryan specialty group,united states,,,,,doll_10.69 b,,,,,,;
