_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
10947,58548,897,sumitomo chemical india,india,,,,,doll_2.89 b,,,,,,;,sykes business services of india,,,,1977,,,,,bpo,,,;
28593,52641,2697,skycity entertainment group,new zealand,,,,,doll_1.26 b,,,,,,;,smaaash entertainment,,,,2009,,,,,sports & recreation,,,;
36899,174785,3478,sanne group,uk,,,1988.0,,,234 million usd,,['asset management'],,,not found;,sar group,,,,1988,,,,,facility management services,,,;
38499,2202,3647,sns college of technology,,,,0.0,,,,,education & training,,,;,sahajanand laser technology,,,,1989,,,,,industrial machinery,,,;
60018,11634,5308,sms assist,united states,,,1999.0,,,,,internet software & services,,,;,sms group,,,,1871,,,,,industrial machinery,,,;
88082,151953,7949,stepan company,united states,,,,,doll_2.76 b,,doll_137.0 m,,,,;,sterling manufacturing company,,,,0,,,,,,,,;
89529,101518,8052,sarathy geotech & engineering services,india,,,,90,,doll_3.78 m,,,technology,,;,sacha engineering,,,,0,,,,,automobile,,,;
114050,65736,9618,standard bank group,,,,,49.0,doll_16.97 b,doll_8.35 b,doll_2.40 b,,,,;,special protection group,,,,1985,,,,,government,,,;
255519,182365,30360,santorini brewing company,,santorini,,2011.0,,,,,consumer goods,beverages,,;,st. joe company,united states,,,,,doll_2.45 b,,,,,,;
258967,111987,30925,software co-operative limited,,,,,,,,,,,,;,sanofi india limited,india,,,,,doll_1.60 b,,,,,,;
330639,121402,38159,state street hcl holdings (uk) limited,united kingdom,,,,,,,,,,,;,sixth street specialty lending,united states,,,,,doll_1.46 b,,,,,,;
406421,93056,49656,sumitomo electric,japan,,,,,doll_8.61 b,doll_29.99 b,doll_964.5 m,,,,;,sumitomo mitsui trust holdings,japan,,,,,doll_11.28 b,,,,,,;
545319,103214,65131,secret arts of spirits,france,,,,5,,doll_1.71 m,,,retail,,;,state bank of india,,,,,244.25,doll_66.23 b,doll_29.36 b,doll_7.39 b,,,,;
730291,152327,75074,shenzhen international holdings,hong kong,,,,,doll_2.47 b,,doll_454.0 m,,,,;,shenzhou international group holdings ltd,hong kong,,,,,doll_19.50 b,,,,consumer discretionary,,;
