_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
2188,5314,296,tata sikorsky aerospace,,,,2008.0,,,,,defence & aerospace,,,;,tata technologies,,,,1989.0,,,,,it services & consulting,,,;
107487,121743,14714,the automobile association limited,united kingdom,,,,,,,,,,,;,the mosaic company,united states,,,,,doll_16.78 b,,,,,['fertilizer companies'],;
118647,69362,17189,the southern company,united states,,,,,doll_78.38 b,,,utilities—regulated electric,utilities,,;,the manitowoc company,united states,,,,,doll_0.41 b,,,,,['manufacturing'],;
131488,20427,19549,toyo suisan,japan,,,,,doll_3.92 b,,,,,food ,;,toyo suisan,japan,,,,,doll_3.93 b,,,,,['food'],;
156871,92374,23461,truist financial,united states,,,,,doll_67.64 b,doll_23.19 b,doll_6.44 b,,,,;,tompkins financial,united states,,,,,doll_1.10 b,,,,,financial-services banks ,;
249463,25511,33258,the realreal,united states,,,,,doll_0.15 b,,,,,e-commerce internet recommerce tech ,;,the realreal,united states,,,,,doll_0.14 b,,,,,,;
393833,70609,54137,the bank of new york mellon corporation,united states,,,,,doll_40.83 b,,,asset management,financials,,;,the honest company,united states,,,,,doll_0.28 b,,,,,,;
450305,30575,60773,tri pointe group,united states,,,,,doll_2.09 b,,,,,,;,the rmr group,united states,,,,,doll_0.48 b,,,,,,;
460083,113116,61425,the lash brand by t ltd,,,,,,,,,,,,;,the one group hospitality,united states,,,,,doll_0.22 b,,,,,,;
540853,117231,69804,t. allen alloys ltd,,,,,,,,,,,,;,tongwei co. ltd,china,,,,,doll_29.10 b,,,farm products,consumer staples,,;
618567,38279,73146,the beauty health company,united states,,,,,doll_1.34 b,,,,,,;,the liberty siriusxm group,united states,,,,,doll_18.74 b,,,broadcasting,communication services,,;
645531,52714,73986,the greenbrier companies,united states,,,,,doll_1.17 b,,,,,,;,the character group plc,united kingdom,,,,,doll_163.7 m,,,leisure,consumer discretionary,,;
780459,117091,111003,t a b builders limited,,,,,,,,,,,,;,the mg 't' society limited,,,34abathroad keynsham bristol bs311sn,,,,,,,,,;
823757,113911,111045,t. & b. containers holdings ltd,,,,,,,,,,,,;,t a b project solutions limited,,,hollybrook villaroad benfleet essex ss75ql,,,,,,,,,;
831261,117173,111051,t a g engineering services limited,,,,,,,,,,,,;,t a browne contract services ltd,,,unit4hurricanedrive hurricanebusinesspark liverpool merseyside england l248rl,,,,,,,,,;
954477,117105,111151,t. a. brockbank limited,,,,,,,,,,,,;,t a joinery ltd,,,9butedrive highspen rowlandsgill tyneandwear ne392dp,,,,,,,,,;
981326,113302,111174,t a design and build ltd,,,,,,,,,,,,;,t alla ltd,,,317halllane london unitedkingdom e48pu,,,,,,,,,;
986466,117219,111178,t a l construction ltd,,,,,,,,,,,,;,t allen developments ltd,,,sovereignhousetowcesterroad oldstratford miltonkeynes england mk196an,,,,,,,,,;
1070113,111240,111247,t & a contracting limited,,,holmbankfarm urswick ulverston cumbria la120ph,,,,,,,,,;,t & a developments,,,blackthornshouse80-82dudleyroad lye stourbridge westmidlands dy98et,,,,,,,,,;
1177374,72550,111335,takeda pharmaceutical company limited,japan,,,,,doll_45.89 b,,,drug manufacturers—specialty & generic,healthcare,,;,t and b african foods limited,,,1athestoneroad luton lu48qu,,,,,,,,,;
1197685,113548,111351,t ali & co uk limited,,,,,,,,,,,,;,t & b (contractors) holdings limited,,,riversidehouse1placefarm wheathampstead st.albans al48sb,,,,,,,,,;
1273566,117090,113198,t abbott properties ltd,,,,,,,,,,,,;,t a b engineering limited,,,,,,,,,,,,;
1287777,69985,113211,the hong kong and china gas company ltd,hong kong,,,,,doll_22.54 b,,,utilities—regulated gas,utilities,,;,t a browne contract services ltd,,,,,,,,,,,,;
1300326,113250,113247,t accounts (nw) ltd,,,,,,,,,,,,;,t a caterers limited,,,,,,,,,,,,;
1317468,111354,113290,t and b electricians ltd,,,c/ob&fservices 3morelondonriverside london unitedkingdom se12re,,,,,,,,,;,t. a. d. electrical limited,,,,,,,,,,,,;
1424329,117185,113605,t a hardwick construction limited,,,,,,,,,,,,;,t ames properties limited,,,,,,,,,,,,;
1450934,113873,113695,t & a textiles and hosiery limited,,,,,,,,,,,,;,t & a brickwork limited,,,,,,,,,,,,;
