_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
7987,122870,8990,valmet technologies ou,estonia,,,,,,,,,,,;,volansys technologies,,,,2008.0,,,,,it services & consulting,,,;
35219,58415,53586,vishay intertechnology,united states,,,,,doll_3.14 b,,,,,,;,vishay precision group,united states,,,,,doll_0.55 b,,,,,,;
56333,21761,75048,vedanta,india,,,,,doll_14.83 b,,,,,mining ,;,vedanta limited,india,,,,,doll_19.93 b,,,,basic materials,,;
74963,113698,113108,v & m kent ltd,,,,,,,,,,,,;,v a e enterprises limited,,,,,,,,,,,,;
105937,116323,113264,v & a coatings limited,,,,,,,,,,,,;,v & a finest dry cleaners ltd,,,,,,,,,,,,;
128929,113901,113380,v. & r.k. investments limited,,,,,,,,,,,,;,v & b's limited,,,,,,,,,,,,;
129249,116561,113380,v & n haulage ltd,,,,,,,,,,,,;,v & b's limited,,,,,,,,,,,,;
148597,113352,113424,v and b property services ltd,,,,,,,,,,,,;,v & f beauty lounge ltd,,,,,,,,,,,,;
169147,116374,113485,v & b uk properties ltd,,,,,,,,,,,,;,v & g company ltd,,,,,,,,,,,,;
171231,113628,113491,v & l building limited,,,,,,,,,,,,;,v & g sisters ltd,,,,,,,,,,,,;
171430,116318,113491,v & a building limited,,,,,,,,,,,,;,v & g sisters ltd,,,,,,,,,,,,;
187017,122448,113531,venrex abc i nominees limited,united kingdom,,,,,,,,,,,;,v. & j. investments limited,,,,,,,,,,,,;
187432,116310,113532,v & a limited,,,,,,,,,,,,;,v & j online ltd,,,,,,,,,,,,;
207389,116424,113630,v & g equestrian services limited,,,,,,,,,,,,;,v and l estates limited,,,,,,,,,,,,;
225099,116418,113674,v & f sheet metal company limited,,,,,,,,,,,,;,v & m fashion limited,,,,,,,,,,,,;
231081,116294,113683,v aesthetics ltd,,,,,,,,,,,,;,v & m film production ltd,,,,,,,,,,,,;
241378,116589,113711,v & p motors limited,,,,,,,,,,,,;,v & m services limited,,,,,,,,,,,,;
255242,113491,113751,v & g sisters ltd,,,,,,,,,,,,;,v & n property services limited,,,,,,,,,,,,;
267002,116302,113818,v a g repair services limited,,,,,,,,,,,,;,v & r contracts limited,,,,,,,,,,,,;
287897,116327,113887,v & a consultancy ltd,,,,,,,,,,,,;,v & s magazines limited,,,,,,,,,,,,;
295003,116402,113896,v & e european aircraft sales limited,,,,,,,,,,,,;,v & s food and wine ltd,,,,,,,,,,,,;
299322,113691,113902,v. & m. developments limited,,,,,,,,,,,,;,v & r investments ltd,,,,,,,,,,,,;
300380,116444,113903,v & h lift contractors limited,,,,,,,,,,,,;,v & r solutions ltd,,,,,,,,,,,,;
304243,116506,113928,v & m associates ltd,,,,,,,,,,,,;,v & p ventures limited,,,,,,,,,,,,;
306648,116579,113932,v & p child neuro consultants limited,,,,,,,,,,,,;,v & p perfectcleaning ltd,,,,,,,,,,,,;
307048,113893,113957,v & s hartley (partitioning) limited,,,,,,,,,,,,;,v & p enterprises limited,,,,,,,,,,,,;
310336,116514,113961,v & m engineering limited,,,,,,,,,,,,;,v & p consultants limited,,,,,,,,,,,,;
313763,113504,113966,v & i carpet cleaning ltd,,,,,,,,,,,,;,v & p bathrooms and kitchens limited,,,,,,,,,,,,;
316252,113965,113984,v & p child neuro consultants limited,,,,,,,,,,,,;,v & n pub company limited,,,,,,,,,,,,;
323046,116284,116263,v a e enterprises limited,,,,,,,,,,,,;,v limited,,,,,,,,,,,,;
324711,116409,116272,v & f estates limited,,,,,,,,,,,,;,v a building ltd,,,,,,,,,,,,;
349108,113379,116306,v & b uk properties ltd,,,,,,,,,,,,;,v a jones (runcorn) ltd,,,,,,,,,,,,;
366759,113268,116329,v and a homes limited,,,,,,,,,,,,;,v and a consulting services ltd,,,,,,,,,,,,;
376647,113395,116342,v and b retail limited,,,,,,,,,,,,;,v & a mellors limited,,,,,,,,,,,,;
396370,116537,116367,v & m properties investment ltd,,,,,,,,,,,,;,v and b facilities and building maintenance limited,,,,,,,,,,,,;
397333,113105,116369,v a d engineering limited,,,,,,,,,,,,;,v & b cleaning limited,,,,,,,,,,,,;
401446,113671,116374,v & m dating ltd,,,,,,,,,,,,;,v & b uk properties ltd,,,,,,,,,,,,;
413795,116262,116390,v a a investment ltd,,,,,,,,,,,,;,v & c property developments ltd,,,,,,,,,,,,;
427409,116327,116408,v & a consultancy ltd,,,,,,,,,,,,;,v & f beauty lounge ltd,,,,,,,,,,,,;
464247,113485,116456,v & g company ltd,,,,,,,,,,,,;,v & j builders limited,,,,,,,,,,,,;
478402,116384,116474,v & c sales limited,,,,,,,,,,,,;,v & k accountancy services limited,,,,,,,,,,,,;
492540,89062,116493,vinacapital vietnam opportunity fund limited,,not found,,,not found,doll_868.9 m,,,,,,not found;,v & l building limited,,,,,,,,,,,,;
493710,116329,116494,v and a consulting services ltd,,,,,,,,,,,,;,v & l builders ltd,,,,,,,,,,,,;
494017,116636,116494,v & s magazines limited,,,,,,,,,,,,;,v & l builders ltd,,,,,,,,,,,,;
530451,116280,116542,v acquisition limited,,,,,,,,,,,,;,v & m signs ltd,,,,,,,,,,,,;
538400,175036,116552,victoria,uk,,,not found,,,316 million usd,,['home furnishing'],,,not found;,v & m (victoria) ltd,,,,,,,,,,,,;
623045,113106,122448,v a decor limited,,,,,,,,,,,,;,venrex abc i nominees limited,united kingdom,,,,,,,,,,,;
623687,116310,122451,v & a limited,,,,,,,,,,,,;,venrex abc i general partner limited,united kingdom,,,,,,,,,,,;
640341,116487,142907,v & k foods limited,,,,,,,,,,,,;,viva china holdings limited,hong kong,,,,,doll_2.07 m,,,,,,;
648317,113493,149690,v & h joinery ltd,,,,,,,,,,,,;,visera technologies company ltd.,taiwan,,,,,doll_5.52 b,,doll_72.0 m,,,,;
