_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
33,48806,702,xiaomi,china,,,,,doll_36.08 b,,,,,,;,xiaomi,,,,2010.0,,,,,consumer electronics & appliances,,,;
52,151634,1210,xiamen kingdomway group company,china,,,,,doll_3.0 b,,doll_115.0 m,,,,;,xyz company,,,,0.0,,,,,financial services,,,;
135,5152,5152,xenonstack,,,,2012.0,,,,,it services & consulting,,,;,xenonstack,,,,2012.0,,,,,it services & consulting,,,;
187,37868,8706,xl axiata,indonesia,,,,,doll_1.81 b,,,,,,;,xl laboratories,,,,2001.0,,,,,pharma,,,;
303,12514,12588,xingsheng selected,china,,,2009.0,,,,,e-commerce & direct-to-consumer,,,;,xingsheng selected,china,,,,,,,,e-commerce & direct-to-consumer,,,;
332,141568,13008,xiamen itg group,china,,,,,doll_2.56 m,,,,,,;,xingyun group,china,,,,,,,,e-commerce & direct-to-consumer,,,;
489,4373,20676,xpo logistics,,,,2011.0,,,,,logistics,,,;,xpo logistics,united states,,,,,doll_4.37 b,,,,,transportation ,;
558,34888,22645,xylem,united states,,,,,doll_20.05 b,,,,,,;,xylem,united states,,,,,doll_21.12 b,,,,,none,;
702,33609,25130,xebec adsorption,canada,,,,,doll_58.69 m,,,,,,;,xebec adsorption,canada,,,,,doll_58.69 m,,,,,renewable-energy energy ,;
868,47210,28425,xp inc.,brazil,,,,,doll_9.28 b,,,,,['financialservices'],;,xp inc.,brazil,,,,,doll_9.32 b,,,,,,;
897,57014,28523,xpeng,china,,,,,doll_8.32 b,,,,,,;,xpeng,china,,,,,doll_8.55 b,,,,,,;
939,183976,29302,x5 music group,,stockholm,,2003.0,,,,,consumer services,broadcasting & entertainment,,;,x5 retail group,netherlands,,,,,doll_4.87 b,,,,,,;
983,24639,30476,xenon pharmaceuticals,canada,,,,,doll_2.29 b,,,,,pharmaceuticals biotech ,;,xenon pharmaceuticals,canada,,,,,doll_2.26 b,,,,,,;
1176,14168,34499,xcel energy,united states,,,,,doll_37.83 b,,,,,,;,xcel energy,united states,,,,,doll_39.01 b,,,,,,;
1320,94184,36672,xpo logistics,united states,,,,,doll_6.4 b,doll_16.44 b,doll_340 m,,,,;,xpo logistics,united states,,,,,doll_4.14 b,,,,,,;
1321,138133,36672,xpo logistics,united states,,,,,doll_10.07 m,,,,,,;,xpo logistics,united states,,,,,doll_4.14 b,,,,,,;
1467,25548,40291,xl fleet ,united states,,,,,doll_0.16 b,,,,,electric-vehicles ,;,xl fleet,united states,,,,,doll_160.0 m,,,,,,;
1556,94184,41976,xpo logistics,united states,,,,,doll_6.4 b,doll_16.44 b,doll_340 m,,,,;,xpo logistics,united states,,,,,doll_4.11 b,,,,,['transportation'],;
1675,22645,47720,xylem,united states,,,,,doll_21.12 b,,,,,none,;,xylem,united states,,,,,doll_20.00 b,,,,,[],;
2229,63491,58913,x4 pharmaceuticals,,,,,83.0,doll_0.14 b,,-doll_94.96 m,,,,;,xenon pharmaceuticals,canada,,,,,doll_2.28 b,,,,,,;
2280,63688,59305,xenia hotels & resorts,,,,,34.0,doll_1.60 b,doll_0.93 b,doll_85.56 m,,,,;,xenia hotels & resorts,united states,,,,,doll_1.69 b,,,,,,;
2339,32865,61290,xoma,united states,,,,,doll_0.25 b,,,,,,;,xoma,united states,,,,,doll_0.26 b,,,,,,;
2430,97737,63215,xl energies,france,,,,11.0,,doll_8.36 m,,,energy,,;,xl fleet ,,,,,177.0,doll_0.16 b,doll_24.16 m,-doll_63.34 m,,,,;
