_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
339,57052,9127,yamaha motor,japan,,,,,doll_8.02 b,,,,,,;,yamaha music india,,,,2008,,,,,media & entertainment,,,;
417,11910,11910,yipin shengxian,china,,,2017.0,,,,,e-commerce & direct-to-consumer,,,;,yipin shengxian,china,,,2017,,,,,e-commerce & direct-to-consumer,,,;
430,138183,12168,yongxing special materials technology,china,,,,,doll_6.57 m,,,,,,;,yitu technology,china,,,2012,,,,,artificial intelligence,,,;
591,179534,14370,yoox net-a-porter group,,milan,,2015.0,,,,,consumer services,clothing & accessories,,;,yili group,china,,,,,doll_27.11 b,,,,,['dairy companies'],;
688,40140,16659,y-mabs therapeutics,united states,,,,,doll_200.0 m,,,,,,;,y-mabs therapeutics,united states,,,,,doll_0.19 b,,,,,['pharmaceuticals'],;
717,38219,18343,ytl corporation berhad,malaysia,,,,,doll_1.39 b,,,,,,;,ytl corporation berhad,malaysia,,,,,doll_1.44 b,,,,,,;
1791,148787,28632,yamaha corporation,japan,,,,,doll_8.29 b,,doll_272.0 m,,,,;,yamaha motor,japan,,,,,doll_7.74 b,,,,,,;
1954,138614,29654,yeti holdings,united states,,,,,doll_8.69 m,,,,,,;,yeti holdings,united states,,,,,doll_3.87 b,,,,,,;
2170,32031,32031,york water,united states,,,,,doll_0.64 b,,,,,,;,york water,united states,,,,,doll_0.64 b,,,,,,;
2220,43612,33282,yellow corporation,united states,,,,,doll_0.14 b,,,,,['transportation'],;,yellow corporation,united states,,,,,doll_0.14 b,,,,,,;
2925,32034,39237,yit,finland,,,,,doll_0.64 b,,,,,,;,yit,finland,,,,,doll_580.0 m,,,,,,;
3676,28769,50149,yang ming,taiwan,,,,,doll_7.04 b,,,,,,;,yang ming,taiwan,,,,,doll_7.13 b,,,,,,;
4171,150053,55900,yadea group holdings,china,,,,,doll_4.85 b,,doll_199.0 m,,,,;,yili group,china,,,,,doll_30.87 b,,,,,,;
4366,93050,57196,yang ming marine transport,taiwan,,,,,doll_15.1 b,doll_11.95 b,doll_5.92 b,,,,;,yang ming,taiwan,,,,,doll_7.15 b,,,,,,;
4596,164966,59531,ytl corporation berhad,malaysia,,,,,doll_1.52 m,,-82 million usd,['utilities'],,,;,ytl corporation berhad,malaysia,,,,,doll_1.44 b,,,,,,;
4889,64767,64767,yankuang energy (yanzhou coal mining),,,,,61.864,doll_22.41 b,doll_29.84 b,doll_8.79 b,,,,;,yankuang energy (yanzhou coal mining),,,,,61.864,doll_22.41 b,doll_29.84 b,doll_8.79 b,,,,;
5046,28749,65171,yes bank,india,,,,,doll_7.13 b,,,,,,;,yes bank,,,,,25.592,doll_7.13 b,doll_1.30 b,doll_0.19 b,,,,;
5101,36273,65701,yageo,taiwan,,,,,doll_5.41 b,,,,,,;,yageo,,,,,,doll_5.68 b,doll_4.01 b,doll_1.05 b,,,,;
5853,145727,92773,yixin group,china,,,,,doll_1.4 m,,,,,,;,yankuang energy group,china,,,,,doll_14.32 b,doll_16.86 b,doll_2.63 b,,,,;
6039,140173,93388,yangzijiang shipbuilding (holdings),china,,,,,doll_4.67 m,,,,,,;,yum china holdings,china,,,,,doll_17.41 b,doll_9.85 b,doll_990 m,,,,;
6056,184589,93388,yum! brands,,moscow,,0.0,,,,,foodservice,,,;,yum china holdings,china,,,,,doll_17.41 b,doll_9.85 b,doll_990 m,,,,;
6155,140354,94058,yunnan copper,china,,,,,doll_3.95 m,,,,,,;,yunnan copper co. ltd.,china,,,,,doll_2.94 b,doll_19.63 b,doll_100.7 m,,,,;
