_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
11731,64783,55688,zijin mining,,,,,43.876,doll_44.70 b,doll_39.18 b,doll_5.11 b,,,,;,zijin mining,china,,,,,doll_46.15 b,,,,,,;
16531,152486,70126,zhejiang sanwei rubber item,china,,,,,doll_2.35 b,,0.0,,,,;,zhejiang huayou cobalt co. ltd,china,,,,,doll_19.20 b,,,other industrial metals & mining,basic materials,,;
29115,115961,115879,z & h consultancy services limited,,,,,,,,,,,,;,z abz limited,,,,,,,,,,,,;
33812,115908,115890,z & a fast food ltd,,,,,,,,,,,,;,z a h alsindi ltd,,,,,,,,,,,,;
36237,116168,115895,z cabs limited,,,,,,,,,,,,;,z ahmed logistic ltd,,,,,,,,,,,,;
36504,116001,115896,z & m global ltd,,,,,,,,,,,,;,z a holdings limited,,,,,,,,,,,,;
41701,115966,115908,z & i ltd,,,,,,,,,,,,;,z & a fast food ltd,,,,,,,,,,,,;
43863,115953,115913,z & g joinery limited,,,,,,,,,,,,;,z & a auto car ltd,,,,,,,,,,,,;
56276,116183,115941,z cars bury ltd,,,,,,,,,,,,;,z & d trading ltd,,,,,,,,,,,,;
57410,115974,115944,z & i dreams limited,,,,,,,,,,,,;,z & e lettings ltd.,,,,,,,,,,,,;
57453,116017,115944,z & n products ltd,,,,,,,,,,,,;,z & e lettings ltd.,,,,,,,,,,,,;
61819,115959,115954,z + f uk properties limited,,,,,,,,,,,,;,z & g consulting ltd,,,,,,,,,,,,;
85399,115970,116008,z & i construction ltd,,,,,,,,,,,,;,z & n anaesthesia limited,,,,,,,,,,,,;
105317,115912,116054,z & a beaumont ltd,,,,,,,,,,,,;,z & s linked ltd,,,,,,,,,,,,;
107729,116170,116059,z b utilities ltd,,,,,,,,,,,,;,z & s plumbing and heating ltd,,,,,,,,,,,,;
112611,116201,116070,z clad project limited,,,,,,,,,,,,;,z & s shine ltd,,,,,,,,,,,,;
113700,115978,116073,z and j group ltd,,,,,,,,,,,,;,z & t ops uk limited,,,,,,,,,,,,;
118724,138734,116084,zydus lifesciences limited,india,,,,,doll_7.93 m,,,,,,;,z & z accountants limited,,,,,,,,,,,,;
119615,72573,116087,zijin mining group co ltd,china,,,,,doll_43.93 b,,,gold,basic materials,,;,z & z amin ltd,,,,,,,,,,,,;
121461,115973,116091,z & i solution ltd,,,,,,,,,,,,;,z & z aslam limited,,,,,,,,,,,,;
122830,115976,116094,z & j trading ltd,,,,,,,,,,,,;,z and z design and build limited,,,,,,,,,,,,;
126786,115984,116103,z & k distributors limited,,,,,,,,,,,,;,z & z products ltd,,,,,,,,,,,,;
127358,116112,116104,z a signature ltd,,,,,,,,,,,,;,z and z sectech ltd,,,,,,,,,,,,;
134293,116111,116120,z & z security ltd,,,,,,,,,,,,;,z a product limited,,,,,,,,,,,,;
136890,115988,116126,z & k gloucester ltd,,,,,,,,,,,,;,z auto ltd,,,,,,,,,,,,;
136892,115990,116126,z & k fleets ltd,,,,,,,,,,,,;,z auto ltd,,,,,,,,,,,,;
139965,116012,116133,z & m roofing limited,,,,,,,,,,,,;,z aziz ltd,,,,,,,,,,,,;
142985,115869,116140,z abbas hussain ltd,,,,,,,,,,,,;,z avenue records ltd,,,,,,,,,,,,;
150802,115928,116158,z & co logistics limited,,,,,,,,,,,,;,z belting limited,,,,,,,,,,,,;
150922,116048,116158,z & s (hove) limited,,,,,,,,,,,,;,z belting limited,,,,,,,,,,,,;
154428,116044,116166,z & s (basket) ltd,,,,,,,,,,,,;,z cap ltd.,,,,,,,,,,,,;
154617,116234,116166,z dec ltd,,,,,,,,,,,,;,z cap ltd.,,,,,,,,,,,,;
160813,115897,116181,z ahmed medical services ltd,,,,,,,,,,,,;,z car hire ltd,,,,,,,,,,,,;
