,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev
0,01-DDD_name,0,4,9.067510548523206,20.166046584559243,4.490662154355329,0.022649797749307483,0.006039478571124139,0,0,0,0,0
1,01-DDD_valuation,0,3,8.470886075949368,1.517943893260349,1.2320486570181994,0.0019824830584324253,0.21013440614706708,0,0,0,0,0
2,01-DDD_datejoined,0,4,8.971308016877638,0.3826220207549321,0.6185644839100707,0.0,0.7748898265354053,0,0,0,0,0
3,01-DDD_country,0,4,10.2126582278481,13.056089633937736,3.6133211362869115,0.04643515884022213,0.0,0,0,0,0,0
4,01-DDD_city,0,4,8.678357570573139,7.1087863412119,2.666230736679011,0.038799449153155724,0.0,0,0,0,0,0
5,01-DDD_industry,0,4,18.10295358649789,114.18533755274261,10.685753953406499,0.048594597612611125,0.0,0,0,0,0,0
6,01-DDD_investors,0,4,50.73670886075949,202.8140651727677,14.241280320700373,0.10453263748638554,0.003323357915246876,0,0,0,0,0
7,01-DDD_founded,0,4,4.0,0.0,0.0,0.0,0.9670886075949368,0,0,0,0,0
8,01-DDD_stage,0,4,10.445569620253165,17.370556790968184,4.167799994117782,0.12341438496122102,0.0,0,0,0,0,0
9,01-DDD_totalraised,0,3,10.476793248945148,3.7496721404949254,1.936407018293139,0.0,0.3543423992791107,0,0,0,0,0
10,04-iGMM_company,0,4,9.07820299500832,20.578392105303262,4.536341268611,0.022595779359855094,0.006286840355059989,0,0,0,0,0
11,04-iGMM_valuation,0,3,7.455906821963394,1.505547928030025,1.2270077131094266,0.00199199026154101,0.23713048598656203,0,0,0,0,0
12,04-iGMM_datejoined,0,4,8.968386023294508,0.38201387917168306,0.6180727134987299,0.0,0.7748336106489288,0,0,0,0,0
13,04-iGMM_country,0,4,10.222129783693843,13.007236759162152,3.606554693771072,0.04656257959086578,0.0,0,0,0,0,0
14,04-iGMM_city,0,4,8.681587837837839,7.082805253478329,2.6613540263328983,0.0390517739153575,0.0,0,0,0,0,0
15,04-iGMM_industry,0,4,18.09567387687188,114.42464405009139,10.696945547682823,0.04857748711973191,0.0,0,0,0,0,0
16,04-iGMM_selectinvestors,0,4,50.7901748542881,198.0376033860672,14.072583394177034,0.1046857405485697,0.003311757338649675,0,0,0,0,0
