,column_name,cluster
0,00-avengers-id,9
1,00-avengers-name,3
2,00-avengers-rank,5
3,00-avengers-market_cap,0
4,00-avengers-country,1
5,00-avengers-share_price,4
6,00-avengers-change_1_day,4
7,00-avengers-change_1_year,4
8,00-avengers-categories,8
9,01-DDD-name,3
10,01-DDD-rank,5
11,01-DDD-marketcap,0
12,01-DDD-country,1
13,01-DDD-share_price,4
14,01-DDD-change1d,4
15,01-DDD-change1y,4
16,01-DDD-categories,0
17,02-GioPonSpiz-name,3
18,02-GioPonSpiz-codice,1
19,02-GioPonSpiz-pricecap,0
20,02-GioPonSpiz-price,4
21,02-GioPonSpiz-country,1
22,03-gren-name,3
23,03-gren-market_capitalization_usd,0
24,03-gren-price,4
25,03-gren-country,1
26,04-iGMM-name,3
27,04-iGMM-code,1
28,04-iGMM-rank,5
29,04-iGMM-marketcap,0
30,04-iGMM-country,1
31,04-iGMM-shareprice,4
32,04-iGMM-change_1day,4
33,04-iGMM-change_1year,4
34,04-iGMM-categories,6
35,05-MalPatSaj-name,3
36,05-MalPatSaj-symbol,1
37,05-MalPatSaj-marketcap,0
38,05-MalPatSaj-price,4
39,05-MalPatSaj-country,1
40,06-MarScoToc-name,3
41,06-MarScoToc-master_cap,0
42,06-MarScoToc-country,1
43,06-MarScoToc-rank,4
44,06-MarScoToc-share_price,4
45,09-wissel-url,7
46,09-wissel-id,2
47,09-wissel-name,3
48,09-wissel-company_code,1
49,09-wissel-marketcap,0
50,09-wissel-share_price,4
51,09-wissel-earnings,0
52,09-wissel-revenue,0
53,09-wissel-shares,0
54,09-wissel-employees,10
