,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
0,Apple,$2.351 T,USA,$147.81,-0.34%,-9.74%,"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']",,,,,
1,Bristol-myers Squibb,$172.49 B,USA,$81.13,0.31%,46.42%,"['Pharmaceuticals', 'Biotech']",,,,,
2,Wells Fargo,$175.05 B,USA,$45.94,-1.98%,-6.07%,"['Banks', 'Financial services']",,,,,
3,Nike,$175.54 B,USA,$112.20,1.29%,-34.00%,"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']",,,,,
4,Walt Disney,$177.08 B,USA,$99.43,0.85%,-32.45%,"['Entertainment', 'Dow jones']",,,,,
5,Abbott Laboratories,$188.46 B,USA,$108.09,0.15%,-15.80%,['Medical devices'],,,,,
6,Accenture,$189.25 B,Ireland,$300.13,-0.89%,-17.84%,['Professional services'],,,,,
7,T-mobile Us,$189.62 B,USA,$152.41,0.40%,38.10%,['Telecommunication'],,,,,
8,Novartis,$194.41 B,Switzerland,$89.99,0.19%,12.56%,"['Pharmaceuticals', 'Biotech']",,,,,
9,Toyota,$199.92 B,Japan,$146.53,-0.77%,-20.00%,"['Automakers', 'Manufacturing']",,,,,
10,Danaher,$199.62 B,USA,$274.23,-0.11%,-13.23%,['Conglomerate'],,,,,
11,Mcdonald,$200.24 B,USA,$273.40,0.00%,9.89%,"['Restaurant chains', 'Dow jones', 'Food']",,,,,
12,Icbc,$201.96 B,China,$0.49,-2.30%,-10.91%,"['Banks', 'Financial services']",,,,,
13,L'oréal,$204.92 B,France,$379.90,0.66%,-15.71%,"['Consumer goods', 'CAC 40', 'Cosmetics and Beauty']",,,,,
14,Cisco,$204.17 B,USA,$49.70,-0.54%,-11.49%,"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']",,,,,
15,Shell,$206.97 B,UK,$57.72,-0.57%,31.57%,"['Oil&Gas', 'Energy']",,,,,
16,Costco,$218.88 B,USA,$494.53,-1.85%,-5.90%,"['Retail', 'Supermarket Chains']",,,,,
17,Astrazeneca,$213.83 B,UK,$68.47,0.19%,24.97%,"['Pharmaceuticals', 'Biotech']",,,,,
18,Thermo Fisher Scientific,$220.80 B,USA,$563.00,-0.28%,-10.29%,"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']",,,,,
19,Broadcom,$219.02 B,USA,$540.80,-1.81%,-2.11%,"['Semiconductors', 'Tech']",,,,,
20,Reliance Industries,$226.23 B,India,$33.44,-0.04%,1.03%,['Conglomerate'],,,,,
21,Oracle,$224.72 B,USA,$83.35,-0.90%,-7.38%,"['Tech', 'Software']",,,,,
22,Asml,$247.88 B,Netherlands,$605.71,-0.91%,-23.27%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
23,Alibaba,$240.69 B,China,$90.06,4.79%,-26.18%,"['E-Commerce', 'Tech', 'Internet', 'Retail']",,,,,
24,Merck,$278.99 B,USA,$110.04,0.22%,48.92%,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,,,
25,Coca-cola,$278.28 B,USA,$64.35,0.88%,21.25%,"['Beverages', 'Dow jones']",,,,,
26,Roche,$270.73 B,Switzerland,$329.15,-0.56%,-16.63%,"['Pharmaceuticals', 'Biotech']",,,,,
27,Novo Nordisk,$285.74 B,Denmark,$126.90,0.61%,19.00%,"['Pharmaceuticals', 'Biotech']",,,,,
28,Abbvie,$289.42 B,USA,$163.66,1.26%,40.04%,"['Biotech', 'Pharmaceuticals']",,,,,
29,Pfizer,$285.77 B,USA,$50.91,-0.33%,-4.02%,"['Pharmaceuticals', 'Biotech']",,,,,
30,Kweichow Moutai,$292.41 B,China,$232.78,0.19%,-23.36%,"['Alcoholic beverages', 'Beverages']",,,,,
31,Bank Of America,$289.44 B,USA,$36.08,-1.29%,-19.63%,"['Banks', 'Financial services']",,,,,
32,Nestlé,$331.82 B,Switzerland,$120.66,-0.63%,-5.70%,['Food'],,,,,
33,Meta Platforms (facebook),$327.43 B,USA,$123.49,2.53%,-60.21%,"['Tech', 'Internet']",,,,,
34,Samsung,$312.57 B,South Korea,$46.54,-3.51%,-27.73%,"['Tech', 'Electronics', 'Tech Hardware', 'Manufacturing', 'Semiconductors']",,,,,
35,Home Depot,$334.28 B,USA,$327.99,0.28%,-19.56%,"['Retail', 'Dow jones']",,,,,
36,Chevron,$350.04 B,USA,$181.03,-0.80%,57.23%,"['Oil&Gas', 'Dow jones', 'Energy']",,,,,
37,Mastercard,$346.18 B,USA,$360.06,-0.21%,12.45%,['Financial services'],,,,,
38,Procter & Gamble,$356.90 B,USA,$150.61,0.91%,2.27%,"['Dow jones', 'Consumer goods']",,,,,
39,Eli Lilly,$356.08 B,USA,$374.76,1.20%,51.19%,"['Pharmaceuticals', 'Biotech']",,,,,
40,Tencent,$378.34 B,China,$39.29,3.69%,-34.20%,"['Tech', 'Internet', 'Video games', 'Esports']",,,,,
41,Lvmh,$376.99 B,France,$753.26,-0.79%,-3.08%,"['Luxury goods', 'CAC 40', 'Clothing']",,,,,
42,Walmart,$415.87 B,USA,$153.22,-0.10%,13.10%,"['Retail', 'Dow jones', 'Supermarket Chains']",,,,,
43,Jpmorgan Chase,$396.45 B,USA,$135.16,-0.79%,-16.16%,"['Banks', 'Financial services', 'Dow jones']",,,,,
44,Nvidia,$420.54 B,USA,$168.76,-1.51%,-47.47%,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']",,,,,
45,Tsmc,$422.66 B,Taiwan,$81.50,-1.43%,-33.03%,"['Semiconductors', 'Tech', 'Manufacturing', 'Tech Hardware']",,,,,
46,Exxon Mobil,$452.43 B,USA,$109.86,-0.85%,79.28%,"['Oil&Gas', 'Energy']",,,,,
47,Visa,$460.99 B,USA,$217.66,0.30%,9.77%,"['Financial services', 'Dow jones']",,,,,
48,Johnson & Johnson,$467.67 B,USA,$178.88,0.08%,13.87%,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,,,
49,Tesla,$606.20 B,USA,$194.86,0.08%,-46.10%,"['Automakers', 'Tech', 'Electric Vehicles', 'Bitcoin', 'Manufacturing', 'EV charging', 'Autonomous driving']",,,,,
50,Unitedhealth,$500.96 B,USA,$536.16,0.17%,20.21%,"['Healthcare', 'Insurance', 'Dow jones']",,,,,
51,Berkshire Hathaway,$696.53 B,USA,$316.15,0.10%,13.28%,['Investment'],,,,,
52,Amazon,$960.28 B,USA,$94.13,-1.43%,-45.23%,"['E-Commerce', 'Internet', 'Tech', 'Retail']",,,,,
53,Microsoft,$1.901 T,USA,$255.02,0.13%,-22.60%,"['Software', 'Tech', 'Dow jones', 'Video games']",,,,,
54,Alphabet (google),$1.303 T,USA,$100.83,-0.44%,-29.87%,"['Internet', 'Tech', 'Software', 'Autonomous driving']",,,,,
55,Saudi Aramco,$1.938 T,Saudi Arabia,$8.81,-1.19%,-5.57%,"['Energy', 'Oil&Gas']",,,,,
56,Toronto Dominion Bank,$125.25 B,Canada,$68.59,0.32%,-8.94%,"['Banks', 'Financial services']",,,,,
57,Hdfc Bank,$126.75 B,India,$68.20,-1.94%,1.55%,"['Banks', 'Financial services']",,,,,
58,Elevance Health,$125.66 B,USA,$523.60,-0.07%,30.99%,"['Healthcare', 'Insurance']",,,,,
59,Goldman Sachs,$128.87 B,USA,$380.58,-0.84%,-1.80%,"['Banks', 'Dow jones', 'Financial services']",,,,,
60,Petrochina,$129.63 B,China,$0.74,0.19%,-3.90%,"['Oil&Gas', 'Energy']",,,,,
61,Lockheed Martin,$130.04 B,USA,$496.23,2.59%,50.13%,"['Aerospace', 'Defense contractors', 'Aircraft manufacturers', 'Manufacturing']",,,,,
62,Lowe's Companies,$129.91 B,USA,$214.84,-0.30%,-14.20%,['Retail'],,,,,
63,Prosus,$131.50 B,Netherlands,$65.60,0.57%,-19.84%,['Investment'],,,,,
64,Unilever,$131.15 B,UK,$51.50,0.68%,0.12%,"['Food', 'Consumer goods']",,,,,
65,Union Pacific Corporation,$132.01 B,USA,$214.73,-0.56%,-10.56%,"['Railways', 'Transportation', 'Infrastructure']",,,,,
66,Ibm,$133.25 B,USA,$148.67,-0.33%,27.18%,"['Tech', 'Software', 'Dow jones']",,,,,
67,Meituan,$133.48 B,China,$21.57,3.07%,-32.17%,"['Internet', 'Tech', 'E-Commerce']",,,,,
68,Sap,$133.26 B,Germany,$112.03,0.02%,-13.94%,"['Tech', 'Software', 'DAX']",,,,,
69,Cvs Health,$134.78 B,USA,$102.58,0.91%,13.99%,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",,,,,
70,Deere & Company,$134.49 B,USA,$445.61,0.86%,27.09%,"['Machinery manufacturing', 'Manufacturing']",,,,,
71,Dior,$135.84 B,France,$751.90,-0.14%,-1.01%,"['Luxury goods', 'Clothing']",,,,,
72,At&t,$135.55 B,USA,$19.02,-0.89%,-17.48%,['Telecommunication'],,,,,
73,Royal Bank Of Canada,$139.63 B,Canada,$99.64,-0.62%,-0.46%,"['Banks', 'Financial services']",,,,,
74,Catl,$136.36 B,China,$55.83,-0.85%,-48.33%,"['Batteries', 'Electricity']",,,,,
75,Qualcomm,$140.86 B,USA,$125.66,-0.91%,-29.02%,"['Tech', 'Semiconductors', 'Tech Hardware']",,,,,
76,Netflix,$142.58 B,USA,$320.41,1.09%,-48.03%,"['Entertainment', 'Internet', 'Tech']",,,,,
77,Agricultural Bank Of China,$140.40 B,China,$0.41,0.00%,-10.87%,"['Banks', 'Financial services']",,,,,
78,Salesforce,$144.55 B,USA,$144.56,-1.66%,-44.66%,"['Software', 'Dow jones', 'Tech']",,,,,
79,Honeywell,$147.29 B,USA,$219.08,0.78%,7.39%,"['Dow jones', 'Aerospace', 'Defense contractors']",,,,,
80,Raytheon Technologies,$148.49 B,USA,$101.01,1.52%,23.70%,"['Aerospace', 'Defense contractors']",,,,,
81,China Mobile,$149.18 B,China,$6.59,-0.29%,10.02%,['Telecommunication'],,,,,
82,Totalenergies,$151.61 B,France,$60.61,-0.09%,26.01%,"['Oil&Gas', 'Energy', 'CAC 40']",,,,,
83,Conocophillips,$152.24 B,USA,$122.18,-0.72%,71.46%,"['Oil&Gas', 'Energy']",,,,,
84,China Construction Bank,$153.33 B,China,$0.78,-0.55%,-14.29%,"['Banks', 'Financial services']",,,,,
85,Amgen,$152.34 B,USA,$285.51,-0.15%,41.92%,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,,,
86,Tata Consultancy Services,$154.57 B,India,$42.24,-1.05%,-13.01%,"['IT services', 'Professional services']",,,,,
87,Charles Schwab,$153.93 B,USA,$82.46,0.89%,2.92%,"['Financial services', 'Banks']",,,,,
88,Adobe,$158.77 B,USA,$341.53,-0.75%,-49.17%,"['Software', 'Tech']",,,,,
89,Comcast,$155.03 B,USA,$35.86,-1.16%,-30.37%,"['Telecommunication', 'Media/Press', 'Entertainment']",,,,,
90,Morgan Stanley,$155.65 B,USA,$92.10,-0.97%,-6.84%,"['Banks', 'Financial services', 'Investment']",,,,,
91,Bhp Group,$160.50 B,Australia,$63.43,0.65%,10.01%,['Mining'],,,,,
92,Verizon,$160.34 B,USA,$38.18,-0.39%,-24.74%,"['Telecommunication', 'Dow jones']",,,,,
93,Texas Instruments,$161.23 B,USA,$177.66,0.09%,-8.22%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
94,Philip Morris,$161.68 B,USA,$104.30,1.80%,18.74%,['Tobacco'],,,,,
95,Linde,$166.77 B,UK,$337.35,0.03%,4.12%,"['DAX', 'Chemicals']",,,,,
96,United Parcel Service,$163.80 B,USA,$189.39,-0.42%,-5.26%,"['Courier', 'Transportation']",,,,,
97,Hermès,$167.38 B,France,"$1,601",-0.78%,-12.52%,"['Luxury goods', 'CAC 40']",,,,,
98,Nextera Energy,$169.30 B,USA,$85.20,0.44%,-3.86%,"['Energy', 'Electricity', 'Utility companies', 'Renewable energy']",,,,,
99,Volkswagen,$87.16 B,Germany,$146.40,-0.26%,-22.35%,"['Automakers', 'DAX', 'Manufacturing']",,,,,
100,Cm Bank,$123.17 B,China,$4.94,-1.41%,-39.24%,"['Banks', 'Financial services']",,,,,
101,Glencore,$88.10 B,Switzerland,$6.84,0.37%,45.53%,"['Mining', 'Coal Mining', 'Energy']",,,,,
102,Canadian National Railway,$87.19 B,Canada,$127.83,-0.49%,-0.90%,"['Railways', 'Transportation']",,,,,
103,Wuliangye Yibin,$90.17 B,China,$23.23,-0.93%,-33.59%,"['Beverages', 'Alcoholic beverages']",,,,,
104,Chubb,$90.96 B,Switzerland,$219.16,0.38%,20.18%,['Insurance'],,,,,
