,column_name,cluster
0,00-avengers-id,6
1,00-avengers-name,8
2,00-avengers-official_name,1
3,00-avengers-headquarters_country,12
4,00-avengers-headquarters_continent,12
5,00-avengers-founded,4
6,00-avengers-employees,6
7,00-avengers-ceo,1
8,00-avengers-market_cap,1
9,00-avengers-categories,1
10,00-avengers-gbp,11
11,02-GioPonSpiz-name,1
12,02-GioPonSpiz-marketcap,1
13,02-GioPonSpiz-stock,7
14,02-GioPonSpiz-sector,3
15,02-GioPonSpiz-industry,2
16,02-GioPonSpiz-country,9
17,03-gren-name,1
18,03-gren-market_capitalization_usd,1
19,03-gren-stock,7
20,03-gren-country,9
21,03-gren-sector,3
22,03-gren-industry,2
23,04-iGMM-name,8
24,04-iGMM-code,7
25,04-iGMM-rank,6
26,04-iGMM-ceo,1
27,04-iGMM-country,9
28,04-iGMM-sector,3
29,04-iGMM-industry,2
30,04-iGMM-headquarters,1
31,04-iGMM-employees,6
32,04-iGMM-founded,4
33,04-iGMM-marketcap,1
34,04-iGMM-revenue,0
35,04-iGMM-net_income,0
36,04-iGMM-link,5
37,05-MalPatSaj-name,1
38,05-MalPatSaj-marketcap,1
39,05-MalPatSaj-stock,7
40,05-MalPatSaj-country,9
41,05-MalPatSaj-sector,3
42,05-MalPatSaj-industry,2
43,06-MarScoToc-name,1
44,06-MarScoToc-mastercap,1
45,06-MarScoToc-country,1
46,06-MarScoToc-industry,2
47,06-MarScoToc-sector,3
48,07-silvestri-name,1
49,07-silvestri-country,9
50,07-silvestri-market_value_apr_2022,1
51,07-silvestri-sector,3
52,07-silvestri-stock,7
53,08-slytherin-link,10
54,08-slytherin-name,1
55,08-slytherin-headquarters,1
56,08-slytherin-employees,11
57,08-slytherin-ceo,1
58,08-slytherin-market_cap,1
59,10-DeBiGa-name,1
60,10-DeBiGa-market_cap,1
61,10-DeBiGa-stock,7
62,10-DeBiGa-country,9
63,10-DeBiGa-sector,9
64,10-DeBiGa-industry,2
65,10-DeBiGa-headquarters,12
66,10-DeBiGa-founded,1
67,10-DeBiGa-employees,1
68,10-DeBiGa-ceo,1
