,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int
0,05-MalPatSaj-name,0.0,1.0,0.30726433917844664,0.46250388077806376,0.6800763786355646,0.5635007501020876,0.0,0.0043798687649423,0.0,0.0,0.0,0.0,0.0,0.0
1,05-MalPatSaj-country,0.0,1.0,0.18551988429420524,0.10000434102776613,0.31623462970991356,0.30385861903302996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,05-MalPatSaj-sales,0.0,1.0,0.2420637015297235,0.004074099604966854,0.06382867384621785,0.8148340951075367,0.0,0.9215232003244762,0.0,0.0,0.0,0.0,0.0,0.0
3,05-MalPatSaj-profit,0.0,1.0,0.23761916324440738,0.004841654493354489,0.0695819983426352,0.8309663899156586,0.0,0.8843465887323291,0.0,0.0,0.0,0.0,0.0,0.0
4,05-MalPatSaj-assets,0.0,1.0,0.2529269554384891,0.004933652054280108,0.07023996052305345,0.7799596258910567,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,05-MalPatSaj-market_value,0.0,1.0,0.24510414577241008,0.004214956822887585,0.0649226988262779,0.8047435646566381,0.0,0.9442998685405287,0.0,0.0,0.0,0.0,0.0,0.0
6,07-silvestri-country,0.0,1.0,0.19068230524793348,0.10334830612599667,0.32147831361694784,0.31988857776734886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,07-silvestri-market_value_apr_2022,0.0,1.0,0.2518501314358709,0.0030247929987289083,0.05499811813806823,0.7819848864729536,0.0,0.9957096985514042,0.0,0.0,0.0,0.0,0.0,0.0
8,07-silvestri-name,0.0,1.0,0.2924316163972847,0.40713764377345946,0.6380733843167724,0.5370579804343087,0.0,0.0022175440117970613,0.0,0.0,0.0,0.0,0.0,0.0
9,07-silvestri-revenue_2022,0.0,1.0,0.24845074585897828,0.00323742706766651,0.056898392487543185,0.7930741421555921,0.0,0.971861424083639,0.0,0.0,0.0,0.0,0.0,0.0
10,08-slytherin-link,0.0,1.0,1.0,0.4515752105231328,0.671993460178842,0.0,0.0,0.0005203036185189844,0.0,0.0,0.0,0.0,0.0,0.0
11,08-slytherin-name,0.0,1.0,0.3077394085913664,0.4618344223365248,0.6795840068280925,0.5871675685254962,0.0,0.0043798687649423,0.0,0.0,0.0,0.0,0.0,0.0
12,08-slytherin-industry,0.0,1.0,0.3720426929045744,1.0,1.0,0.46625608730019524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,08-slytherin-founded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.0
14,08-slytherin-country,0.0,1.0,0.1856676836671136,0.10008007235328173,0.31635434618996744,0.30457406820473815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,08-slytherin-ceo,0.0,1.0,0.33492393610844257,0.21540452720835387,0.4641169326886856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,08-slytherin-employees,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486646884272997,0.007494452655275313,0.050526617215505054,0.2247812652680491,0.5,0.0
17,08-slytherin-revenue,0.0,1.0,0.2202949653199329,0.004804274532005312,0.06931287421543932,0.8975897033272551,0.0,0.7343961799796787,0.0,0.0,0.0,0.0,0.0,0.0
