,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev,cluster
0,01-DDD-name,0.0,1.0,0.484329596534827,0.9955729170838257,0.9977840032210507,0.9009483508780917,0.003663964414598531,0.0,0.0,0.0,0.0,0.0,0
1,01-DDD-country,0.0,1.0,0.22307830137968107,0.11856206687167405,0.3443284287880889,0.04244803236234728,0.0,0.0,0.0,0.0,0.0,0.0,3
2,01-DDD-sector,0.0,1.0,0.4339256639374275,0.49241590314634187,0.7017235232955653,0.3777692155802918,0.0,0.0,0.0,0.0,0.0,0.0,5
3,01-DDD-absolute_growth_rate_pct,0.0,1.0,0.24434611219744007,0.01039137169316444,0.10193807773920616,0.0,0.8256079875055876,0.0,0.0,0.0,0.0,0.0,6
4,01-DDD-compound_annual_growth_rate_cagr_pct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4239538367773816e-05,2.2519518746766835e-07,3.878151203671872e-06,4.558285799336587e-13,6.75150783109713e-07,2
5,01-DDD-revenue_2020_euro,0.0,1.0,0.3662659800721392,0.00676261227434035,0.08223510366224603,0.0,0.7896652655688847,0.0,0.0,0.0,0.0,0.0,6
6,01-DDD-revenue_2017_euro,0.0,1.0,0.32217227705803075,0.025879774739293024,0.1608719202946649,0.0,0.8157142277624291,0.0,0.0,0.0,0.0,0.0,6
7,01-DDD-number_of_employees_2020,0.0,1.0,0.07891682182560394,0.008017191547626175,0.08953877119787926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
8,01-DDD-number_of_employees_2017,0.0,1.0,0.06111574207520859,0.007844490111899822,0.0885691261778043,0.0,0.9989959839357431,0.0,0.0,0.0,0.0,0.0,1
9,01-DDD-founding_year,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012587317051172286,9.532695345331415e-07,9.888279059629207e-05,9.74399146880744e-15,9.871165822134406e-08,2
10,03-gren-name,0.0,1.0,0.48199247446694143,0.9803316148674412,0.990116970295652,0.9062199676663539,0.0036768364154223395,0.0,0.0,0.0,0.0,0.0,0
11,03-gren-country,0.0,1.0,0.22307830137968107,0.11856206687167405,0.3443284287880889,0.04244803236234728,0.0,0.0,0.0,0.0,0.0,0.0,3
12,03-gren-sector,0.0,1.0,0.4339256639374275,0.49241590314634187,0.7017235232955653,0.3777692155802918,0.0,0.0,0.0,0.0,0.0,0.0,5
13,03-gren-revenue_2020_eu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4
14,03-gren-revenue_2017_eu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06679037342152856,0.06858172528936186,0.19694604829763723,0.01403668550091636,0.11847651877446586,2
15,03-gren-employees_number_2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.631884642345778e-07,8.480844250819338e-07,3.940424492013054e-06,4.3310949800051026e-12,2.0811282949412567e-06,2
16,03-gren-employees_number_2017,0.0,1.0,0.060674533123141854,0.007240252417249543,0.08508967280022613,0.0,0.9989959839357431,0.0,0.0,0.0,0.0,0.0,1
17,03-gren-founding_year,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012587317051172286,9.532695345331415e-07,9.888279059629207e-05,9.74399146880744e-15,9.871165822134406e-08,2
18,07-silvestri-country,0.0,1.0,0.22307830137968107,0.11856206687167405,0.3443284287880889,0.04244803236234728,0.0,0.0,0.0,0.0,0.0,0.0,3
19,07-silvestri-employees_2017,0.0,1.0,0.060674533123141854,0.007240252417249543,0.08508967280022613,0.0,0.9989959839357431,0.0,0.0,0.0,0.0,0.0,1
20,07-silvestri-employees_2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.631884642345778e-07,8.480844250819338e-07,3.940424492013054e-06,4.3310949800051026e-12,2.0811282949412567e-06,2
21,07-silvestri-founding_year,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012587317051172286,9.532695345331415e-07,9.888279059629207e-05,9.74399146880744e-15,9.871165822134406e-08,2
22,07-silvestri-name,0.0,1.0,0.48429064450036224,0.995313747446266,0.9976541221516934,0.9020973695421924,0.003663964414598531,0.0,0.0,0.0,0.0,0.0,0
23,07-silvestri-revenue_2017,0.0,1.0,0.32217227705803075,0.025879774739293024,0.1608719202946649,0.0,0.8157142277624291,0.0,0.0,0.0,0.0,0.0,6
24,07-silvestri-revenue_2020,0.0,1.0,0.3662659800721392,0.00676261227434035,0.08223510366224603,0.0,0.7896652655688847,0.0,0.0,0.0,0.0,0.0,6
25,07-silvestri-sector,0.0,1.0,0.4339256639374275,0.49241590314634187,0.7017235232955653,0.3777692155802918,0.0,0.0,0.0,0.0,0.0,0.0,5
26,08-slytherin-link,0.0,1.0,1.0,0.5678133182595398,0.753533886603343,0.021141943419452164,0.0026115427434410814,0.0,0.0,0.0,0.0,0.0,7
27,08-slytherin-name,0.0,1.0,0.5058077483386958,1.0,0.9999999999999999,0.9999999999999999,0.005757451777037084,0.0,0.0,0.0,0.0,0.0,0
28,08-slytherin-country,0.0,1.0,0.25959972889384014,0.15651938640913005,0.39562531062753054,0.14273676893630305,0.0,0.0,0.0,0.0,0.0,0.0,3
29,08-slytherin-industry,0.0,1.0,0.4484314015721041,0.44337220878286426,0.6658620043093495,0.47592338941960277,0.0,0.0,0.0,0.0,0.0,0.0,5
30,08-slytherin-revenue,0.0,1.0,0.2428347732602074,0.15373710595786585,0.3920932363072154,0.0,0.7658101470149833,0.0,0.0,0.0,0.0,0.0,6
31,08-slytherin-employees,0.0,1.0,0.08623980430497885,0.023832382410167937,0.1543774025243589,0.031712915129178246,0.9890796519410976,0.0,0.0,0.0,0.0,0.0,1
32,08-slytherin-founded,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007971525340099625,3.0121619235668685e-06,9.882600619073108e-05,6.778812432406658e-13,8.233354378627619e-07,2
