,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int
0,01-DDD-name,0.0,1.0,0.4843748782635118,0.9955729170838257,0.9977840032210507,0.4843438512161696,0.0,3.623545150917116e-08,0.0,0.0,0.0,0.0,0.0,0.0
1,01-DDD-country,0.0,1.0,0.2230991577782799,0.11856206687167405,0.3443284287880889,0.022819780346886726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01-DDD-sector,0.0,1.0,0.4339662332198425,0.49241590314634187,0.7017235232955653,0.2030862219424028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01-DDD-absolute_growth_rate_pct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.817760154816781e-06,7.681500334851292e-05,5.823373587433546e-10,2.4131667135599117e-05,0.5,0.0
4,01-DDD-compound_annual_growth_rate_cagr_pct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036291964135000144,3.2836034164716435e-06,1.96914395449609e-05,3.247408940692592e-11,5.6986041630320245e-06,1.0,0.0
5,01-DDD-revenue_2020_euro,0.0,1.0,0.4394589835684958,0.008758729004798757,0.09358808153177815,0.9887490963058931,0.0,2.8654832241332227e-06,0.0,0.0,0.0,0.0,0.0,0.0
6,01-DDD-revenue_2017_euro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
7,01-DDD-number_of_employees_2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366040975255042e-05,1.9927603665922792e-05,3.0762209402852444e-10,1.753915887460184e-05,1.0,0.0
8,01-DDD-number_of_employees_2017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.275168758632157e-06,6.5977672607398324e-06,4.7624231637633725e-11,6.901031201033199e-06,1.0,0.0
9,01-DDD-founding_year,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01884600490512456,1.3899760184088121e-05,0.0005020806025356456,6.941803653128312e-13,8.331748707881385e-07,1.0,0.0
10,03-gren-name,0.0,1.0,0.48203753768961677,0.9803316148674412,0.990116970295652,0.48717783739847875,0.0,3.6362751534198344e-08,0.0,0.0,0.0,0.0,0.0,0.0
11,03-gren-country,0.0,1.0,0.2230991577782799,0.11856206687167405,0.3443284287880889,0.022819780346886726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,03-gren-sector,0.0,1.0,0.4339662332198425,0.49241590314634187,0.7017235232955653,0.2030862219424028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,03-gren-revenue_2020_eu,0.0,1.0,0.43934211653980104,0.008602304439081492,0.09274860882558557,0.9889656940944631,0.0,2.8639357848679572e-06,0.0,0.0,0.0,0.0,0.0,0.0
14,03-gren-revenue_2017_eu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0
15,03-gren-employees_number_2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366040975255042e-05,1.9927603665922792e-05,3.0762209402852444e-10,1.753915887460184e-05,1.0,0.0
16,03-gren-employees_number_2017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.275168758632157e-06,6.5977672607398324e-06,4.7624231637633725e-11,6.901031201033199e-06,1.0,0.0
17,03-gren-founding_year,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01884600490512456,1.3899760184088121e-05,0.0005020806025356456,6.941803653128312e-13,8.331748707881385e-07,1.0,0.0
18,07-silvestri-country,0.0,1.0,0.2230991577782799,0.11856206687167405,0.3443284287880889,0.022819780346886726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,07-silvestri-employees_2017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.275168758632157e-06,6.5977672607398324e-06,4.7624231637633725e-11,6.901031201033199e-06,1.0,0.0
