,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
0,Swappie,Finland,Technology,"19,152.82",477.43,"97,611,814",218,1,2016.0,,
1,Kilo Health,Lithuania,Health,"16,541.73",450.05,"57,318,766",177,10,2013.0,,
2,OCI,UK,Financial Services,"13,133.13",409.59,"568,322,073",32,4,2012.0,,
3,OnlyFans,UK,Technology,"11,928.05",393.63,"316,732,986",800,4,2016.0,,
4,Enpal,Germany,Energy,"11,441.27",386.88,"56,109,613",365,9,2017.0,,
5,MR Consulting,Germany,Waste management & recycling,"8,624.23",343.52,"13,165,586",9,2,2017.0,,
6,Thriva,UK,Health,"7,396.77",321.66,"18,732,563",57,12,2015.0,,
7,Exotec,France,Industrial Goods,"6,635.11",306.86,"47,597,000",200,15,2015.0,,
8,Winelivery,Italy,Ecommerce,"6,480.53",303.73,"7,337,290",10,1,2015.0,,
9,Instabox,Sweden,Technology,"6,287.13",299.73,"24,484,879",117,5,2015.0,,
10,Waterdrop,Austria,Food & Beverage,"5,957.94",292.74,"41,205,930",180,12,2016.0,,
11,One Lease,France,Support Services,"5,790.52",289.09,"9,015,211",11,2,2016.0,,
12,Datlas*,Italy,Technology,"5,713.76",287.39,"9,034,926",251,13,2017.0,,
13,Zego,UK,Fintech,"5,242.60",276.63,"12,158,046",224,36,2016.0,,
14,HCL-Logistics,Germany,Transport,"4,682.15",262.97,"11,387,156",24,5,2017.0,,
15,Popsa,UK,Technology,"4,649.68",262.15,"21,455,864",34,4,2016.0,,
16,Unit8,Switzerland,Technology,"4,377.53",255.1,"7,234,981",41,2,2017.0,,
17,Luoto Company,Finland,Technology,"4,303.97",253.14,"14,338,668",49,6,2016.0,,
18,Journi Print,Austria,Ecommerce,"4,165.75",249.41,"6,851,839",29,9,2014.0,,
19,Portify,France,Support Services,"4,118.60",248.11,"11,583,215",228,23,2017.0,,
20,Tibber,Norway,Energy,"4,104.02",247.71,"30,886,935",45,8,2015.0,,
21,Rascal Industry,Poland,Fashion,"4,029.49",245.65,"9,008,822",18,6,2013.0,,
22,Pegaso Security,Italy,Support Services,"3,943.64",243.23,"8,375,180",509,20,2017.0,,
23,Tide,UK,Fintech,"3,801.56",239.17,"16,136,633",581,72,2016.0,,
24,Euro Top Brand,Italy,Retail,"3,726.04",236.96,"13,888,900",1,1,2017.0,,
25,Bold Security Group,UK,Support Services,"3,356.60",225.75,"6,238,378",26,6,2011.0,,
26,Play Magnus Group,Norway,Games industry,"2,967.63",213.04,"6,461,790",140,10,2013.0,,
27,Blue Whale Growth Fund,UK,Financial Services,"2,957.41",212.69,"5,189,391",7,1,2016.0,,
28,Kazidomi,Belgium,Ecommerce,"2,950.29",212.45,"8,042,499",65,3,2016.0,,
29,Sun Finance,Latvia,Fintech,"2,899.26",210.7,"121,306,296",800,90,2012.0,,
30,Credimi,Italy,Financial Services,"2,859.83",209.33,"11,301,520",56,21,2015.0,,
31,SIRPLUS,Germany,Retail,"2,828.22",208.23,"4,540,000",133,8,2017.0,,
32,AIHR | Academy to Innovate HR,The Netherlands,Education,"2,752.08",205.53,"3,584,553",31,6,2016.0,,
33,Logistics Capital Partners (LCP),Luxembourg,Property,"2,744.13",205.25,"210,563,743",27,9,2015.0,,
34,SÃ¼dwest Invest,Germany,Property,"2,660.84",202.24,"5,820,402",10,2,2017.0,,
35,CORADE (Plurimmo),France,Property,"2,646.07",201.7,"56,018,731",7,7,2000.0,,
36,Carranco,Spain,Food & Beverage,"2,589.10",199.6,"4,176,440",5,4,2006.0,,
37,Telemedi,Poland,Health,"2,572.52",198.98,"4,452,513",50,10,2014.0,,
38,Inkitt,Germany,Technology,"2,480.16",195.49,"5,926,970",56,22,2014.0,,
39,H.K.Trading,Italy,Retail,"2,438.64",193.9,"5,721,590",2,1,2016.0,,
40,Attest,UK,Technology,"2,424.14",193.34,"4,864,178",124,16,2015.0,,
41,LGM IMMOBILIER,France,Property,"2,416.78",193.05,"2,549,778",11,None,2016.0,,
42,Wolfram Chain*,The Netherlands,Management Consulting,"2,314.21",189.02,"2,431,371",29,7,2017.0,,
43,RightNow,Germany,Technology,"2,256.98",186.72,"8,951,132",38,3,2017.0,,
44,EO Charging,UK,Technology,"2,182.00",183.64,"17,158,962",63,7,2014.0,,
45,CheTariffa.it,Italy,Support Services,"2,164.85",182.93,"2,495,860",9,2,2013.0,,
46,Simply,UK,Financial Services,"2,131.19",181.52,"16,483,836",90,26,2017.0,,
47,Salary Finance,UK,Fintech,"2,130.67",181.5,"8,593,220",187,24,2015.0,,
48,DBT,Sweden,Fintech,"2,090.34",179.79,"3,837,994",10,2,2017.0,,
49,Tutlo,Poland,Education,"2,087.98",179.69,"7,778,203",140,15,2016.0,,
50,Ponera,France,Ecommerce,"2,082.38",179.45,"25,901,607",27,4,2013.0,,
51,Active Energy Solutions,Greece,Energy,"1,979.82",175.01,"13,312,033",2,0,2014.0,,
52,ACTEAM ENR,France,Energy,"1,966.73",174.43,"2,133,691",8,2,2012.0,,
53,Everflow,UK,Technology,"1,928.53",172.73,"64,223,085",70,8,2015.0,,
54,Azure Prism,UK,Retail,"1,909.48",171.87,"4,752,777",1,1,2016.0,,
55,WR Logistics,Germany,Transport,"1,892.58",171.11,"11,662,200",7,2,2017.0,,
56,iProov,UK,Technology,"1,889.07",170.95,"7,435,887",61,14,2011.0,,
57,Spin Up,Italy,Advertising,"1,865.84",169.89,"4,009,330",5,1,2017.0,,
58,BeGreat,Germany,Retail,"1,803.65",167.01,"5,141,555",16,4,2012.0,,
59,Tsunami Nutrition*,Italy,Ecommerce,"1,782.11",166.0,"6,945,000",17,2,2017.0,,
60,Matt Sleeps,The Netherlands,Interiors,"1,729.53",163.5,"9,789,240",6,2,2016.0,,
61,Tessian,UK,Technology,"1,702.70",162.21,"15,365,580",138,28,2013.0,,
62,Solarisbank,Germany,Financial Services,"1,690.63",161.62,"35,938,000",369,98,2016.0,,
63,M2DG (MyFlexoffice),France,Support Services,"1,666.64",160.45,"6,630,617",21,2,2016.0,,
64,Eukon,Italy,Health,"1,664.65",160.35,"6,393,680",11,2,2004.0,,
65,Evolution Adv,Italy,Advertising,"1,659.07",160.07,"14,175,780",13,3,2016.0,,
66,Making Science,Spain,Technology,"1,644.00",159.33,"57,670,541",274,47,2001.0,,
67,Everli,Italy,Ecommerce,"1,637.55",159.01,"109,248,030",207,45,2014.0,,
68,AppFollow,Finland,Technology,"1,624.69",158.37,"2,210,636",73,12,2014.0,,
69,Synerise,Poland,Technology,"1,613.70",157.82,"3,999,023",190,40,2013.0,,
70,ChaiKola,Poland,Food & Beverage,"1,604.74",157.37,"5,158,786",8,4,2010.0,,
71,Scolution,Germany,Technology,"1,598.31",157.04,"1,825,546",12,4,2015.0,,
72,JL&P,France,Energy,"1,586.90",156.47,"2,212,606",15,3,2017.0,,
73,eFarma.com,Italy,Pharmaceuticals,"1,579.82",156.11,"20,150,800",50,8,2017.0,,
74,Elvie,UK,Technology,"1,561.33",155.16,"40,813,930",138,22,2013.0,,
75,Farmarelax,Italy,Personal & Household Goods,"1,546.97",154.43,"4,459,170",5,1,2010.0,,
76,Omnisend,UK,Technology,"1,494.85",151.71,"11,761,268",99,20,2008.0,,
77,World Trade Group,Italy,Fashion,"1,459.11",149.82,"4,897,950",5,1,2017.0,,
78,BESTEAM Conseil,France,Technology,"1,453.83",149.54,"3,871,782",32,2,2016.0,,
79,Motorway,UK,Automobiles,"1,420.90",147.76,"4,838,407",96,5,2016.0,,
80,ISO Public Services,Germany,Technology,"1,389.24",146.03,"10,019,903",26,0,2014.0,,
81,Octopus Energy,UK,Energy,"1,368.58",144.89,"2,120,071,949",918,106,2015.0,,
82,CyberIAM*,UK,Cyber Security,"1,367.04",144.8,"5,639,335",82,8,2017.0,,
83,Cbweed*,Italy,Personal & Household Goods,"1,328.57",142.64,"3,500,000",17,2,2017.0,,
84,Catraport,Portugal,Automobiles,"1,306.55",141.39,"7,294,549",46,18,2015.0,,
85,OUIHELP,France,Support Services,"1,304.85",141.29,"3,686,617",106,13,2016.0,,
86,Inpay,Denmark,Fintech,"1,298.53",140.93,"23,803,000",67,33,2013.0,,
87,M.G.I. Meccaniche Generali Irpine,Italy,Industrial Goods,"1,283.67",140.07,"2,610,700",10,4,2017.0,,
88,Glencar Construction,UK,Construction,"1,269.90",139.27,"107,860,442",80,7,2016.0,,
89,Qmee,UK,Technology,"1,268.04",139.17,"12,571,314",23,9,2010.0,,
90,MyAppFree,Italy,Advertising,"1,264.72",138.97,"5,764,870",10,1,2015.0,,
91,Investa Dienstleistungen,Germany,Support Services,"1,262.58",138.85,"2,176,136",55,8,2014.0,,
92,Polarium Energy Solutions,Sweden,Batteries,"1,257.04",138.52,"74,065,413",58,19,2014.0,,
93,Baroni Home,Italy,Ecommerce,"1,254.32",138.36,"1,531,358",5,4,2016.0,,
94,Dayshape,UK,Technology,"1,251.43",138.19,"3,320,479",45,6,2013.0,,
95,Marketers Company,Italy,Advertising,"1,249.94",138.11,"1,880,460",8,3,2016.0,,
96,Easo Magno,Spain,Beauty,"1,242.47",137.67,"3,061,854",5,2,2017.0,,
97,Greyfood,Germany,Retail,"1,241.42",137.6,"9,187,050",10,1,2016.0,,
98,Misfits Health,UK,Food & Beverage,"1,234.31",137.18,"2,266,155",9,3,2016.0,,
99,MeilleursBiens.com,France,Property,"1,225.70",136.67,"3,864,176",5,1,2010.0,,
100,Fasanara Capital,UK,Financial Services,"1,216.25",136.11,"11,527,860",36,5,2011.0,,
101,NtechLab,Cyprus,Technology,"1,214.76",136.02,"8,730,000",122,44,2015.0,,
102,Babylino Sensitive,Italy,Personal & Household Goods,"1,211.43",135.82,"2,851,840",5,2,2016.0,,
103,Fastned,The Netherlands,Technology,"1,198.37",135.03,"6,890,000",54,24,2012.0,,
104,Oxray,Portugal,Health,"1,179.02",133.86,"5,465,756",6,2,2009.0,,
105,ZEGA Invest,Germany,Property,"1,163.47",132.91,"3,785,340",4,3,2017.0,,
106,Abylon Consulting,Hungary,Technology,"1,156.25",132.47,"1,721,315",7,2,2016.0,,
107,Milrab,Norway,Ecommerce,"1,151.36",132.16,"79,302,201",77,20,2005.0,,
108,Urbantz,Belgium,Technology,"1,150.62",132.12,"3,031,099",55,7,2015.0,,
109,Tricas Construction,UK,Construction,"1,148.16",131.97,"15,880,745",32,6,2017.0,,
110,Florence One,Italy,Technology,"1,137.06",131.28,"1,629,099",10,6,2017.0,,
111,Ergotopia,Germany,Retail,"1,135.70",131.19,"7,664,825",35,8,2014.0,,
112,Mcule.com Kft.,Hungary,Chemicals & Pharmaceuticals,"1,133.10",131.03,"2,683,264",17,5,2011.0,,
113,Filo,Italy,Technology,"1,132.04",130.96,"10,049,610",18,9,2014.0,,
114,Homepal,Italy,Property,"1,131.09",130.9,"1,603,990",11,4,2014.0,,
115,Staffbase,Germany,Technology,"1,121.82",130.32,"26,894,501",310,55,2014.0,,
116,ILON MATERIEL,France,Construction,"1,111.76",129.69,"2,512,300",4,2,2016.0,,
117,Bio-marine,Ireland,Personal & Household Goods,"1,110.84",129.63,"1,612,837",25,7,2014.0,,
118,ISODECO,France,Construction,"1,103.81",129.18,"2,906,133",18,2,2016.0,,
119,Treedom,Italy,Support Services,"1,097.84",128.81,"6,709,720",42,18,2010.0,,
120,Fenstermaxx24,Germany,Retail,"1,087.64",128.15,"8,466,121",20,3,2016.0,,
121,Pohl & SÃ¶hne GerÃ¼stbau,Germany,Construction,"1,075.04",127.34,"2,124,763",31,7,2017.0,,
122,YSO CORP,France,Media,"1,073.57",127.25,"6,689,503",13,3,2013.0,,
123,Gyada Cosmetics,Italy,Beauty,"1,072.49",127.18,"1,830,610",10,2,2017.0,,
124,Privitar,UK,Technology,"1,068.59",126.93,"9,923,965",190,47,2014.0,,
125,Delineate,UK,Technology,"1,065.09",126.7,"3,332,661",25,1,2015.0,,
126,Spyrosoft,Poland,Technology,"1,061.67",126.48,"24,721,755",563,75,2016.0,,
127,Bio Energy Solutions,Slovakia,Waste management & recycling,"1,057.21",126.19,"16,006,537",37,6,2014.0,,
128,Increso,Italy,Management Consulting,"1,049.47",125.68,"3,230,000",51,2,2015.0,,
129,LSG - Logistic & Service Group,Italy,Transport,"1,041.38",125.15,"8,873,180",46,1,2016.0,,
