,column_name,cluster
0,09-wissel-url,7
1,09-wissel-id,1
2,09-wissel-name,8
3,09-wissel-company_id,2
4,09-wissel-company_status,5
5,09-wissel-company_type,5
6,09-wissel-registration_date,4
7,09-wissel-incorporation_date,6
8,09-wissel-dissolution_date,4
9,09-wissel-office_address,9
10,10-DeBiGa-name,8
11,10-DeBiGa-company_number,2
12,10-DeBiGa-registered_office_address,3
13,10-DeBiGa-company_status,5
14,10-DeBiGa-company_type,0
15,10-DeBiGa-company_creation_date,6
16,10-DeBiGa-nature_of_business,3
