,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev
0,09-wissel-url,0,5,75.0,0.0,0.0,0.0,0.10406257885440383,0,0,0.0,0.0,0.0
1,09-wissel-id,1,0,0.0,0.0,0.0,0.0,0.0,1,1321,661.0,145530.16666666666,381.4841630614129
2,09-wissel-name,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3,09-wissel-company_id,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
4,09-wissel-company_status,0,5,6.404400606980273,1.437702715626055,1.199042416107977,0.0,0.0,0,0,0.0,0.0,0.0
5,09-wissel-company_type,0,5,21.224242424242423,9.599411859305718,3.0982917647157953,0.0,0.0,0,0,0.0,0.0,0.0
6,09-wissel-registration_date,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
7,09-wissel-incorporation_date,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
8,09-wissel-dissolution_date,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
9,09-wissel-office_address,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
10,10-DeBiGa-name,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
11,10-DeBiGa-company_number,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12,10-DeBiGa-registered_office_address,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
13,10-DeBiGa-company_status,0,5,6.473142857142857,1.4160524156512153,1.1899800064081814,3.361344537815126e-05,0.0,0,0,0.0,0.0,0.0
14,10-DeBiGa-company_type,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
15,10-DeBiGa-company_creation_date,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
16,10-DeBiGa-nature_of_business,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
