,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev
0,09-wissel-url,0.0,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0
1,09-wissel-id,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2,09-wissel-name,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,09-wissel-company_id,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,09-wissel-company_status,0.0,1.0,0.0853920080930703,0.14976987514420884,0.3870011306756207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,09-wissel-company_type,0.0,1.0,0.282989898989899,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,09-wissel-registration_date,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,09-wissel-incorporation_date,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,09-wissel-dissolution_date,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,09-wissel-office_address,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10-DeBiGa-name,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10-DeBiGa-company_number,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10-DeBiGa-registered_office_address,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,10-DeBiGa-company_status,0.0,1.0,0.08630857142857144,0.1475144973885548,0.38407616092196456,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,10-DeBiGa-company_type,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10-DeBiGa-company_creation_date,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10-DeBiGa-nature_of_business,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
