,company_creation_date,company_id,company_number,company_status,company_type,dissolution_date,id,incorporation_date,name,nature_of_business,office_address,registered_office_address,registration_date,url
company_creation_date,1.0,0.2962962962962963,0.25806451612903225,0.25806451612903225,0.32142857142857145,0.28125,0.0,0.30303030303030304,0.03571428571428571,0.0,0.0,0.0,0.3125,0.0
company_id,0.2962962962962963,1.0,0.4,0.4,0.4444444444444444,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
company_number,0.25806451612903225,0.4,1.0,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
company_status,0.25806451612903225,0.4,0.3333333333333333,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.058823529411764705,0.03225806451612903,0.023809523809523808,0.0,0.0
company_type,0.32142857142857145,0.4444444444444444,0.36363636363636365,0.36363636363636365,1.0,0.03225806451612903,0.0,0.030303030303030304,0.05263157894736842,0.0,0.0,0.0,0.03125,0.0
dissolution_date,0.28125,0.0,0.0,0.0,0.03225806451612903,1.0,0.0,0.3103448275862069,0.043478260869565216,0.0,0.0,0.0,0.32142857142857145,0.0
id,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
incorporation_date,0.30303030303030304,0.0,0.0,0.0,0.030303030303030304,0.3103448275862069,0.043478260869565216,1.0,0.04,0.0,0.0,0.0,0.39285714285714285,0.0
name,0.03571428571428571,0.0,0.0,0.0,0.05263157894736842,0.043478260869565216,0.0,0.04,1.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0
nature_of_business,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.08333333333333333,1.0,0.09090909090909091,0.09302325581395349,0.0,0.0
office_address,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.4827586206896552,0.0,0.0
registered_office_address,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.4827586206896552,1.0,0.15,0.0
registration_date,0.3125,0.0,0.0,0.0,0.03125,0.32142857142857145,0.0,0.39285714285714285,0.041666666666666664,0.0,0.0,0.15,1.0,0.0
url,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
