,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int
0,09-wissel-index,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,09-wissel-url,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20279566020755202,0.0,0.0,0.0,0.0,0.0,0.0
2,09-wissel-name,0.0,1.0,0.27116681193445713,0.8930902525919363,0.94503452455026,0.7350637019462779,0.0,0.017202408619487776,0.0,0.0,0.0,0.0,0.0,0.0
3,09-wissel-trade_name,0.0,1.0,0.14600259826980233,0.5555628592935361,0.7453608919802112,0.38868746429085804,0.0,0.005676106304864277,0.0,0.0,0.0,0.0,0.0,0.0
4,09-wissel-address_name,0.0,1.0,0.2536642687365101,0.6678992817233423,0.8172510518337327,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,09-wissel-postalcode,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,09-wissel-city,0.0,1.0,0.09957439369918157,0.18506995593392914,0.43019757778714784,0.16576120964321428,0.0,0.0023694844115738863,0.0,0.0,0.0,0.0,0.0,0.0
7,09-wissel-state,0.0,1.0,0.11623203676772287,0.12150836972277605,0.3485805068026266,0.1941386898761747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,09-wissel-country,0.0,1.0,0.11780529907765068,0.11266452291385858,0.33565536330268664,0.31540432825887327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,09-wissel-location_type,0.0,1.0,0.1323693908662941,0.011449941955891288,0.10700440157251143,0.11549910790990021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
