,name,trade_name,address_name,postalcode,city,state,country,location_type
0,,,,,,,,
1,CRAIG & ROSE LIMITED,,7th Floor Suite 1 50 Broadway,              SW1H 0BL,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2,SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,,VIA DELLA DATARIA 96,187,ROMA,ITALY,ITALY,Headquarter
3,BIH REAL ESTATE OU,,Narva mnt 6-44,10117,Tallinn,ESTONIA,ESTONIA,Single address
4,,,,,,,,
5,,,,,,,,
6,CRISTINA SRL,,VIA FAVA 56,28024,GOZZANO,ITALY,ITALY,Headquarter
7,RECTICEL OU,,Peterburi tee 48a,11415,Tallinn,ESTONIA,ESTONIA,Single address
8,,,,,,,,
9,DESIGNERS GUILD LIMITED,,3 Latimer Place,              W10 6QT,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
10,BANCA PICCOLO CREDITO VALTELLINESE SPA,CREDITO VALTELLINESE,PIAZZA QUADRIVIO 8,23100,SONDRIO,ITALY,ITALY,
11,SEB PANK AS,,2 Tornimae tn 2,15010,Tallinn,ESTONIA,ESTONIA,Headquarter
12,,,,,,,,
13,NATIONAL GRID GRAIN LNG LIMITED,,Isle Of Grain Road Isle Of Grain,              ME3 0AB,ROCHESTER,UNITED KINGDOM,UNITED KINGDOM,Single address
14,IVECO GROUP N.V.,,VIA PUGLIA 35,10156,TORINO,ITALY,ITALY,Headquarter
15,TBB PANK AS,,Vana-Viru tn 7,15097,Tallinn,ESTONIA,ESTONIA,Headquarter
16,,,,,,,,
17,LACTALIS MCLELLAND LIMITED,,RED CENTRAL 60 HIGH STREET,              RH1 1SH,REDHILL,UNITED KINGDOM,UNITED KINGDOM,Headquarter
18,DALMATA SPA,,VIA DELLE NAZIONI UNITE 4,43044,COLLECCHIO,ITALY,ITALY,Headquarter
19,,,,,,,,
20,,,,,,,,
21,LACTALIS (UK) LIMITED,,Redcentral 60 High Street,              RH1 1SH,REDHILL,UNITED KINGDOM,UNITED KINGDOM,Single address
22,INTESA SANPAOLO ASSICURA SPA,,CORSO INGHILTERRA 3,10138,TORINO,ITALY,ITALY,Headquarter
23,SWEDBANK SUPPORT OU,,Liivalaia tn 8,10118,Tallinn,ESTONIA,ESTONIA,Single address
24,,,,,,,,
25,RONLY LIMITED,,201 Haverstock Hill,              NW3 4QG,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
26,CIRO PAONE SPA,,VIALE DELLE INDUSTRIE SNC,80022,ARZANO,ITALY,ITALY,Headquarter
27,,,,,,,,
28,,,,,,,,
29,THE ENCORE GROUP (ENVELOPES AND PACKAGING) LIMITED,,Industrial Road Hertburn Industrial Estate Hertburn,              NE37 2SA,WASHINGTON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
30,DIAMALTERIA ITALIANA SRL,,PIAZZA SICILIA 6,20146,MILANO,ITALY,ITALY,Headquarter
