,column_name,cluster
0,00-avengers-id,1
1,00-avengers-name,8
2,00-avengers-world_rank,1
3,00-avengers-annual_revenue_in_usd,1
4,00-avengers-annual_net_income_in_usd,1
5,00-avengers-annual_results_for_year_ending,9
6,00-avengers-total_assets_in_usd,1
7,00-avengers-total_liabilities_in_usd,1
8,00-avengers-total_equity_in_usd,1
9,00-avengers-headquarters_region_city,6
10,00-avengers-headquarters_country,2
11,00-avengers-headquarters_sub_region,0
12,00-avengers-headquarters_continent,6
13,00-avengers-company_business,3
14,00-avengers-number_of_employees,1
15,00-avengers-ceo,0
16,00-avengers-founders,7
17,00-avengers-company_website,4
18,02-GioPonSpiz-name,8
19,02-GioPonSpiz-world_rank,1
20,02-GioPonSpiz-marketvalue,1
21,02-GioPonSpiz-marketcap,1
22,02-GioPonSpiz-ceo,0
23,02-GioPonSpiz-country,2
24,03-gren-name,8
25,03-gren-annual_revenue_usd,1
26,03-gren-annual_net_income_usd,1
27,03-gren-market_capitalization_2022,1
28,03-gren-employees_number,1
29,03-gren-ceo,0
30,03-gren-headquarters_country,2
31,03-gren-wikipedia_page_url,11
32,03-gren-twitter_page_url,4
33,03-gren-facebook_page_url,4
34,04-iGMM-name,8
35,04-iGMM-ceo,0
36,04-iGMM-market_value__jan_07_2022,1
37,04-iGMM-world_rank__jan_07_2022,1
38,04-iGMM-market_value__jan_1st_2020,1
39,04-iGMM-world_rank__jan_2020,1
40,04-iGMM-headquarters_country,2
41,04-iGMM-number_of_employees,1
42,04-iGMM-company_business,10
43,04-iGMM-annual_revenue_in_usd,5
44,04-iGMM-annual_net_income_in_usd,5
45,04-iGMM-company_website,4
46,07-silvestri-ceo,0
47,07-silvestri-country,6
48,07-silvestri-market_value_jan_2020,1
49,07-silvestri-market_value_jan_2021,1
50,07-silvestri-market_value_jan_2022,1
51,07-silvestri-name,8
52,07-silvestri-employees_2022,1
53,07-silvestri-revenue_2022,1
54,07-silvestri-sector,6
55,08-slytherin-link,11
56,08-slytherin-rank,1
57,08-slytherin-name,8
58,08-slytherin-ceo,0
59,08-slytherin-founded,1
60,08-slytherin-revenue,1
61,08-slytherin-country,2
62,08-slytherin-industry,3
