,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int
0,00-avengers-id,0,5,32.0,0.0,0.0,0.0,0,0.6317812675528928,0.0,0.0,0.0,0.0,0,0.0
1,00-avengers-name,0,5,20.98427260812582,112.02390766764961,10.584134715112503,0.0795487240410865,0,0.001666092521138112,0.0,0.0,0.0,0.0,0,0.0
2,00-avengers-world_rank,1,0,0.0,0.0,0.0,0.0,0,0.0,999.0,48.43493727766336,29837.076610936052,172.73412115426427,2,0.0
3,00-avengers-annual_revenue_in_usd,0,5,13.267719382835102,1.8078836950841757,1.3445756561399496,0.10282892633724358,0,0.44387588360273694,0.0,0.0,0.0,0.0,0,0.0
4,00-avengers-annual_net_income_in_usd,0,5,14.362924596482776,1.2178663041558124,1.1035698003098002,0.12810233510968272,0,0.3762192595054075,0.0,0.0,0.0,0.0,0,0.0
5,00-avengers-annual_results_for_year_ending,0,5,18.452934131736527,58.51467278880974,7.649488400462461,0.08815319799960519,0,0.4393809448368393,0.0,0.0,0.0,0.0,0,0.0
6,00-avengers-total_assets_in_usd,0,5,12.85427135678392,1.2658568631573504,1.1251030455728712,0.0899752597695437,0,0.49803023966918997,0.0,0.0,0.0,0.0,0,0.0
7,00-avengers-total_liabilities_in_usd,0,5,13.275411483854755,1.671311639531336,1.2927921872951338,0.10053012071481728,0,0.47356948425098094,0.0,0.0,0.0,0.0,0,0.0
8,00-avengers-total_equity_in_usd,0,5,13.191002764513696,1.8843377903656127,1.3727118380656635,0.10126831731977495,0,0.4690820947291842,0.0,0.0,0.0,0.0,0,0.0
9,00-avengers-headquarters_region_city,0,5,8.150591715976331,5.473320158794923,2.339512803725366,0.013990049234132074,0,0.6835798539599326,0.0,0.0,0.0,0.0,0,0.0
10,00-avengers-headquarters_country,0,5,5.3177981995498875,5.931162140272478,2.4353977375928717,0.005495783440604133,1,0.0016850777008050927,0.0,0.0,0.0,0.0,0,0.0
11,00-avengers-headquarters_sub_region,0,5,14.02896370133534,4.566639629454407,2.1369697305891835,0.07759278798751244,0,0.004493540535480247,0.0,0.0,0.0,0.0,0,0.0
12,00-avengers-headquarters_continent,0,5,5.654564218031711,3.086330029160514,1.7567953862531953,0.0,0,0.0021531548399176185,0.0,0.0,0.0,0.0,0,0.0
13,00-avengers-company_business,0,5,59.145153619328454,1259.9220410556416,35.49538055938606,0.07406612279393848,0,0.015824732519797505,0.0,0.0,0.0,0.0,0,0.0
14,00-avengers-number_of_employees,1,0,0.0,0.0,0.0,0.0,0,0.0,990.0,37.960213443175434,22267.448936495963,149.2228164071968,1,0.0
15,00-avengers-ceo,0,5,14.65492393915132,16.077141200139597,4.0096310553640215,0.09455290813448951,0,0.8830743306496911,0.0,0.0,0.0,0.0,0,0.0
16,00-avengers-founders,0,5,29.007614213197968,458.9592294080416,21.42333376036609,0.09952981086397575,0,0.9631176017807734,0.0,0.0,0.0,0.0,0,0.0
17,00-avengers-company_website,0,5,25.897490143283008,24.65481097256585,4.965361112000401,0.0,0,0.02864062112718207,0.0,0.0,0.0,0.0,0,0.0
18,02-GioPonSpiz-name,0,5,20.98558052434457,111.95540588077058,10.580898160400684,0.07980454641253079,0,0.0016647325063614388,0.0,0.0,0.0,0.0,0,0.0
19,02-GioPonSpiz-world_rank,1,0,0.0,0.0,0.0,0.0,0,0.0,999.0,48.44400749063671,29842.22516307513,172.7490236240863,2,0.0
20,02-GioPonSpiz-marketvalue,0,5,11.242790262172285,1.5763128429803601,1.2555129800126958,0.08869212092526699,0,0.29046303259791256,0.0,0.0,0.0,0.0,0,0.0
21,02-GioPonSpiz-marketcap,0,5,11.115074906367042,2.203724406786675,1.4844946637784437,0.08824764810719868,0,0.29401881514246075,0.0,0.0,0.0,0.0,0,0.0
22,02-GioPonSpiz-ceo,0,5,14.713893967093236,19.587784823147466,4.425808945621972,0.10002902168001339,0,0.8975655430711611,0.0,0.0,0.0,0.0,0,0.0
23,02-GioPonSpiz-country,0,5,5.273033707865168,5.263773172381792,2.2942914314406075,0.0053643324772703485,1,0.0,0.0,0.0,0.0,0.0,0,0.0
24,03-gren-name,0,5,20.98427260812582,112.02390766764958,10.584134715112501,0.0795487240410865,0,0.001666092521138112,0.0,0.0,0.0,0.0,0,0.0
25,03-gren-annual_revenue_usd,0,5,9.451226362104475,13.10879963811033,3.620607633824788,0.06702513145594967,0,0.3850487573339127,0.0,0.0,0.0,0.0,0,0.0
26,03-gren-annual_net_income_usd,0,5,9.703800786369595,13.591314079961931,3.6866399444428977,0.06646730134372898,0,0.3832481878727903,0.0,0.0,0.0,0.0,0,0.0
27,03-gren-market_capitalization_2022,0,5,10.638457217749485,4.269986122549248,2.066394474089894,0.08413367977588161,0,0.3057110648198917,0.0,0.0,0.0,0.0,0,0.0
28,03-gren-employees_number,1,0,0.0,0.0,0.0,0.0,0,0.0,2300000.0,12945.181707545404,2550170850.25918,50499.21633311927,2,0.0
29,03-gren-ceo,0,5,14.631705364291433,15.027711913120237,3.876559287966616,0.09456724360738415,0,0.8830743306496911,0.0,0.0,0.0,0.0,0,0.0
30,03-gren-headquarters_country,0,5,5.296136534133534,5.431754743056016,2.3306125252937298,0.00561719058634835,1,0.0016850777008050927,0.0,0.0,0.0,0.0,0,0.0
31,03-gren-wikipedia_page_url,0,5,44.51151930261519,62.61743188595555,7.913117709598129,0.0,0,0.6999120096540917,0.0,0.0,0.0,0.0,0,0.0
32,03-gren-twitter_page_url,0,5,30.15423901940756,13.850419128905378,3.72161512369366,0.0,0,0.9083984393771856,0.0,0.0,0.0,0.0,0,0.0
33,03-gren-facebook_page_url,0,5,37.34934497816594,28.93025831667664,5.378685556590629,0.0,0,0.9358220598351038,0.0,0.0,0.0,0.0,0,0.0
34,04-iGMM-name,0,5,20.8292,111.60598795879588,10.564373524198956,0.07912128000049866,0,0.0017294086757683755,0.0,0.0,0.0,0.0,0,0.0
35,04-iGMM-ceo,0,5,14.570856685348279,13.995175627681633,3.741012647356546,0.09444089007154781,0,0.8751,0.0,0.0,0.0,0.0,0,0.0
36,04-iGMM-market_value__jan_07_2022,0,5,10.4361,6.3291497049704954,2.5157801384402605,0.08461844988344988,0,0.32305240093245013,0.0,0.0,0.0,0.0,0,0.0
37,04-iGMM-world_rank__jan_07_2022,1,0,0.0,0.0,0.0,0.0,0,0.0,999.0,51.7382,31701.24678543854,178.04843943556074,1,0.0
38,04-iGMM-market_value__jan_1st_2020,0,5,9.431,14.00123912391239,3.7418229680080257,0.07577996503496504,0,0.393760279720334,0.0,0.0,0.0,0.0,0,0.0
39,04-iGMM-world_rank__jan_2020,1,0,0.0,0.0,0.0,0.0,0,0.0,28833.0,4207.2322,12403016.770560216,3521.791698916933,2,0.0
40,04-iGMM-headquarters_country,0,5,5.261666332866012,5.271033136927503,2.2958730663796514,0.00527938720157827,1,0.0014,0.0,0.0,0.0,0.0,0,0.0
41,04-iGMM-number_of_employees,1,0,0.0,0.0,0.0,0.0,0,0.0,990.0,38.5321,22787.945964186427,150.95676852723903,1,0.0
42,04-iGMM-company_business,0,5,45.0727,221.99461417141717,14.899483688081851,0.06928265265862729,0,3.7789661319073085e-06,0.0,0.0,0.0,0.0,0,0.0
43,04-iGMM-annual_revenue_in_usd,0,5,16.340073297106027,1.6278896306228108,1.2758877813596345,0.12318185375537212,0,0.38646528819690634,0.0,0.0,0.0,0.0,0,0.0
44,04-iGMM-annual_net_income_in_usd,0,5,15.129182977648693,1.1013950257470808,1.049473689878446,0.1328053844676092,0,0.3544325167084485,0.0,0.0,0.0,0.0,0,0.0
45,04-iGMM-company_website,0,5,25.88237103886781,24.63549534170065,4.963415693018332,0.0,0,0.027061869403225,0.0,0.0,0.0,0.0,0,0.0
46,07-silvestri-ceo,0,5,15.224422442244224,18.29383865538872,4.277129721599372,0.08211240476066983,0,0.697,0.0,0.0,0.0,0.0,0,0.0
47,07-silvestri-country,0,5,6.131,7.747586586586587,2.7834486858188328,0.0008373848373848374,0,0.0,0.0,0.0,0.0,0.0,0,0.0
48,07-silvestri-market_value_jan_2020,0,5,10.328,8.809225225225225,2.968033898934651,0.08126818181818182,0,0.3498545454545426,0.0,0.0,0.0,0.0,0,0.0
49,07-silvestri-market_value_jan_2021,0,5,10.687,5.98902002002002,2.447247437432517,0.08387424242424242,0,0.3290060606060581,0.0,0.0,0.0,0.0,0,0.0
50,07-silvestri-market_value_jan_2022,0,5,11.271,0.337896896896897,0.5812889960225438,0.0889621212121212,0,0.28830303030302973,0.0,0.0,0.0,0.0,0,0.0
51,07-silvestri-name,0,5,15.345,68.62860360360361,8.284238263328959,0.08308017558813674,0,0.00155460358056266,0.0,0.0,0.0,0.0,0,0.0
52,07-silvestri-employees_2022,1,0,0.0,0.0,0.0,0.0,0,0.0,973.0,26.874,16365.385509509511,127.92726648181579,1,0.0
53,07-silvestri-revenue_2022,0,5,12.910478128179044,1.2954399951932338,1.1381739740449321,0.09424753781315326,0,0.322275228937727,0.0,0.0,0.0,0.0,0,0.0
54,07-silvestri-sector,0,5,13.696696696696696,19.19148206322555,4.380808380108122,0.0342241908560465,0,0.001,0.0,0.0,0.0,0.0,0,0.0
55,08-slytherin-link,0,5,52.5324,109.66171641164115,10.471949026405788,0.0,0,0.0005737830292145015,0.0,0.0,0.0,0.0,0,0.0
56,08-slytherin-rank,1,0,0.0,0.0,0.0,0.0,0,1.0,9356.0,4727.5836,7274372.035414583,2697.1043797774278,2,0.0
57,08-slytherin-name,0,5,20.8315,111.55546329632965,10.561981977655977,0.07939537426267866,0,0.0017276229614826611,0.0,0.0,0.0,0.0,0,0.0
58,08-slytherin-ceo,0,5,9.7909,6.531830373037304,2.555744582902858,0.10916513865637921,0,0.0,0.0,0.0,0.0,0.0,0,0.0
59,08-slytherin-founded,1,0,0.0,0.0,0.0,0.0,0,0.0,2022.0,1219.6463,916619.9747937894,957.4027234104724,2,0.0
60,08-slytherin-revenue,0,5,12.4762,9.891222682268227,3.1450314278665368,0.10396018595347964,0,0.2276091949723646,0.0,0.0,0.0,0.0,0,0.0
61,08-slytherin-country,0,5,5.2669,5.283192709270929,2.2985196778080734,0.005427551615051615,1,0.0,0.0,0.0,0.0,0.0,0,0.0
62,08-slytherin-industry,0,5,59.489,1300.7583548354835,36.06602771079016,0.07409072616903839,0,3.979277647694752e-06,0.0,0.0,0.0,0.0,0,0.0
