,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int
0,00-avengers-id,0.0,1.0,0.5379145724419641,0.0,0.0,0.0,0.0,0.6317812675528928,0.0,0.0,0.0,0.0,0.0,0.0
1,00-avengers-name,0.0,1.0,0.3527420633751756,0.08612199741113183,0.29346549611688905,0.5989871898641894,0.0,0.001666092521138112,0.0,0.0,0.0,0.0,0.0,0.0
2,00-avengers-world_rank,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004343478260869565,0.0037415417080960646,1.1700030454000224e-05,0.003420530726948703,1.0,0.0
3,00-avengers-annual_revenue_in_usd,0.0,1.0,0.2230281124718032,0.0013898689855525333,0.037280946682622385,0.7742828105160392,0.0,0.44387588360273694,0.0,0.0,0.0,0.0,0.0,0.0
4,00-avengers-annual_net_income_in_usd,0.0,1.0,0.24143832635416254,0.0009362740586124045,0.030598595696737528,0.9645869075506232,0.0,0.3762192595054075,0.0,0.0,0.0,0.0,0.0,0.0
5,00-avengers-annual_results_for_year_ending,0.0,1.0,0.31019069293039936,0.04498504474046643,0.21209678154198008,0.6637772884962015,0.0,0.4393809448368393,0.0,0.0,0.0,0.0,0.0,0.0
6,00-avengers-total_assets_in_usd,0.0,1.0,0.216078121279294,0.0009731683509482071,0.031195646346056156,0.677497076871069,0.0,0.49803023966918997,0.0,0.0,0.0,0.0,0.0,0.0
7,00-avengers-total_liabilities_in_usd,0.0,1.0,0.2231574153852772,0.001284874806545232,0.03584515039088596,0.7569732290435577,0.0,0.47356948425098094,0.0,0.0,0.0,0.0,0.0,0.0
8,00-avengers-total_equity_in_usd,0.0,1.0,0.2217385191298172,0.0014486455407806615,0.03806107645325683,0.7625317130456707,0.0,0.4690820947291842,0.0,0.0,0.0,0.0,0.0,0.0
9,00-avengers-headquarters_region_city,0.0,1.0,0.1370100643140132,0.004207791661262997,0.06486749310142173,0.10534248509738851,0.0,0.6835798539599326,0.0,0.0,0.0,0.0,0.0,0.0
10,00-avengers-headquarters_country,0.0,1.0,0.08939128577636013,0.004559772472899192,0.06752608735073573,0.041382233579125224,1.0,0.0016850777008050927,0.0,0.0,0.0,0.0,0.0,0.0
11,00-avengers-headquarters_sub_region,0.0,1.0,0.23582450035023853,0.0035107517183942927,0.05925159675818275,0.584259352876141,0.0,0.004493540535480247,0.0,0.0,0.0,0.0,0.0,0.0
12,00-avengers-headquarters_continent,0.0,1.0,0.09505226542775488,0.002372715898911804,0.04871053170426087,0.0,0.0,0.0021531548399176185,0.0,0.0,0.0,0.0,0.0,0.0
13,00-avengers-company_business,0.0,1.0,0.9942200006611046,0.9686057647617363,0.9841777099496494,0.5577042157654607,0.0,0.015824732519797505,0.0,0.0,0.0,0.0,0.0,0.0
14,00-avengers-number_of_employees,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043043478260869567,0.002932381661436968,8.731747888276923e-06,0.0029549531110115643,0.5,0.0
15,00-avengers-ceo,0.0,1.0,0.24634678577806518,0.012359821592053498,0.11117473450408369,0.7119659230198656,0.0,0.8830743306496911,0.0,0.0,0.0,0.0,0.0,0.0
16,00-avengers-founders,0.0,1.0,0.48761307490793204,0.35283973207005814,0.5940031414648057,0.7494410807436106,0.0,0.9631176017807734,0.0,0.0,0.0,0.0,0.0,0.0
17,00-avengers-company_website,0.0,1.0,0.4353324168045018,0.01895418228982594,0.13767418890200858,0.0,0.0,0.02864062112718207,0.0,0.0,0.0,0.0,0.0,0.0
18,02-GioPonSpiz-name,0.0,1.0,0.35276404922497556,0.08606933444984899,0.2933757564112089,0.6009134850401706,0.0,0.0016647325063614388,0.0,0.0,0.0,0.0,0.0,0.0
19,02-GioPonSpiz-world_rank,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004343478260869565,0.0037422423713372815,1.1702049358787938e-05,0.0034208258299404746,1.0,0.0
20,02-GioPonSpiz-marketvalue,0.0,1.0,0.18898939740409632,0.0012118414132190817,0.034811512653417996,0.6678352785229029,0.0,0.29046303259791256,0.0,0.0,0.0,0.0,0.0,0.0
21,02-GioPonSpiz-marketcap,0.0,1.0,0.18684252393496348,0.0016941843183973983,0.04116047033741716,0.6644884803501472,0.0,0.29401881514246075,0.0,0.0,0.0,0.0,0.0,0.0
22,02-GioPonSpiz-ceo,0.0,1.0,0.24733806194579228,0.015058742271638052,0.12271406713021149,0.7532000459244191,0.0,0.8975655430711611,0.0,0.0,0.0,0.0,0.0,0.0
23,02-GioPonSpiz-country,0.0,1.0,0.08863880226369864,0.004046695647053937,0.06361364356059113,0.04039243211993932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,03-gren-name,0.0,1.0,0.3527420633751756,0.0861219974111318,0.293465496116889,0.5989871898641894,0.0,0.001666092521138112,0.0,0.0,0.0,0.0,0.0,0.0
25,03-gren-annual_revenue_usd,0.0,1.0,0.158873512113239,0.010077813138296771,0.10038831176136379,0.50468685230377,0.0,0.3850487573339127,0.0,0.0,0.0,0.0,0.0,0.0
26,03-gren-annual_net_income_usd,0.0,1.0,0.16311924534568734,0.010448761700770259,0.10221918460235464,0.5004864946566993,0.0,0.3832481878727903,0.0,0.0,0.0,0.0,0.0,0.0
27,03-gren-market_capitalization_2022,0.0,1.0,0.178830661428995,0.0032826897530012825,0.05729476200318213,0.6335110591574059,0.0,0.3057110648198917,0.0,0.0,0.0,0.0,0.0,0.0
28,03-gren-employees_number,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
29,03-gren-ceo,0.0,1.0,0.24595648547280055,0.011553038930909578,0.1074850637572941,0.7120738664812856,0.0,0.8830743306496911,0.0,0.0,0.0,0.0,0.0,0.0
30,03-gren-headquarters_country,0.0,1.0,0.08902715685477204,0.004175836905343583,0.06462071576006863,0.04229640694815627,1.0,0.0016850777008050927,0.0,0.0,0.0,0.0,0.0,0.0
31,03-gren-wikipedia_page_url,0.0,1.0,0.748231089825265,0.04813917331622693,0.21940641129243904,0.0,0.0,0.6999120096540917,0.0,0.0,0.0,0.0,0.0,0.0
32,03-gren-twitter_page_url,0.0,1.0,0.506887643419919,0.010647957076283505,0.1031889387302898,0.0,0.0,0.9083984393771856,0.0,0.0,0.0,0.0,0.0,0.0
33,03-gren-facebook_page_url,0.0,1.0,0.6278361542161733,0.02224107053330106,0.1491344042577066,0.0,0.0,0.9358220598351038,0.0,0.0,0.0,0.0,0.0,0.0
