06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
it services & consulting,"mumbai, maharashtra, india",tcs
it services & consulting,"dublin, ireland",accenture
it services & consulting,"teaneck. new jersey., united states (usa)",cognizant
banking,"mumbai, maharashtra, india",icici bank
banking,"mumbai, maharashtra, india",hdfc bank
it services & consulting,"bangalore/bengaluru, karnataka, india",wipro
it services & consulting,"bengaluru/bangalore, karnataka, india",infosys
it services & consulting,"paris, france",capgemini
it services & consulting,"pune, maharashtra, india",tech mahindra
it services & consulting,"new york, new york, united states (usa)",genpact
it services & consulting,,hcltech
internet,"seattle,washington, united states",amazon
banking,"mumbai, maharashtra, india",axis bank
software product,"armonk,new york, united states",ibm
bpo,"fremont, california, united states (usa)",concentrix corporation
telecom,"navi mumbai, maharashtra, india",reliance jio
engineering & construction,"mumbai, maharashtra, india",larsen & toubro limited
nbfc,"ahmedabad, gujrat, india",hdb financial services
it services & consulting,"gandhinagar, gujrat, india",vodafone idea
bpo,"paris, france",teleperformance
retail,"navi mumbai, maharashtra, india",reliance retail
banking,"mumbai, maharashtra, india",kotak mahindra bank
management consulting,"new york, new york, united states (usa)",deloitte
oil & gas,"navi mumbai, maharashtra, india",reliance industries
telecom,"gurgaon/gurugram, haryana, india",bharti airtel
automobile,"pune, maharashtra, india",tata motors
edtech,"bangalore,karnataka, india",byju's
internet,"bangalore,karnataka, india",flipkart
analytics & kpo,"mumbai, maharashtra, india",wns
automobile,"mumbai, maharashtra, india",mahindra & mahindra
banking,"gurgaon/gurugram, haryana, india",indusind bank
consulting,"london, england",ernst & young
it services & consulting,"minato,tokyo, japan",dxc technology
bpo,"bangalore/bengaluru, karnataka, india",hinduja global solutions
bpo,"bangalore/bengaluru, karnataka, india",infosys bpm
automobile,"new delhi, delhi, india",maruti suzuki
banking,"mumbai, maharashtra, india",idfc first bank
banking,"pune, maharashtra, india",hsbc
insurance,"pune,maharashtra, india",bajaj finserv
telecom,"stockholm,stockholm county, sweden",ericsson
analytics & kpo,"mumbai, maharashtra, india",conneqt business solutions
it services & consulting,"bangalore/bengaluru, karnataka, india",mphasis
bpo,"mumbai, maharashtra, india",startek
pharma,"hyderabad/secunderabad, telangana, india",dr. reddy's
it services & consulting,"pittsford, new york, united states (usa)",sutherland global services
pharma,"mumbai, maharashtra, india",cipla pharmaceutical
banking,"mumbai, maharashtra, india",yes bank
internet,"bangalore,karnataka, india",udaan
banking,"bangalore/bengaluru, karnataka, india",jana small finance bank
chemicals,"mumbai, maharashtra, india",asian paints
it services & consulting,"chiyoda city, tokyo, japan",ntt data
insurance,"mumbai, maharashtra, india",icici prudential life insurance
insurance,"mumbai, maharashtra, india",hdfc life
pharma,"mumbai, maharashtra, india",lupin
it services & consulting,,hcl group
consulting,"london, united kingdom (uk)",pwc
analytics & kpo,"new york city,new york, united states",exl service
bpo,"noida, uttar pradesh, india",ienergizer
defence & aerospace,"new delhi, delhi, india",indian army
it services & consulting,"mumbai, maharashtra, india",l&t infotech
building material,"mumbai, maharashtra, india",ultratech cement
nbfc,"pune, maharashtra, india",bajaj finance
financial services,"gurugram, india",home credit finance
consulting,,kpmg
bpo,"noida, india",paytm
it services & consulting,"bangalore/bengaluru, karnataka, india",mindtree
fmcg,"mumbai, maharashtra, india",hindustan unilever
fmcg,"kolkata, west bengal, india",itc
banking,"bangalore/bengaluru, karnataka, india",ujjivan small finance bank
financial services,"mumbai, maharashtra, india",iifl
banking,"kolkata, west bengal, india",bandhan bank
consumer electronics & appliances,"dongguan, guangdong, china",oppo
investment banking / venture capital / private equity,"new york, new york, united states (usa)",jp morgan chase
it services & consulting,"san francisco, california, united states (usa)",wells fargo india
pharma,"ahmedabad, india, india",zydus cadila
logistics,"delhi,nct, india",delhivery
nbfc,"mumbai, maharashtra, india",shriram transport finance
pharma,"mumbai, india",sun pharmaceutical industries
engineering & construction,"mumbai, maharashtra, india",shapoorji pallonji group
automobile,"chennai, tamil nadu, india",ashok leyland
pharma,"hyderabad/secunderabad, telangana, india",aurobindo pharma
consumer electronics & appliances,"gurgaon/gurugram, haryana, india",vivo
nbfc,"mumbai, maharashtra, india",mahindra & mahindra financial services
financial services,"jaipur, rajasthan, india",au small finance bank
power,"munich,bavaria, germany",siemens
healthcare,"san francisco,california, united states",apollo hospitals
it services & consulting,"houston,texas, united states",hewlett-packard enterprise
hardware & networking,"espoo, southern finland, finland",nokia
insurance,"gurgaon/gurugram, haryana, india",max life insurance
iron & steel,"mumbai, maharashtra, india",tata steel
iron & steel,"mumbai, maharashtra, india",tata steel
bpo,"mumbai, maharashtra, india",first source
it services & consulting,"mumbai, maharashtra, india",hexaware technologies
iron & steel,"mumbai, maharashtra, india",jsw steel
software product,"austin,texas, united states",oracle
bpo,"mumbai, maharashtra, india",intelenet global services
recruitment,"bangalore, india",quess
telecom,"navi mumbai, maharashtra, india",reliance communications
engineering & construction,"mumbai, maharashtra, india",tata projects
retail,"mumbai, maharashtra, india",future group
real estate,"mumbai, maharashtra, india",jll
automobile,"gurgaon/gurugram, haryana, india",hero motocorp
it services & consulting,"jacksonville,florida, united states",fidelity national information services
internet,"mumbai,maharashtra, india",justdial
automobile,"chennai, tamil nadu, india",tvs motor
it services & consulting,"hyderabad/secunderabad, telangana, india",cyient
hospitality,"gurgaon,haryana, india",oyo rooms
insurance,"pune, india",bajaj allianz life insurance
automobile,"seoul, south korea",hyundai motor
it services & consulting,"bengaluru, india",wipro bps
auto components,"gerlingen, baden-wuerttemberg, germany",bosch
engineering & construction,"hyderabad/secunderabad, telangana, india",megha engineering & infrastructures
it services & consulting,"florida, unitedstates",omega healthcare
engineering & construction,"chennai, india",l&t construction
it services & consulting,"troy, michigan, united states (usa)",atos syntel
retail,"mumbai, maharashtra, india",d mart
nbfc,"thrissur/trichur, kerala, india",manappuram finance
fintech,"gurgaon/gurugram, haryana, india",sbi cards & payment services
consumer electronics & appliances,"seoul, south korea",samsung
it services & consulting,"new york city, new york, united states (usa)",bny mellon
automobile,"columbus, indiana, united states (usa)",cummins
financial services,"mumbai, india",fullerton india
clinical research,"durham, united states",iqvia
it services & consulting,"munich, bavaria, germany",nagarro
pharma,"canonsburg, pennsylvania, united states (usa)",viatris
retail,"mumbai, india",aditya birla fashion and retail
internet,"bangalore,karnataka, india",bigbasket
software product,"chesterfield,missouri, united states",amdocs
real estate,"los angeles, california, united states (usa)",cbre
software product,"gerlingen, germany",bosch global software technologies
internet,"noida,uttar pradesh, india",indiamart intermesh
fmcg,"mumbai, maharashtra, india",godrej & boyce manufacturing
industrial automation,"paris, france",schneider electric
automobile,"gurgaon/gurugram, haryana, india",royal enfield
it services & consulting,"aliso viejo, california, united states (usa)",ust
other,"dearborn, michigan, united states (usa)",ford motor
logistics,"gurgaon,haryana, india",ecom express
auto components,"gurgaon/gurugram, haryana, india",jbm group
banking,"chennai, tamil nadu, india",equitas small finance bank
banking,"mumbai, maharashtra, india",state bank of india
consumer electronics & appliances,"round rock,texas, united states",dell
insurance,"mumbai, maharashtra, india",icici lombard general insurance company
edtech,"mumbai,maharashtra, india",whitehat jr
engineering & construction,"hyderabad/secunderabad, telangana, india",nagarjuna construction company
healthcare,"minnetonka, minnesota, united states (usa)",unitedhealth
automobile,"pune, maharashtra, india",bajaj auto
nbfc,"kochi/cochin, kerala, india",muthoot finance
telecom,"mumbai, maharashtra, india",tata communications
nbfc,"trivandrum/thiruvananthapuram, kerala, india",muthoot fincorp
it services & consulting,"moline, illinois, united states (usa)",john deere
it services & consulting,"san jose, california, united states (usa)",globallogic
hospitality,"ypsilanti, michigan, united states (usa)",dominos pizza
nbfc,"chennai, tamil nadu, india",cholamandalam investment & finance
fmcg,"bangalore/bengaluru, karnataka, india",wipro consumer care & lighting
nbfc,"mumbai, maharashtra, india",l&t financial services
insurance,"mumbai, maharashtra, india",sbi life insurance company
,,capgemini technology services india limited
it services & consulting,"southborough, massachusetts, united states (usa)",virtusa consulting services
financial services,"san mateo,california, united states",axis direct
real estate,"mumbai, maharashtra, india",kec international
pharma,"hyderabad/secunderabad, telangana, india",hetero drugs
consumer electronics & appliances,"seoul, seoul, south korea",lg electronics
it services & consulting,"bangalore, india",wipro infotech
auto components,"noida, uttar pradesh, india",motherson sumi systems
facility management services,"issy les moulineaux, france",sodexo
internet,"bangalore,karnataka, india",swiggy
industrial machinery,"pune, maharashtra, india",thermax
healthcare,"minnesota, united states (usa)",optum
pharma,"illinois city, illinois, united states (usa)",abbott healthcare
pharma,"ahmedabad, gujrat, india",intas pharmaceuticals
pharma,"mumbai, maharashtra, india",macleods pharmaceuticals
auto components,"noida, uttar pradesh, india",subros
it services & consulting,"new jersey, united states",automatic data processing (adp)
automobile,"gurgaon/gurugram, haryana, india",ve commercial vehicles
beverage,"gurgaon/gurugram, haryana, india",varun beverages
beverage,"bangalore, india",hindustan coca cola beverages
nbfc,"mumbai, india",piramal capital housing finance
it services & consulting,"vadodara/baroda, gujarat, india",l&t technology services
consumer electronics & appliances,"bangalore/bengaluru, karnataka, india",bel
,"chennai, tamil nadu, india",randstad
chemicals / agri inputs,"mumbai, maharashtra, india",pidilite industries
it services & consulting,"bangalore,karnataka, india",cms it services
defence & aerospace,"new delhi, delhi, india",indian air force
internet,"gurgaon,haryana, india",cars24
it services & consulting,"montreal, quebec, canada",cgi group
financial services,"new york city,new york, united states",american express
pharma,"vadodara/baroda, gujrat, india",alembic pharmaceuticals
banking,,natwest group
pharma,"mumbai, maharashtra, india",alkem laboratories
logistics,"hyderabad/secunderabad, telangana, india",gati kwe
electrical equipment,"noida, uttar pradesh, india",havells
pharma,"mumbai, maharashtra, india",glenmark pharmaceuticals
electrical equipment,"zurich, switzerland",abb group
banking,"frankfurt, germany",deutsche bank
retail,"mumbai, maharashtra, india",shoppers stop
engineering & construction,"kolkata, west bengal, india",simplex infrastructures
pharma,"mumbai, maharashtra, india",ipca laboratories
automobile,"gurgaon/gurugram, haryana, india",honda motorcycle & scooter
it services & consulting,"vilnius,vilniaus apskritis, lithuania",atos
logistics,"bangalore/bengaluru, karnataka, india",dtdc express
banking,"mumbai, maharashtra, india",dcb bank
insurance,"mumbai, maharashtra, india",reliance nippon life insurance
fashion & textile,"ahmedabad, gujrat, india",arvind group
metals & mining,"mumbai, maharashtra, india",hindalco industries
hospitality,"chicago, illinois, united states (usa)",mcdonald's
power,"pune,maharashtra, india",suzlon group
nbfc,"wedel,schleswig-holstein, germany",muthoot group
bpo,"florham park, new jersey, united states (usa)",conduent
it services & consulting,"bangalore, india",wipro enterprises ltd
financial services,"london, united kingdom (uk)",standard chartered bank
recruitment,"bangalore/bengaluru, karnataka, india",team lease
financial services,"london, united kingdom (uk)",standard chartered bank
software product,"san jose,california, united states",24/7 customer
logistics,"copenhagen, denmark",maersk
retail,"gurgaon/gurugram, haryana, india",vishal mega mart
it services & consulting,"gurgaon/gurugram, haryana, india",kochartech
logistics,"san francisco,california, united states",ekart logistics
auto components,"chennai, tamil nadu, india",mrf tyres
consumer electronics & appliances,"mumbai, maharashtra, india",bajaj electricals
other,"mumbai,maharashtra, india",titan company
telecom,"noida,uttar pradesh, india",lava international
it services & consulting,"new york, new york, united states (usa)",publicis sapient
banking,"charlotte, unitedstates",bank of america
auto components,"mumbai, maharashtra, india",ceat tyres
it services & consulting,"gurgaon/gurugram, haryana, india",huawei technologies
insurance,"mumbai, maharashtra, india",tata aia life insurance
iron & steel,"delhi/ncr, new delhi, india",jindal steel and power
fmcg,"mumbai, maharashtra, india",rspl group
pharma,"ahmedabad, gujrat, india",torrent pharmaceuticals
it services & consulting,"bangalore/bengaluru, karnataka, india",itc infotech india
insurance,"mumbai, maharashtra, india",pnb metlife
automobile,"chennai, tamil nadu, india",tractors and farm equipment
banking,"mumbai, maharashtra, india",rbl bank
building material,"mumbai, maharashtra, india",acc
financial services,"mumbai, india",state street syntel
biotechnology,"bangalore/bengaluru, karnataka, india",biocon biologics india
bpo/kpo,"indore, madhya pradesh, india",capita
logistics,"boston,massachusetts, united states",indigo
banking,"varanasi,uttar pradesh, india",utkarsh small finance bank
