09-wissel-registration_date,09-wissel-deletion_date,09-wissel-code
25.08.2017,29.05.2020,14318875.0
14.07.2021,,16270291.0
15.04.2013,,12454634.0
11.12.2019,,14867109.0
28.02.2022,,16451101.0
28.11.1996,,10166769.0
22.06.2010,,11959421.0
25.05.2010,07.09.2022,11945353.0
13.07.2020,,16008334.0
20.10.2009,26.03.2014,11739760.0
21.09.2021,,16322007.0
02.09.2020,,16042743.0
09.12.2016,02.12.2019,14166276.0
13.02.2014,,12613707.0
08.12.1997,24.11.2000,10337568.0
30.10.2013,03.08.2020,12561784.0
08.07.2008,,11515492.0
17.09.2018,,14568307.0
22.10.2012,,12366410.0
18.04.2007,,11373307.0
25.11.2019,,14855410.0
03.04.2012,,12260290.0
06.07.2011,,80329470.0
19.10.2004,,11079513.0
23.12.2020,,16126714.0
08.02.2008,22.01.2016,11468211.0
15.01.2008,,11459782.0
10.07.2002,15.12.2015,80171891.0
04.01.2002,02.05.2012,80161303.0
09.03.1999,06.07.2018,80074981.0
28.01.1999,06.06.2017,80067372.0
09.03.1999,25.02.2021,80074828.0
07.05.1999,,80092855.0
28.12.1998,,80063612.0
15.01.1998,31.07.2012,80023558.0
09.10.2000,,80133583.0
10.09.1999,,80107752.0
27.12.2000,,80136713.0
07.01.1999,26.02.2010,80064190.0
09.06.1998,,80039529.0
11.01.2001,23.05.2012,80140293.0
24.05.1999,,80097806.0
05.11.1998,02.12.2004,80053861.0
09.11.1999,27.03.2012,80111742.0
29.06.1999,,80102329.0
30.10.1997,,80017776.0
12.10.2006,20.05.2020,11306854.0
27.11.2012,31.12.2013,12384365.0
27.05.2020,,14979217.0
06.01.2004,,11009168.0
08.01.2015,,12778992.0
04.05.2016,,14043183.0
09.02.2016,,12992283.0
19.05.2021,,16233456.0
05.03.2014,,12623232.0
02.05.2006,,11233517.0
03.02.2014,,12607693.0
18.06.2021,,16254949.0
19.04.2021,14.06.2021,16210018.0
30.12.2008,,11565053.0
16.03.2009,06.05.2011,11610492.0
03.01.2002,07.11.2011,10829923.0
13.01.1997,27.01.2014,10166411.0
28.05.2018,,14495850.0
21.11.2005,11.08.2009,11193083.0
26.03.2004,09.09.2009,11023197.0
20.11.2020,,16102576.0
20.11.2020,,16102725.0
20.11.2020,,16102665.0
20.11.2020,,16102688.0
20.11.2020,,16102754.0
18.11.2020,,16100883.0
21.12.2011,,12208510.0
03.02.2016,,12989482.0
14.09.2021,,16315450.0
07.08.2006,15.03.2016,11278508.0
25.02.2008,,11471961.0
30.11.2009,09.06.2010,11795528.0
13.07.2022,,16535269.0
10.06.2016,,14064647.0
16.04.2002,13.05.2022,10860985.0
18.02.2022,,16445804.0
09.12.1997,31.12.2003,10343273.0
18.04.2017,,14242764.0
14.01.2000,20.12.2005,10635834.0
10.06.2010,,11953810.0
11.01.2019,,14640393.0
29.01.2013,06.06.2019,12412794.0
14.04.2004,10.07.2017,11026540.0
15.03.2017,,14222135.0
26.04.2004,15.01.2012,11032121.0
19.09.2017,,14334957.0
28.03.2022,,16469029.0
22.01.1998,,10365613.0
15.11.2005,15.07.2013,80229461.0
09.05.2003,18.10.2005,10942720.0
25.04.2016,03.02.2021,14038182.0
08.12.2015,,12960128.0
16.09.2021,,16318767.0
03.11.2006,21.09.2016,11291526.0
12.01.2017,,14183760.0
13.04.2021,,16205655.0
02.07.2014,,12683337.0
24.10.2013,,12558635.0
27.08.1996,,10083300.0
29.12.2016,,14176300.0
,,
17.10.2018,,14588586.0
27.06.1997,05.03.2002,10212909.0
14.10.1997,11.05.2022,10285541.0
14.09.2011,,12161234.0
29.08.1997,,10257556.0
16.02.2018,,14430891.0
03.08.2007,,11412488.0
04.04.2019,,14697223.0
27.05.1998,11.03.2004,10442584.0
28.10.2014,,12743002.0
10.02.1997,,10090576.0
15.06.2018,,14508541.0
31.01.2012,04.02.2021,12228530.0
