04-iGMM-net_income,04-iGMM-revenue
doll_94.68 b (2021),doll_365.82 b (2021)
doll_23.040 b (2021),doll_276.692 b (2021)
0,0
doll_11.24 b (2019),doll_110.2 b (2019)
doll_9.616 b (2020),doll_41.908 b (2020)
0,0
doll_30.56 b (2021),doll_89.11 b (2021)
doll_15.63 b (2021),doll_162.47 b (2021)
doll_8.69 b (2021),doll_18.88 b (2021)
0,0
0,0
doll_14.31 b (2021),doll_76.12 b (2021)
doll_48.3 b (2021),doll_121.65 b (2021)
doll_13.67 b (2022),doll_572.8 b (2022)
0,0
doll_14.714 b (2020),doll_82.584 b (2020)
doll_2.49 b (2017),doll_29.453 b (2021)
doll_7.067 b (2020),doll_47.994 b (2020)
doll_13.451 b (2021),doll_60.817 b (2021)
doll_2.54 b (2020),doll_37.40 b (2020)
doll_4.495 b (2020),doll_34.608 b (2020)
"doll_22.618  b (fiscal year ended december 31, 2021)","doll_133.613  b (fiscal year ended december 31, 2021)"
doll_10.53 b (2020),doll_103.56 b (2020)
doll_5.91 b (2021),doll_50.53 b (2021)
0,0
doll_13.74 b (2021),doll_40.47 b (2021)
doll_6.375 b (2020),doll_32.21 b (2020)
doll_10.59 b (2021),doll_49.81 b (2021)
doll_7.353 b (2019),doll_70.37 b (2020)
doll_1.995 b (2021),doll_67.418 b (2021)
0,0
doll_dkk 38.951 b (2019),doll_dkk 140.80 b (2021)
doll_2.062 b (2021),doll_9.633 b (2021)
doll_3.16 b (2021),doll_16.4 b (2021)
doll_2.751 b (2020),doll_39.540 b (2020)
doll_€12.35 b (2020),doll_€36.12 b (2020)
"doll_4.169 b (fiscal year ended december 31, 2021)","doll_25.371 b (fiscal year ended december 31, 2021)"
doll_€5.383 b (2021),doll_€27.842 b (2021)
0,0
doll_7.17 b (2020),doll_268.70 b (2020)
"-doll_2.655 b (fiscal year ended december 31, 2020)","doll_19.256 b (fiscal year ended december 31, 2020)"
"doll_5.610 b (fiscal year ended december 31, 2021)","doll_34.392 b (fiscal year ended december 31, 2021)"
doll_15.5 b (2021),doll_205.8 b (2021)
0,0
doll_14.693 b (2021),doll_49.552 b (2021)
0,0
doll_7.842 b (2019),doll_25.424 b (2020)
doll_4.281 b (2020),doll_72.148 b (2020)
0,"doll_768,438,310,000 renminbi (2018)"
0,0
doll_  10.1 b (2019),doll_ 76.6 b (2019)
0,0
"doll_3.533 b (fiscal year ended december 31, 2020)","doll_35.994 b (fiscal year ended december 31, 2020)"
0,0
doll_ -3.325 b (2021),doll_ 74.196 b (2021)
0,doll_14.29 b (2020)
doll_3.024 b (2021),doll_8.297 b (2021)
doll_1.994 b (2021),doll_17.108 b (2021)
doll_£6.974 b (2021),doll_£25.684 b (2021)
"doll_4.454 b (fiscal year ended december 31, 2020)","doll_26.153 b (fiscal year ended december 31, 2020)"
0,0
0,0
0,0
doll_3.222 b (2020),doll_48.097 b (fiscal year ended 31 december 2020)
0,doll_5.2 b (2021)
0,0
0,doll_2.1 b (fy2021)
doll_3.06 b (2018),doll_38.937 b (2018)
doll_4.10 b (2021),doll_7.15 b (2021)
0,0
doll_4.492 b (2020),doll_20.370 b (2020)
doll_3.513 b (2020),doll_8.497 b (2020)
doll_5.39 b (2019),doll_22.45 b (2019)
"doll_2.002 b (fiscal year ended september 30, 2021)","doll_20.248 b (fiscal year ended september 30, 2021)"
doll_5.725 b (2021),doll_16.329 b (2017)
doll_3.91 b (2021),doll_14.63 b (2021)
doll_2.23 b (2018),doll_23.5 b (2018)
"doll_cn¥70,294 m (2017)","cn¥2,124,901 m (doll_314.4 b) (2017)"
0,0
0,0
doll_6.427 b (2020),doll_122.485 b (2020)
"doll_5.407 b (fiscal year ended december 31, 2020)","doll_67.842 b (fiscal year ended december 31, 2020)"
0,0
0,0
"−doll_0.082 b (fiscal year ended december 31, 2020)","doll_9.913 b (fiscal year ended december 31, 2020)"
doll_5.231 b (2021),doll_83.959 b (2021)
0,0
0,0
0,0
0,0
doll_−680 m (2022),doll_1.219 b (2022)
doll_1.954 b (fiscal year ended 31 december 2020),doll_33.039 b (fiscal year ended 31 december 2020)
doll_2.527 b (2019),doll_15.693 b (2019)
"doll_17.937 b (fiscal year ended december 31, 2021)","doll_136.341 b (fiscal year ended december 31, 2021)"
0,doll_11.487 b (2020)
doll_370 m (2020),doll_5.998 b (2020)
adoll_3.015 b (2021),0
0,0
0,0
doll_2.078 b (2021),doll_6.918 b (2021)
doll_3.367  b (2020),doll_77.155 b (2020)
0,0
0,0
doll_1.206 b (2021),doll_4.658 b (2021)
