05-MalPatSaj-name,07-silvestri-name,08-slytherin-name
berkshire hathaway,berkshire hathaway,berkshire hathaway
icbc,icbc,icbc
saudi arabian oil company (saudi aramco),saudi arabian oil company (saudi aramco),saudi arabian oil company (saudi aramco)
jpmorgan chase,jpmorgan chase,jpmorgan chase
china construction bank,china construction bank,china construction bank
amazon,amazon,amazon
apple,apple,apple
agricultural bank of china,agricultural bank of china,agricultural bank of china
bank of america,bank of america,bank of america
toyota motor,toyota motor,toyota motor
alphabet,alphabet,alphabet
microsoft,microsoft,microsoft
bank of china,bank of china,bank of china
samsung group,samsung group,samsung group
exxonmobil,exxonmobil,exxonmobil
shell,shell,shell
ping an insurance group,ping an insurance group,ping an insurance group
wells fargo,wells fargo,wells fargo
verizon communications,verizon communications,verizon communications
at&t,at&t,at&t
petrochina,petrochina,petrochina
unitedhealth group,unitedhealth group,unitedhealth group
walmart,walmart,walmart
china merchants bank,china merchants bank,china merchants bank
volkswagen group,volkswagen group,volkswagen group
chevron,chevron,chevron
citigroup,citigroup,citigroup
tencent holdings,tencent holdings,tencent holdings
total,total,total
postal savings bank of china (psbc),postal savings bank of china (psbc),postal savings bank of china (psbc)
china mobile,china mobile,china mobile
comcast,comcast,comcast
alibaba group,alibaba group,alibaba group
meta platforms,meta platforms,meta platforms
allianz,allianz,allianz
morgan stanley,morgan stanley,morgan stanley
goldman sachs group,goldman sachs group,goldman sachs group
hsbc holdings,hsbc holdings,hsbc holdings
bnp paribas,bnp paribas,bnp paribas
johnson & johnson,johnson & johnson,johnson & johnson
mercedes-benz group,mercedes-benz group,mercedes-benz group
cvs health,cvs health,cvs health
pfizer,pfizer,pfizer
softbank,softbank,softbank
sinopec,sinopec,sinopec
rbc,rbc,rbc
nestlé,nestlã©,nestlé
axa group,axa group,axa group
gazprom,gazprom,gazprom
bp,bp,bp
intel,intel,intel
td bank group,td bank group,td bank group
nippon telegraph & tel,nippon telegraph & tel,nippon telegraph & tel
reliance industries,reliance industries,reliance industries
industrial bank,industrial bank,industrial bank 
sony,sony,sony
santander,santander,santander
mitsubishi ufj financial,mitsubishi ufj financial,mitsubishi ufj financial
taiwan semiconductor,taiwan semiconductor,taiwan semiconductor
ford motor,ford motor,ford motor
lvmh moët hennessy louis vuitton,lvmh moã«t hennessy louis vuitton,lvmh moët hennessy louis vuitton
bank of communications,bank of communications,bank of communications
procter & gamble,procter & gamble,procter & gamble
bmw group,bmw group,bmw group
petrobras,petrobras,petrobras
deutsche telekom,deutsche telekom,deutsche telekom
abbvie,abbvie,abbvie
novartis,novartis,novartis
general motors,general motors,general motors
equinor,equinor,equinor
china life insurance,china life insurance,china life insurance
roche holding,roche holding,roche holding
aia group,aia group,aia group
metlife,metlife,metlife
bhp group,bhp group,bhp group
the home depot,the home depot,the home depot
american express,american express,american express
siemens,siemens,siemens
stellantis,stellantis,stellantis
zurich insurance group,zurich insurance group,zurich insurance group
rosneft,rosneft,rosneft
rio tinto,rio tinto,rio tinto
brookfield asset management,brookfield asset management,brookfield asset management
cigna,cigna,cigna
prudential financial,prudential financial,prudential financial
pepsico,pepsico,pepsico
merck & co.,merck & co.,merck & co.
elevance health,elevance health,elevance health
bank of nova scotia,bank of nova scotia,bank of nova scotia
american international group,american international group,american international group
glencore international,glencore international,glencore international
cisco systems,cisco systems,cisco systems
anheuser-busch inbev,anheuser-busch inbev,anheuser-busch inbev
walt disney,walt disney,walt disney
chubb,chubb,chubb
citic,citic,citic
lloyds banking group,lloyds banking group,lloyds banking group
ibm,ibm,ibm
sanofi,sanofi,sanofi 
united parcel service,united parcel service,united parcel service
british american tobacco,british american tobacco,british american tobacco
ubs,ubs,ubs
honda motor,honda motor,honda motor
mitsubishi,mitsubishi,mitsubishi
china state construction engineering,china state construction engineering,china state construction engineering
state bank of india,state bank of india,state bank of india
commonwealth bank,commonwealth bank,commonwealth bank
shanghai pudong development,shanghai pudong development,shanghai pudong development
raytheon technologies,raytheon technologies,raytheon technologies
enel,enel,enel
eni,eni,eni
capital one,capital one,capital one
bristol myers squibb,bristol myers squibb,bristol myers squibb
coca-cola,coca-cola,coca-cola
oracle,oracle,oracle
sberbank,sberbank,sberbank
bank of montreal,bank of montreal,bank of montreal
vale,vale,vale
edf,edf,edf 
thermo fisher scientific,thermo fisher scientific,thermo fisher scientific
credit agricole,credit agricole,credit agricole
airbus,airbus,airbus
costco wholesale,costco wholesale,costco wholesale
hon hai precision,hon hai precision,hon hai precision 
unilever,unilever,unilever
charter communications,charter communications,charter communications
sumitomo mitsui financial,sumitomo mitsui financial,sumitomo mitsui financial
conocophillips,conocophillips,conocophillips
glaxosmithkline,glaxosmithkline,glaxosmithkline
intesa sanpaolo,intesa sanpaolo,intesa sanpaolo
manulife,manulife,manulife
us bancorp,us bancorp,us bancorp
basf,basf,basf
cnooc,cnooc,cnooc
abbott laboratories,abbott laboratories,abbott laboratories
iberdrola,iberdrola,iberdrola
china shenhua energy,china shenhua energy,china shenhua energy
itaú unibanco holding,itaãº unibanco holding,itaú unibanco holding
caterpillar,caterpillar,caterpillar
mitsui,mitsui,mitsui
itochu,itochu,itochu
charles schwab,charles schwab,charles schwab
truist financial,truist financial,truist financial
enbridge,enbridge,enbridge
hitachi,hitachi,hitachi
kddi,kddi,kddi
hyundai motor,hyundai motor,hyundai motor
china citic bank,china citic bank,china citic bank
visa,visa,visa
target,target,target
bbva-banco bilbao vizcaya,bbva-banco bilbao vizcaya,bbva-banco bilbao vizcaya
tesla,tesla,tesla
deere & company,deere & company,deere & company
hdfc bank,hdfc bank,hdfc bank
barclays,barclays,barclays
munich re,munich re,munich re
japan post holdings,japan post holdings,japan post holdings
walgreens,walgreens,walgreens
danaher,danaher,danaher
generali group,generali group,generali group
møller-maersk,mã¸ller-maersk,møller-maersk
lowe's,lowe's,lowe's
fedex,fedex,fedex
deutsche post,deutsche post,deutsche post
pnc financial services,pnc financial services,pnc financial services
broadcom,broadcom,broadcom
lukoil,lukoil,lukoil
medtronic,medtronic,medtronic
sap,sap,sap
sk hynix,sk hynix,sk hynix
engie,engie,engie 
lockheed martin,lockheed martin,lockheed martin
blackrock,blackrock,blackrock
westpac banking group,westpac banking group,westpac banking group
duke energy,duke energy,duke energy
dell technologies,dell technologies,dell technologies
vinci,vinci,vinci
tokio marine holdings,tokio marine holdings,tokio marine holdings
américa móvil,amã©rica mã³vil,américa móvil
e.on,e.on,e.on
anglo american,anglo american,anglo american
banco bradesco,banco bradesco,banco bradesco
ing group,ing group,ing group
accenture,accenture,accenture
honeywell international,honeywell international,honeywell international
mizuho financial,mizuho financial,mizuho financial
linde,linde,linde
arcelormittal,arcelormittal,arcelormittal
canadian imperial bank,canadian imperial bank,canadian imperial bank
poly developments & holdings group,poly developments & holdings group,poly developments & holdings group
micron technology,micron technology,micron technology
anz,anz,anz
fubon financial,fubon financial,fubon financial
china telecom,china telecom,china telecom
hca healthcare,hca healthcare,hca healthcare
dow,dow,dow
telefónica,telefã³nica,telefónica
china vanke,china vanke,china vanke
nab - national australia bank,nab - national australia bank,nab - national australia bank
cathay financial,cathay financial,cathay financial
qualcomm,qualcomm,qualcomm
l'oréal,l'orã©al,l'oréal
allstate,allstate,allstate
saic motor,saic motor,saic motor
icici bank,icici bank,icici bank
china everbright bank,china everbright bank,china everbright bank
gilead sciences,gilead sciences,gilead sciences
china pacific insurance,china pacific insurance,china pacific insurance
nvidia,nvidia,nvidia
amgen,amgen,amgen
union pacific,union pacific,union pacific
dai-ichi life insurance,dai-ichi life insurance,dai-ichi life insurance
nike,nike,nike
takeda pharmaceutical,takeda pharmaceutical,takeda pharmaceutical
philip morris international,philip morris international,philip morris international
paypal,paypal,paypal
china resources land,china resources land,china resources land
oversea-chinese banking,oversea-chinese banking,oversea-chinese banking
midea group,midea group,midea group
travelers,travelers,travelers
eli lilly,eli lilly,eli lilly
mondelez international,mondelez international,mondelez international
mcdonald's,mcdonald's,mcdonald's
general electric,general electric,general electric
société générale,sociã©tã© gã©nã©rale,société générale
schneider electric,schneider electric,schneider electric
3m,3m,3m
aflac,aflac,aflac
oil & natural gas,oil & natural gas,oil & natural gas
southern company,southern company,southern company
deutsche bank,deutsche bank,deutsche bank
ptt,ptt,ptt 
ck hutchison,ck hutchison,ck hutchison
canadian natural resources,canadian natural resources,canadian natural resources
sun life financial,sun life financial,sun life financial
northrop grumman,northrop grumman,northrop grumman
archer daniels midland,archer daniels midland,archer daniels midland
marathon petroleum,marathon petroleum,marathon petroleum
china minsheng bank,china minsheng bank,china minsheng bank
legal & general group,legal & general group,legal & general group
netflix,netflix,netflix
progressive,progressive,progressive
longfor group holdings,longfor group holdings,longfor group holdings
dbs,dbs,dbs
cosco shipping,cosco shipping,cosco shipping
china communications construction,china communications construction,china communications construction
natwest group,natwest group,natwest group
exelon,exelon,exelon
humana,humana,humana
general dynamics,general dynamics,general dynamics
power corp of canada,power corp of canada,power corp of canada
qatar national bank,qatar national bank,qatar national bank
bayer,bayer,bayer 
kkr,kkr,kkr
country garden holdings,country garden holdings,country garden holdings
nextera energy,nextera energy,nextera energy
kb financial group,kb financial group,kb financial group
china railway group,china railway group,china railway group
hp,hp,hp
nordea bank,nordea bank,nordea bank
seven & i holdings,seven & i holdings,seven & i holdings
suncor energy,suncor energy,suncor energy
salesforce.com,salesforce.com,salesforce.com
air liquide,air liquide,air liquide
denso,denso,denso
bank of new york mellon,bank of new york mellon,bank of new york mellon
mastercard,mastercard,mastercard
banco do brasil,banco do brasil,banco do brasil
centene,centene,centene
hdfc,hdfc,hdfc
freeport-mcmoran,freeport-mcmoran,freeport-mcmoran
"merck kgaa, darmstadt, germany and its affiliates","merck kgaa, darmstadt, germany and its affiliates","merck kgaa, darmstadt, germany and its affiliates"
caixabank,caixabank,caixabank
abb,abb,abb
volvo group,volvo group,volvo group
occidental petroleum,occidental petroleum,occidental petroleum
national grid,national grid,national grid
mckesson,mckesson,mckesson
shinhan financial group,shinhan financial group,shinhan financial group
asml holding,asml holding,asml holding
nutrien,nutrien,nutrien
investor ab,investor ab,investor ab
kia,kia,kia
saint-gobain,saint-gobain,saint-gobain
novo nordisk,novo nordisk,novo nordisk
posco,posco,posco
diageo,diageo,diageo
royal ahold delhaize n.v.,royal ahold delhaize n.v.,royal ahold delhaize n.v.
picc,picc,picc
dominion energy,dominion energy,dominion energy
kroger,kroger,kroger
baoshan iron & steel,baoshan iron & steel,baoshan iron & steel
kweichow moutai,kweichow moutai,kweichow moutai
xiaomi,xiaomi,xiaomi  
bank of ningbo,bank of ningbo,bank of ningbo
ecopetrol,ecopetrol,ecopetrol
lyondellbasell industries,lyondellbasell industries,lyondellbasell industries
contemporary amperex technology,contemporary amperex technology,contemporary amperex technology
unicredit,unicredit,unicredit
amerisourcebergen,amerisourcebergen,amerisourcebergen
essilorluxottica,essilorluxottica,essilorluxottica
inditex,inditex,inditex
starbucks,starbucks,starbucks
nucor,nucor,nucor
intercontinentalexchange,intercontinentalexchange,intercontinentalexchange
tjx cos,tjx cos,tjx cos
kbc group,kbc group,kbc group
tesco,tesco,tesco
boe technology group,boe technology group,boe technology group
blackstone,blackstone,blackstone
american electric,american electric,american electric
macquarie group,macquarie group,macquarie group
