03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
507000,"507,000","507,000",doll_97.61 m
344428,"344,428","344,428",doll_57.32 m
4325512,"4,325,512","4,325,512",doll_568.32 m
2652185,"2,652,185","2,652,185",doll_316.73 m
486165,"486,165","486,165",doll_56.11 m
150908,"150,908","150,908",doll_13.17 m
251668,"251,668","251,668",doll_18.73 m
706700,"706,700","706,700",doll_47.6 m
111500,"111,500","111,500",doll_7.34 m
392055,"392,055","392,055",doll_24.48 m
680197,"680,197","680,197",doll_41.21 m
153046,"153,046","153,046",doll_9.02 m
155406,"155,406","155,406",doll_9.03 m
229201,"229,201","229,201",doll_12.16 m
238118,"238,118","238,118",doll_11.39 m
454975,"454,975","454,975",doll_21.46 m
149397,"149,397","149,397",doll_7.23 m
325585,"325,585","325,585",doll_14.34 m
160624,"160,624","160,624",doll_6.85 m
274575,"274,575","274,575",doll_11.58 m
782918,"782,918","782,918",doll_30.89 m
238451,"238,451","238,451",doll_9.01 m
207120,"207,120","207,120",doll_8.38 m
416562,"416,562","416,562",doll_16.14 m
363010,"363,010","363,010",doll_13.89 m
181772,"181,772","181,772",doll_6.24 m
214673,"214,673","214,673",doll_6.46 m
170950,"170,950","170,950",doll_5.19 m
263663,"263,663","263,663",doll_8.04 m
4044537,"4,044,537","4,044,537",doll_121.31 m
381830,"381,830","381,830",doll_11.3 m
155043,"155,043","155,043",doll_4.54 m
125682,"125,682","125,682",doll_3.58 m
7403458,"7,403,458","7,403,458",doll_210.56 m
210820,"210,820","210,820",doll_5.82 m
2039961,"2,039,961","2,039,961",doll_56.02 m
155310,"155,310","155,310",doll_4.18 m
182100,"182,100","182,100",doll_4.45 m
229713,"229,713","229,713",doll_5.93 m
225380,"225,380","225,380",doll_5.72 m
194090,"194,090","194,090",doll_4.86 m
101311,"101,311","101,311",doll_2.55 m
100711,"100,711","100,711",doll_2.43 m
379771,"379,771","379,771",doll_8.95 m
757323,"757,323","757,323",doll_17.16 m
110200,"110,200","110,200",doll_2.5 m
744092,"744,092","744,092",doll_16.48 m
387995,"387,995","387,995",doll_8.59 m
179204,"179,204","179,204",doll_3.84 m
388565,"388,565","388,565",doll_7.78 m
1186853,"1,186,853","1,186,853",doll_25.9 m
640056,"640,056","640,056",doll_13.31 m
103240,"103,240","103,240",doll_2.13 m
3188715,"3,188,715","3,188,715",doll_64.22 m
238216,"238,216","238,216",doll_4.75 m
585280,"585,280","585,280",doll_11.66 m
376519,"376,519","376,519",doll_7.44 m
203950,"203,950","203,950",doll_4.01 m
270090,"270,090","270,090",doll_5.14 m
369000,"369,000","369,000",doll_6.95 m
535070,"535,070","535,070",doll_9.79 m
858482,"858,482","858,482",doll_15.37 m
