09-wissel-company_status,10-DeBiGa-company_status,09-wissel-company_type,10-DeBiGa-company_type
active,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
registered,active,overseasentity,private limited company
registered,dissolved,overseasentity,private limited company
registered,active,overseasentity,private limited company
registered,active,overseasentity,private limited company
registered,active,overseasentity,private limited company
registered,active,overseasentity,private limited company
registered,active,overseasentity,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,limitedliabilitypartnership,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
dissolved,liquidation,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,liquidation,privateunlimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,limitedliabilitypartnership,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
receiveraction,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,limitedliabilitypartnership,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
,active,,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,limitedpartnership,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
registered,active,overseasentity,private limited company
registered,active,overseasentity,private company limited by guarantee without share capital
registered,active,overseasentity,private limited company
active,active,privatelimitedcompany,private limited company by guarantee without share capital use of 'limited' exemption
active,active,privatecompanylimitedbyguaranteewithoutsharecapital,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatecompanylimitedbyguaranteewithoutsharecapital,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompanybyguaranteewithoutsharecapitaluseof'limited'exemption,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatecompanylimitedbyguaranteewithoutsharecapital,private limited company
active,dissolved,privatelimitedcompany,private limited company
,active,charitableincorporatedorganisation,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company by guarantee without share capital use of 'limited' exemption
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompanybyguaranteewithoutsharecapitaluseof'limited'exemption,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatecompanylimitedbyguaranteewithoutsharecapital,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,liquidation,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company by guarantee without share capital use of 'limited' exemption
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company by guarantee without share capital use of 'limited' exemption
active,in administration,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
dissolved,active,privatelimitedcompany,private limited company
liquidation,active,privatelimitedcompany,private company limited by guarantee without share capital
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,public limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company by guarantee without share capital use of 'limited' exemption
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,liquidation,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
active,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
dissolved,active,privatelimitedcompany,private limited company
dissolved,dissolved,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private limited company
active,active,privatelimitedcompany,private company limited by guarantee without share capital
