00-avengers-address
"viale regina margherita 137, roma, 00198, roma, italy"
"via giambologna 1, pioltello, 20096, milano, italy"
"via vittor pisani 20, milano, 20124, milano, italy"
"galleria passarella 2, milano, 20122, milano, italy"
"piazza gae aulenti 3 tower a, milano, 20154, milano, italy"
"viale ungheria 46, milano, 20138, milano, italy"
"corso inghilterra 3, torino, 10138, torino, italy"
"via stalingrado 45, bologna, 40128, bologna, italy"
"via rombon 11, milano, 20134, milano, italy"
"piazza minghetti 4/d, bologna, 40124, bologna, italy"
"viale carlo berti pichat 2/4, bologna, 40127, bologna, italy"
"viale cassala 57, milano, 20143, milano, italy"
"viale europa 190, roma, 00144, roma, italy"
"corso di porta vittoria 4, milano, 20122, milano, italy"
"viale dell'innovazione 3, milano, 20126, milano, italy"
"foro buonaparte 31, milano, 20121, milano, italy"
"piazza della croce rossa 1, roma, 00161, roma, italy"
"via chiese 6, milano, 20126, milano, italy"
"piazza monte grappa 4, roma, 00195, roma, italy"
"via marocchesa 14, mogliano veneto, 31021, treviso, italy"
"via san giovanni sul muro 9, milano, 20121, milano, italy"
"via monte di pieta' 8, milano, 20121, milano, italy"
"via gaetano negri 1, milano, 20123, milano, italy"
"viale europa 190, roma, 00144, roma, italy"
"corso giovanni agnelli 200, torino, 10135, torino, italy"
"viale regina margherita 125, roma, 00198, roma, italy"
"viale maresciallo pilsudski 122/124, roma, 00197, roma, italy"
"viale monte grappa 3/5, milano, 20124, milano, italy"
"viale maresciallo pilsudski 92, roma, 00197, roma, italy"
"piazzale enrico mattei 1, roma, 00144, roma, italy"
"via puglia 35, torino, 10156, torino, italy"
"via augusto ruffo 36, arcole, 37040, verona, italy"
"centro direzionale milanofiori snc, rozzano, 20089, milano, italy"
"piazza di san silvestro 8, roma, 00187, roma, italy"
"via del lauro 3, milano, 20121, milano, italy"
"viale monte grappa 3/5, milano, 20124, milano, italy"
"piazza tre torri 3, milano, 20145, milano, italy"
"via francesco sforza, basiglio, 20079, milano, italy"
"viale fulvio testi 280, milano, 20126, milano, italy"
"viale regina margherita 125, roma, 00198, roma, italy"
"via molino rosso 8, imola, 40026, bologna, italy"
"piazza fidia 1, milano, 20159, milano, italy"
"via san primo 4, milano, 20121, milano, italy"
"via genova 1, trieste, 34121, trieste, italy"
"via campalto 3/d, san martino buon albergo, 37036, verona, italy"
"via carlo felice 35, sassari, 07100, sassari, italy"
"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy"
"viale regina margherita 125, roma, 00198, roma, italy"
"via don lorenzo perosi 6, scandicci, 50018, firenze, italy"
"viale piero e alberto pirelli 25, milano, 20126, milano, italy"
"piazza tre torri 3, milano, 20145, milano, italy"
"via guidubaldo del monte 45, roma, 00197, roma, italy"
"viale gerard richard gumpert 1, verona, 37137, verona, italy"
"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy"
"via dei sette santi 3, firenze, 50131, firenze, italy"
"via mantova 166, parma, 43122, parma, italy"
"via mantova 166, parma, 43122, parma, italy"
"via modena 53, castelvetro di modena, 41014, modena, italy"
"via modena 53, castelvetro di modena, 41014, modena, italy"
"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy"
"via abetone inferiore 2, maranello, 41053, modena, italy"
"strada dell'universita' 1, parma, 43121, parma, italy"
"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy"
"via villanova 29/7, castenaso, 40055, bologna, italy"
"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy"
"viale certosa 249, milano, 20151, milano, italy"
"via felice matteucci 2, firenze, 50127, firenze, italy"
"via di porta pinciana 4, roma, 00187, roma, italy"
"via alberto bergamini 50, roma, 00159, roma, italy"
"piazza della croce rossa 1, roma, 00161, roma, italy"
"via ennio quirino visconti 80, roma, 00193, roma, italy"
"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy"
"via guglielmo jervis 13, ivrea, 10015, torino, italy"
"foro buonaparte 31, milano, 20121, milano, italy"
"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy"
"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy"
"via plava 80, torino, 10135, torino, italy"
"via pietro paleocapa 3, milano, 20121, milano, italy"
"via goito 4, roma, 00185, roma, italy"
"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy"
"via valpantena 18/g, verona, 37142, verona, italy"
"piazza nogara 2, verona, 37121, verona, italy"
"piazzale ostiense 2, roma, 00154, roma, italy"
"via giovanni da verrazzano 15, novara, 28100, novara, italy"
"via giovanni da verrazzano 15, novara, 28100, novara, italy"
"via caldera 21, milano, 20153, milano, italy"
"via angelo scarsellini 14, milano, 20161, milano, italy"
"via angelo scarsellini 14, milano, 20161, milano, italy"
"via del rame snc, perugia, 06134, perugia, italy"
"via antonio fogazzaro 28, milano, 20135, milano, italy"
"via lungarno 1213-61, terranuova bracciolini, 52028, arezzo, italy"
"viale certosa 239, milano, 20151, milano, italy"
"viale certosa 239, milano, 20151, milano, italy"
"via durini 1, milano, 20122, milano, italy"
"via angelo rizzoli 4, milano, 20132, milano, italy"
"via alessandro algardi 4, milano, 20148, milano, italy"
"via san protaso 5, milano, 20121, milano, italy"
"corso re umberto 10, torino, 10121, torino, italy"
"via luigi buzzi 6, casale monferrato, 15033, alessandria, italy"
"via marocchesa 14, mogliano veneto, 31021, treviso, italy"
"via valadier 37, roma, 00193, roma, italy"
"viale piero e alberto pirelli 25, milano, 20126, milano, italy"
"via molino rosso 8, imola, 40026, bologna, italy"
"galleria san babila 4/a, milano, 20122, milano, italy"
"piazza della croce rossa 1, roma, 00161, roma, italy"
"via del sole 34, andriano, 39010, bolzano, italy"
"viale delle nazioni 55, modena, 41122, modena, italy"
"via dei santi giacomo e filippo 7, genova, 16122, genova, italy"
"via armando diaz 248, san zeno naviglio, 25010, brescia, italy"
"via del botteghino 24/26, scandicci, 50018, firenze, italy"
"via piero maroncelli 10, forli', 47121, forli'-cesena, italy"
"via xii ottobre 1, genova, 16121, genova, italy"
"via bigli 21, milano, 20121, milano, italy"
"via nazionale 41, buttrio, 33042, udine, italy"
"zona a.s.i.capannone 18, gricignano di aversa, 81030, caserta, italy"
"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy"
"corso regina margherita 165, torino, 10144, torino, italy"
"via amaseno 24, latina, 04100, latina, italy"
"via puglia 15, torino, 10156, torino, italy"
"piazzale luigi cadorna 3, milano, 20123, milano, italy"
"via lodovico seitz 47, treviso, 31100, treviso, italy"
"via energy park 14, vimercate, 20871, monza e brianza, italy"
"piazza iv novembre 5, milano, 20124, milano, italy"
"via emilio cornalia 30, milano, 20124, milano, italy"
"viale edoardo jenner 4, milano, 20159, milano, italy"
"via sassoferrato 1, milano, 20135, milano, italy"
"via torri bianche 6, vimercate, 20871, monza e brianza, italy"
"piazza santa barbara 7, san donato milanese, 20097, milano, italy"
"corso di porta vittoria 4, milano, 20122, milano, italy"
"via marchese campodisola 13, napoli, 80133, napoli, italy"
"via valpantena 18/g, verona, 37142, verona, italy"
"via felice matteucci 2, firenze, 50127, firenze, italy"
"via enrico mattei 50, dueville, 36031, vicenza, italy"
"via palermo 26/a, parma, 43122, parma, italy"
"stradello marche 6, parma, 43121, parma, italy"
"viale giorgio ribotta 51, roma, 00144, roma, italy"
"via fratelli di dio 2, novate milanese, 20026, milano, italy"
"strada provinciale arceviese 139/a, fabriano, 60044, ancona, italy"
"via dell'unione europea 1, san donato milanese, 20097, milano, italy"
"via bure vecchia nord 10, pistoia, 51100, pistoia, italy"
"via santa reparata 43, firenze, 50129, firenze, italy"
"via campalto 3/d, san martino buon albergo, 37036, verona, italy"
"piazza salimbeni 3, siena, 53100, siena, italy"
"viale giuseppe mazzini 14, roma, 00195, roma, italy"
"via portici umberto i 5/3, malcesine, 37018, verona, italy"
"via monte baldo 20, villafranca di verona, 37062, verona, italy"
"piazzetta giordano dell'amore 3, milano, 20121, milano, italy"
"via amilcare ponchielli 7, milano, 20129, milano, italy"
"via san carlo 8/20, modena, 41121, modena, italy"
"via delle industrie 8, spinea, 30038, venezia, italy"
"via delle industrie 8, spinea, 30038, venezia, italy"
"circonvallazione idroscalo snc, segrate, 20054, milano, italy"
"viale europa 2, stezzano, 24040, bergamo, italy"
"via monte ortigara 5, bergamo, 24121, bergamo, italy"
"via monte penice 7, milano, 20138, milano, italy"
"via mantova 166, parma, 43122, parma, italy"
"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy"
"via giovanni battista pirelli 19, milano, 20124, milano, italy"
"via giovanni battista pirelli 19, milano, 20124, milano, italy"
"via monzambano 10, roma, 00185, roma, italy"
"via gaetano de castillia 6/a, milano, 20124, milano, italy"
"via mike bongiorno 9, milano, 20124, milano, italy"
"via tiburtina 1159, roma, 00156, roma, italy"
"corso como 17, milano, 20154, milano, italy"
"via furlanelli 69, verano brianza, 20843, monza e brianza, italy"
"piazza lodi 7, cremona, 26100, cremona, italy"
"via spilamberto 30/c, castelvetro di modena, 41014, modena, italy"
"viale altiero spinelli 30, roma, 00157, roma, italy"
"via francesco caracciolo 51, milano, 20155, milano, italy"
"viale del lavoro 20, belfiore, 37050, verona, italy"
"viale del lavoro 20, belfiore, 37050, verona, italy"
"piazza adriano olivetti 1, milano, 20139, milano, italy"
"via benigno crespi 23, milano, 20159, milano, italy"
"via del fante 21, verona, 37122, verona, italy"
