01-DDD-country,04-iGMM-country
united states,china
united states,united states
united states,china
united states,united states
estonia,australia
china,united kingdom
united states,united states
india,united states
mexico,united kingdom
germany,united states
united states,bahamas
united kingdom,united states
united states,united states
united states,india
united states,china
united kingdom,indonesia
united states,united states
germany,china
china,china
united states,united states
seychelles,united states
united states,china
china,united states
united states,united kingdom
united states,united states
united states,united states
united states,germany
united states,united states
united states,united states
sweden,united states
india,united states
united states,united states
united states,china
united states,united states
united states,united states
united states,china
united states,united states
norway,turkey
sweden,united states
colombia,china
japan,united states
united states,united kingdom
germany,united states
united states,united states
united states,china
hong kong,india
united states,hong kong
united states,united states
united states,china
united states,united states
germany,united states
united states,united states
israel,united states
india,united states
united states,seychelles
united states,united states
united states,united states
united states,china
united states,germany
united states,united states
spain,united states
united states,sweden
united states,united states
united states,united states
united states,india
united states,united kingdom
united states,mexico
united states,united states
united states,united states
united states,united states
canada,united states
united kingdom,germany
norway,united states
united states,united kingdom
italy,estonia
switzerland,united states
united states,united states
united states,united states
chile,united states
india,india
united states,united states
india,united states
india,united states
canada,united states
sweden,canada
germany,united kingdom
singapore,united states
united states,india
israel,united states
united states,united states
united states,united states
united states,united states
united states,united states
australia,united states
indonesia,china
germany,united states
united states,united states
united states,united states
united states,canada
france,sweden
united states,china
china,china
mexico,india
india,netherlands
united states,india
united states,france
united states,united states
united states,united states
united states,united states
united states,united states
china,united states
germany,china
china,united states
india,israel
south korea,united states
united states,united states
united states,united states
united states,china
united states,china
united states,united states
brazil,united states
united kingdom,united states
united states,france
united states,finland
india,united states
united states,united states
united states,united states
united states,france
france,germany
united states,colombia
china,belgium
india,united states
indonesia,brazil
united states,brazil
france,china
united states,australia
india,netherlands
united states,south korea
indonesia,china
singapore,china
china,united kingdom
united states,united states
hong kong,united kingdom
united states,united kingdom
china,israel
united kingdom,india
germany,united states
china,india
norway,france
canada,india
united states,united states
united states,canada
united states,india
china,india
germany,united states
united states,india
united states,united states
united states,brazil
singapore,united states
united states,china
united states,united states
united states,denmark
united states,switzerland
united states,united states
united states,united states
united states,united states
canada,united states
israel,united kingdom
israel,lithuania
united states,china
china,united states
singapore,united kingdom
united kingdom,china
china,germany
china,india
united states,united states
ireland,china
singapore,united states
united states,united states
united states,france
canada,united states
france,china
united states,united states
china,united states
united states,united states
united states,canada
london,united states
united states,austria
united states,united states
china,united states
united states,united states
united states,india
united states,south korea
united states,china
united states,united kingdom
united states,united states
united states,united states
united states,united states
united states,united states
china,canada
united states,united states
israel,united states
singapore,ireland
china,united states
united states,united states
united states,united states
china,united states
united states,united states
china,united states
thailand,united states
united states,united states
united states,united states
united states,united states
united states,united states
brazil,india
united states,united states
united states,china
united states,united states
united states,united states
united states,netherlands
japan,united states
united states,united states
united states,united states
united kingdom,united states
united states,united states
united kingdom,united states
united states,united states
united kingdom,united states
croatia,united states
united states,china
united arab emirates,united states
united states,united states
netherlands,united states
switzerland,united states
france,united states
china,united states
united states,united states
china,united states
china,germany
united states,united states
france,singapore
china,united states
south korea,united states
brazil,france
united states,united states
china,united states
china,austria
china,united states
netherlands,united states
china,united states
china,united states
china,united states
brazil,switzerland
united states,india
china,united states
china,india
china,united kingdom
hong kong,china
philippines,united states
china,united states
south africa,united kingdom
china,china
china,united states
china,united states
united states,united states
germany,south korea
united states,india
united states,united states
china,china
china,finland
china,united states
china,united states
china,united states
china,india
united states,canada
united states,united states
china,united states
china,united states
finland,united states
united states,united states
china,united states
china,united states
china,india
china,united states
united states,brazil
india,china
united states,indonesia
united states,china
china,united kingdom
switzerland,united states
china,china
united states,germany
china,brazil
ireland,canada
india,united states
israel,united states
thailand,united states
united states,united states
united kingdom,united kingdom
france,united states
united kingdom,united states
canada,united states
united states,germany
united states,united states
israel,united states
liechtenstein,united states
united states,germany
italy,vietnam
china,united states
india,united states
israel,india
united states,united states
united states,united states
united states,united states
united states,united states
united states,united states
china,united states
south korea,hong kong
united states,united states
india,united states
china,united states
china,united states
united kingdom,united states
united states,united states
united states,brazil
united states,united states
china,germany
india,france
india,china
united states,united states
united states,united kingdom
spain,united states
united states,united states
united states,turkey
india,israel
united states,china
united states,united states
india,united states
germany,south korea
canada,united states
india,united kingdom
united states,netherlands
united states,france
united kingdom,united states
united states,united states
mexico,united states
india,singapore
united states,united states
united states,china
united states,united states
india,brazil
united states,finland
singapore,united states
china,united states
germany,united states
united kingdom,united arab emirates
israel,china
switzerland,united states
united states,india
france,united states
united states,israel
germany,united states
china,united states
united states,united states
united states,india
united states,united states
germany,united states
united states,australia
united states,united states
united states,united states
china,india
indonesia,united states
united states,singapore
united states,israel
united states,israel
united states,argentina
united states,india
united states,united states
united states,china
united states,china
united states,united states
china,united states
china,united states
china,india
france,united states
colombia,united states
united states,united states
china,united states
united states,united states
south korea,united states
united kingdom,united states
germany,united states
united states,united states
united states,united kingdom
united states,spain
united states,south korea
india,china
united states,france
mexico,united states
india,united states
united states,united states
united states,united states
mexico,belgium
united states,vietnam
united states,united states
india,united states
united states,united states
united states,united states
united states,germany
united states,south korea
united states,united states
china,mexico
czech republic,united states
united states,united states
canada,china
china,united states
china,united states
united states,china
china,united kingdom
united states,china
united states,china
ireland,united states
united states,united states
united states,united states
japan,brazil
turkey,india
india,india
united states,united states
united states,india
united states,united states
united states,united states
india,united states
united states,united kingdom
united states,germany
united states,united states
china,hong kong
united states,united kingdom
united states,hong kong
united states,united states
united states,united states
canada,china
china,france
united kingdom,china
united states,united states
china,japan
united states,united states
ireland,china
united states,united states
