00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
doll_2.825 t,doll_203.69 b,doll_18.12 b,doll_2.825 t,doll_2.825 t,doll_207.68 b,doll_2.825 t,doll_2.825 t,doll_2.825 t
doll_208.03 b,doll_1.098 t,doll_20.19 b,doll_2.328 t,doll_2.328 t,doll_201.75 b,doll_2.328 t,doll_348.72 b,doll_2.328 t
doll_210.38 b,doll_3.54 b,doll_22.78 b,doll_2.297 t,doll_2.297 t,doll_166.07 b,doll_2.297 t,doll_349.50 b,doll_2.297 t
adoll_281.66 b,doll_539.3 m,doll_26.09 b,doll_1.825 t,doll_1.825 t,doll_140.15 b,doll_1.825 t,doll_321.47 b,doll_1.825 t
doll_213.60 b,doll_45.1 m,doll_24.05 b,doll_1.642 t,doll_1.642 t,doll_125.84 b,doll_1.642 t,doll_300.79 b,doll_1.642 t
doll_215.02 b,doll_305.3 m,doll_21.48 b,doll_1.016 t,doll_1.016 t,doll_117.84 b,doll_1.016 t,doll_348.22 b,doll_1.016 t
doll_216.68 b,doll_78.70 b,doll_27.91 b,doll_798.47 b,doll_798.47 b,doll_115.58 b,doll_798.47 b,doll_350.84 b,doll_798.47 b
doll_218.90 b,doll_2.10 b,doll_19.22 b,doll_660.38 b,doll_660.38 b,doll_109.98 b,doll_660.38 b,doll_315.13 b,doll_660.38 b
doll_219.03 b,doll_11.02 b,doll_30.53 b,doll_617.50 b,doll_617.5 b,doll_101.44 b,doll_617.50 b,doll_358.60 b,doll_617.50 b
doll_€203.85 b,doll_41.21 b,doll_35.27 b,doll_527.89 b,doll_527.89 b,doll_96.24 b,doll_527.89 b,doll_359.26 b,doll_527.89 b
doll_228.18 b,doll_4.194 t,doll_32.72 b,doll_488.52 b,doll_488.52 b,doll_73.33 b,doll_488.52 b,doll_378.35 b,doll_488.52 b
doll_236.15 b,doll_4.70 b,doll_39.72 b,doll_486.77 b,doll_486.77 b,doll_71.48 b,doll_486.77 b,doll_384.60 b,doll_486.77 b
doll_238.45 b,doll_5.08 b,doll_43.90 b,doll_475.93 b,doll_475.93 b,0,doll_475.93 b,doll_410.84 b,doll_475.93 b
doll_241.05 b,doll_4.78 b,doll_49.11 b,doll_441.17 b,doll_441.17 b,doll_58.53 b,doll_441.17 b,doll_429.05 b,doll_441.17 b
doll_247.88 b,0,doll_55.99 b,doll_429.05 b,doll_429.05 b,0,doll_429.05 b,doll_441.17 b,doll_429.05 b
doll_cn¥1.593 t,doll_447.2 m,doll_62.69 b,doll_410.84 b,doll_410.84 b,doll_55.88 b,doll_410.84 b,doll_475.93 b,doll_410.84 b
doll_kr.1.731 t,doll_115.6 m,doll_73.38 b,doll_384.60 b,doll_384.6 b,doll_53.33 b,doll_384.60 b,doll_208.03 b,doll_384.60 b
doll_258.15 b,doll_536.6 m,doll_73.58 b,doll_378.35 b,doll_378.35 b,doll_51.43 b,doll_378.35 b,doll_210.38 b,doll_378.35 b
doll_265.27 b,0,doll_73.72 b,doll_359.26 b,doll_359.26 b,doll_45.74 b,doll_359.26 b,doll_211.25 b,doll_359.26 b
doll_273.01 b,doll_2.52 b,doll_73.99 b,doll_358.60 b,doll_358.6 b,doll_43.70 b,doll_358.60 b,doll_213.60 b,doll_358.60 b
doll_273.20 b,doll_288.0 m,doll_74.17 b,doll_350.84 b,doll_350.84 b,doll_39.00 b,doll_350.84 b,doll_215.02 b,doll_350.84 b
doll_€248.30 b,doll_294.6 m,doll_74.78 b,doll_349.50 b,doll_349.5 b,doll_37.73 b,doll_349.50 b,doll_216.68 b,doll_349.50 b
hkdoll_2.275 t,doll_548.5 m,doll_74.79 b,doll_348.72 b,doll_348.72 b,doll_32.72 b,doll_348.72 b,doll_218.90 b,doll_348.72 b
doll_294.27 b,doll_1.71 b,doll_74.91 b,doll_348.22 b,doll_348.22 b,doll_32.19 b,doll_348.22 b,doll_219.03 b,doll_348.22 b
